year,bloc,departement,percentage,votes
1965,Centre,Ain,18.37,30416
1965,Centre,Aisne,14.78,37036
1965,Centre,Allier,13.03,26369
1965,Centre,Alpes Maritimes,14.9,50935
1965,Centre,Ardèche,16.89,23172
1965,Centre,Ardennes,14.52,20423
1965,Centre,Ariège,7.67,5861
1965,Centre,Aube,15.86,20667
1965,Centre,Aude,10.8,15874
1965,Centre,Aveyron,24.03,37745
1965,Centre,Bas Rhin,22.15,85231
1965,Centre,Bouches du Rhône,9.62,58070
1965,Centre,Calvados,23.63,56790
1965,Centre,Cantal,18.39,15808
1965,Centre,Charente,9.66,16622
1965,Centre,Charente Maritime,16.35,38551
1965,Centre,Cher,12.33,19026
1965,Centre,Corrèze,9.4,12621
1965,Centre,Côte d'Or,19.68,37804
1965,Centre,Côtes d'Armor,17.15,48103
1965,Centre,Creuse,9.98,8453
1965,Centre,Deux Sèvres,22.57,37917
1965,Centre,Dordogne,11.78,25223
1965,Centre,Doubs,15.92,30126
1965,Centre,Drôme,14.75,23813
1965,Centre,Eure,20.33,37640
1965,Centre,Eure et Loir,17.54,25987
1965,Centre,Finistère,18.44,77223
1965,Centre,Gard,12.44,29121
1965,Centre,Gers,17.44,16311
1965,Centre,Gironde,15.39,74812
1965,Centre,Guadeloupe,0.63,502
1965,Centre,Guyane,1.39,124
1965,Centre,Haut Rhin,23.24,66788
1965,Centre,Haute Garonne,12.1,38856
1965,Centre,Haute Loire,26.46,29870
1965,Centre,Haute Marne,13.37,13623
1965,Centre,Haute Saône,14.27,15920
1965,Centre,Haute Savoie,19.9,32786
1965,Centre,Haute Vienne,7.39,13959
1965,Centre,Hautes Alpes,16.26,7347
1965,Centre,Hautes Pyrénées,12.54,14249
1965,Centre,Hérault,12.41,33721
1965,Centre,Ille et Vilaine,20.37,65763
1965,Centre,Indre,15.5,20372
1965,Centre,Indre et Loire,18.12,37409
1965,Centre,Isère,15.22,54101
1965,Centre,Jura,19.12,22498
1965,Centre,La Réunion,1.02,1206
1965,Centre,Landes,13.08,19697
1965,Centre,Loir et Cher,18.45,25335
