year,bloc,departement,percentage,votes
1965,Centre,Ain,0.1837,30416
1965,Centre,Aisne,0.1478,37036
1965,Centre,Allier,0.1303,26369
1965,Centre,Alpes Maritimes,0.149,50935
1965,Centre,Ardèche,0.1689,23172
1965,Centre,Ardennes,0.1452,20423
1965,Centre,Ariège,0.0767,5861
1965,Centre,Aube,0.1586,20667
1965,Centre,Aude,0.10800000000000001,15874
1965,Centre,Aveyron,0.2403,37745
1965,Centre,Bas Rhin,0.22149999999999997,85231
1965,Centre,Bouches du Rhône,0.0962,58070
1965,Centre,Calvados,0.23629999999999998,56790
1965,Centre,Cantal,0.1839,15808
1965,Centre,Charente,0.0966,16622
1965,Centre,Charente Maritime,0.1635,38551
1965,Centre,Cher,0.1233,19026
1965,Centre,Corrèze,0.094,12621
1965,Centre,Côte d'Or,0.1968,37804
1965,Centre,Côtes d'Armor,0.17149999999999999,48103
1965,Centre,Creuse,0.0998,8453
1965,Centre,Deux Sèvres,0.2257,37917
1965,Centre,Dordogne,0.11779999999999999,25223
1965,Centre,Doubs,0.1592,30126
1965,Centre,Drôme,0.1475,23813
1965,Centre,Eure,0.20329999999999998,37640
1965,Centre,Eure et Loir,0.1754,25987
1965,Centre,Finistère,0.1844,77223
1965,Centre,Gard,0.1244,29121
1965,Centre,Gers,0.1744,16311
1965,Centre,Gironde,0.1539,74812
1965,Centre,Guadeloupe,0.0063,502
1965,Centre,Guyane,0.0139,124
1965,Centre,Haut Rhin,0.2324,66788
1965,Centre,Haute Garonne,0.121,38856
1965,Centre,Haute Loire,0.2646,29870
1965,Centre,Haute Marne,0.13369999999999999,13623
1965,Centre,Haute Saône,0.1427,15920
1965,Centre,Haute Savoie,0.19899999999999998,32786
1965,Centre,Haute Vienne,0.0739,13959
1965,Centre,Hautes Alpes,0.16260000000000002,7347
1965,Centre,Hautes Pyrénées,0.12539999999999998,14249
1965,Centre,Hérault,0.1241,33721
1965,Centre,Ille et Vilaine,0.20370000000000002,65763
1965,Centre,Indre,0.155,20372
1965,Centre,Indre et Loire,0.1812,37409
1965,Centre,Isère,0.1522,54101
1965,Centre,Jura,0.1912,22498
1965,Centre,La Réunion,0.0102,1206
1965,Centre,Landes,0.1308,19697
1965,Centre,Loir et Cher,0.1845,25335
1965,Centre,Loire,0.2227,75250
1965,Centre,Loire Atlantique,0.23199999999999998,96328
1965,Centre,Loiret,0.161,33300
1965,Centre,Lot,0.1668,14100
1965,Centre,Lot et Garonne,0.16219999999999998,24127
1965,Centre,Lozère,0.18109999999999998,7818
1965,Centre,Maine et Loire,0.2527,70078
1965,Centre,Manche,0.2161,49155
1965,Centre,Marne,0.1812,39190
1965,Centre,Martinique,0.0055000000000000005,538
1965,Centre,Mayenne,0.2817,37504
1965,Centre,Meurthe et Moselle,0.15789999999999998,50141
1965,Centre,Meuse,0.1769,18325
1965,Centre,Morbihan,0.1834,51339
1965,Centre,Moselle,0.1381,56575
1965,Centre,Nièvre,0.10310000000000001,13588
1965,Centre,Nord,0.1085,124794
1965,Centre,Oise,0.1366,33526
1965,Centre,Orne,0.2364,34145
1965,Centre,Pas de Calais,0.1,65954
1965,Centre,Puy de Dôme,0.1423,36771
1965,Centre,Pyrénées Orientales,0.1184,15379
1965,Centre,Rhône,0.21109999999999998,110182
1965,Centre,Saône et Loire,0.1618,42548
1965,Centre,Sarthe,0.17489999999999997,39342
1965,Centre,Savoie,0.17370000000000002,22296
1965,Centre,Seine et Marne,0.1572,43412
1965,Centre,Seine Maritime,0.1929,101889
1965,Centre,Somme,0.12240000000000001,32240
1965,Centre,Tarn,0.1555,27930
1965,Centre,Tarn et Garonne,0.1459,13867
1965,Centre,Territoire de Belfort,0.156,8341
1965,Centre,Var,0.10640000000000001,27334
1965,Centre,Vaucluse,0.12990000000000002,21452
1965,Centre,Vendée,0.23989999999999997,52448
1965,Centre,Vienne,0.1844,31681
1965,Centre,Vosges,0.1586,30475
1965,Centre,Yonne,0.16140000000000002,23261
1965,Droite,Ain,0.44870000000000004,74291
1965,Droite,Aisne,0.4864,121867
1965,Droite,Allier,0.3852999999999999,77987
1965,Droite,Alpes Maritimes,0.43050000000000005,147133
1965,Droite,Ardèche,0.43979999999999997,60318
1965,Droite,Ardennes,0.4768,67093
1965,Droite,Ariège,0.3558,27196
1965,Droite,Aube,0.4472,58267
1965,Droite,Aude,0.3147,46259
1965,Droite,Aveyron,0.4251,66779
1965,Droite,Bas Rhin,0.6437999999999999,247734
1965,Droite,Bouches du Rhône,0.3732,225386
1965,Droite,Calvados,0.5065000000000001,121749
1965,Droite,Cantal,0.5105999999999999,43899
1965,Droite,Charente,0.5337,91820
1965,Droite,Charente Maritime,0.4434,104565
1965,Droite,Cher,0.4311,66507
1965,Droite,Corrèze,0.4125,55387
1965,Droite,Côte d'Or,0.415,79714
1965,Droite,Côtes d'Armor,0.45059999999999995,126388
1965,Droite,Creuse,0.4313,36536
1965,Droite,Deux Sèvres,0.4489,75423
1965,Droite,Dordogne,0.42100000000000004,90125
1965,Droite,Doubs,0.48400000000000004,91558
1965,Droite,Drôme,0.4164,67210
1965,Droite,Eure,0.4551,84270
1965,Droite,Eure et Loir,0.4743,70283
1965,Droite,Finistère,0.5074000000000001,212441
1965,Droite,Gard,0.33390000000000003,78172
1965,Droite,Gers,0.2886,26995
1965,Droite,Gironde,0.4457,216706
1965,Droite,Guadeloupe,0.8816999999999999,69920
1965,Droite,Guyane,0.6825999999999999,6080
1965,Droite,Haut Rhin,0.5983999999999999,172000
1965,Droite,Haute Garonne,0.3765,120911
1965,Droite,Haute Loire,0.4207,47491
1965,Droite,Haute Marne,0.5364,54641
1965,Droite,Haute Saône,0.4718,52624
1965,Droite,Haute Savoie,0.49610000000000004,81727
1965,Droite,Haute Vienne,0.41629999999999995,78657
1965,Droite,Hautes Alpes,0.44480000000000003,20101
1965,Droite,Hautes Pyrénées,0.3811,43298
1965,Droite,Hérault,0.33030000000000004,89742
1965,Droite,Ille et Vilaine,0.5425,175200
1965,Droite,Indre,0.3942,51796
1965,Droite,Indre et Loire,0.44420000000000004,91713
1965,Droite,Isère,0.3953,140511
1965,Droite,Jura,0.44079999999999997,51858
1965,Droite,La Réunion,0.9195,108561
1965,Droite,Landes,0.46509999999999996,70030
1965,Droite,Loir et Cher,0.4343,59640
1965,Droite,Loire,0.40509999999999996,136882
1965,Droite,Loire Atlantique,0.4625,191980
1965,Droite,Loiret,0.48550000000000004,100444
1965,Droite,Lot,0.41050000000000003,34689
1965,Droite,Lot et Garonne,0.33649999999999997,50038
1965,Droite,Lozère,0.5291,22848
1965,Droite,Maine et Loire,0.5083,140965
1965,Droite,Manche,0.5908,134417
1965,Droite,Marne,0.45620000000000005,98651
1965,Droite,Martinique,0.8962,86980
1965,Droite,Mayenne,0.5184,69017
1965,Droite,Meurthe et Moselle,0.4979,158110
1965,Droite,Meuse,0.5653,58554
1965,Droite,Morbihan,0.5427000000000001,151893
1965,Droite,Moselle,0.6406000000000001,262529
1965,Droite,Nièvre,0.33370000000000005,43992
1965,Droite,Nord,0.49200000000000005,565652
1965,Droite,Oise,0.5024,123320
1965,Droite,Orne,0.5298,76530
1965,Droite,Pas de Calais,0.45880000000000004,302710
1965,Droite,Puy de Dôme,0.4338,112076
1965,Droite,Pyrénées Orientales,0.36129999999999995,46941
1965,Droite,Rhône,0.3985,207974
1965,Droite,Saône et Loire,0.42219999999999996,111024
1965,Droite,Sarthe,0.4454,100172
1965,Droite,Savoie,0.4321,55471
1965,Droite,Seine et Marne,0.4756,131333
1965,Droite,Seine Maritime,0.4254,224641
1965,Droite,Somme,0.473,124566
1965,Droite,Tarn,0.3787,68045
1965,Droite,Tarn et Garonne,0.3661,34786
1965,Droite,Territoire de Belfort,0.45890000000000003,24539
1965,Droite,Var,0.4119,105799
1965,Droite,Vaucluse,0.35009999999999997,57791
1965,Droite,Vendée,0.533,116509
1965,Droite,Vienne,0.47909999999999997,82339
1965,Droite,Vosges,0.5375,103288
1965,Droite,Yonne,0.46130000000000004,66461
1965,Droite radicale et extreme droite,Ain,0.050199999999999995,8317
1965,Droite radicale et extreme droite,Aisne,0.0351,8804
1965,Droite radicale et extreme droite,Allier,0.0546,11045
1965,Droite radicale et extreme droite,Alpes Maritimes,0.1251,42760
1965,Droite radicale et extreme droite,Ardèche,0.053899999999999997,7396
1965,Droite radicale et extreme droite,Ardennes,0.032,4502
1965,Droite radicale et extreme droite,Ariège,0.0584,4465
1965,Droite radicale et extreme droite,Aube,0.0363,4724
1965,Droite radicale et extreme droite,Aude,0.0682,10028
1965,Droite radicale et extreme droite,Aveyron,0.0437,6864
1965,Droite radicale et extreme droite,Bas Rhin,0.0233,8980
1965,Droite radicale et extreme droite,Bouches du Rhône,0.1245,75206
1965,Droite radicale et extreme droite,Calvados,0.0436,10482
1965,Droite radicale et extreme droite,Cantal,0.0424,3642
1965,Droite radicale et extreme droite,Charente,0.0489,8409
1965,Droite radicale et extreme droite,Charente Maritime,0.0644,15186
1965,Droite radicale et extreme droite,Cher,0.046900000000000004,7233
1965,Droite radicale et extreme droite,Corrèze,0.0359,4822
1965,Droite radicale et extreme droite,Côte d'Or,0.051699999999999996,9921
1965,Droite radicale et extreme droite,Côtes d'Armor,0.0207,5814
1965,Droite radicale et extreme droite,Creuse,0.038599999999999995,3268
1965,Droite radicale et extreme droite,Deux Sèvres,0.0437,7344
1965,Droite radicale et extreme droite,Dordogne,0.0599,12826
1965,Droite radicale et extreme droite,Doubs,0.0337,6367
1965,Droite radicale et extreme droite,Drôme,0.0658,10613
1965,Droite radicale et extreme droite,Eure,0.0384,7119
1965,Droite radicale et extreme droite,Eure et Loir,0.0424,6277
1965,Droite radicale et extreme droite,Finistère,0.0242,10145
1965,Droite radicale et extreme droite,Gard,0.08470000000000001,19821
1965,Droite radicale et extreme droite,Gers,0.0864,8078
1965,Droite radicale et extreme droite,Gironde,0.0849,41291
1965,Droite radicale et extreme droite,Guadeloupe,0.0066,523
1965,Droite radicale et extreme droite,Guyane,0.0223,199
1965,Droite radicale et extreme droite,Haut Rhin,0.0245,7056
1965,Droite radicale et extreme droite,Haute Garonne,0.08869999999999999,28476
1965,Droite radicale et extreme droite,Haute Loire,0.0735,8292
1965,Droite radicale et extreme droite,Haute Marne,0.032400000000000005,3297
1965,Droite radicale et extreme droite,Haute Saône,0.0326,3638
1965,Droite radicale et extreme droite,Haute Savoie,0.0405,6667
1965,Droite radicale et extreme droite,Haute Vienne,0.0375,7093
1965,Droite radicale et extreme droite,Hautes Alpes,0.0507,2289
1965,Droite radicale et extreme droite,Hautes Pyrénées,0.0711,8081
1965,Droite radicale et extreme droite,Hérault,0.1134,30810
1965,Droite radicale et extreme droite,Ille et Vilaine,0.036000000000000004,11623
1965,Droite radicale et extreme droite,Indre,0.055099999999999996,7235
1965,Droite radicale et extreme droite,Indre et Loire,0.0664,13715
1965,Droite radicale et extreme droite,Isère,0.0626,22270
1965,Droite radicale et extreme droite,Jura,0.0325,3821
1965,Droite radicale et extreme droite,La Réunion,0.0148,1751
1965,Droite radicale et extreme droite,Landes,0.054000000000000006,8138
1965,Droite radicale et extreme droite,Loir et Cher,0.0542,7438
1965,Droite radicale et extreme droite,Loire,0.05,16887
1965,Droite radicale et extreme droite,Loire Atlantique,0.0416,17272
1965,Droite radicale et extreme droite,Loiret,0.0489,10109
1965,Droite radicale et extreme droite,Lot,0.0467,3948
1965,Droite radicale et extreme droite,Lot et Garonne,0.10189999999999999,15154
1965,Droite radicale et extreme droite,Lozère,0.055,2375
1965,Droite radicale et extreme droite,Maine et Loire,0.0452,12534
1965,Droite radicale et extreme droite,Manche,0.037000000000000005,8428
1965,Droite radicale et extreme droite,Marne,0.0333,7205
1965,Droite radicale et extreme droite,Martinique,0.004,393
1965,Droite radicale et extreme droite,Mayenne,0.0377,5019
1965,Droite radicale et extreme droite,Meurthe et Moselle,0.031400000000000004,9961
1965,Droite radicale et extreme droite,Meuse,0.034300000000000004,3553
1965,Droite radicale et extreme droite,Morbihan,0.0274,7668
1965,Droite radicale et extreme droite,Moselle,0.023700000000000002,9723
1965,Droite radicale et extreme droite,Nièvre,0.0302,3982
