year,department,percentage,bloc,votes,election_type
2021,Ain,0.0015,Autre,628,regional
2021,Ain,0.030899999999999997,Centre,13118,regional
2021,Ain,0.1323,Droite,56166,regional
2021,Ain,0.049800000000000004,Droite radicale et extreme droite,21159,regional
2021,Ain,0.0393,Ecologisme,16683,regional
2021,Ain,0.0341,Gauche,14455,regional
2021,Ain,0.0173,Gauche radicale et extreme gauche,7311,regional
2021,Ain,0.6948,Abstention,89990.496,regional
2021,Aisne,0.0216,Centre,8029,regional
2021,Aisne,0.1648,Droite,61295,regional
2021,Aisne,0.0931,Droite radicale et extreme droite,34619,regional
2021,Aisne,0.044800000000000006,Ecologisme,16676,regional
2021,Aisne,0.0104,Gauche radicale et extreme gauche,3856,regional
2021,Aisne,0.6653,Abstention,82813.2175,regional
2021,Allier,0.002,Autre,483,regional
2021,Allier,0.0226,Centre,5581,regional
2021,Allier,0.1891,Droite,46625,regional
2021,Allier,0.0358,Droite radicale et extreme droite,8830,regional
2021,Allier,0.028300000000000002,Ecologisme,6973,regional
2021,Allier,0.04,Gauche,9864,regional
2021,Allier,0.031200000000000002,Gauche radicale et extreme gauche,7703,regional
2021,Allier,0.651,Abstention,56024.409,regional
2021,Alpes de Haute Provence,0.001,Autre,129,regional
2021,Alpes de Haute Provence,0.121,Droite,15282,regional
2021,Alpes de Haute Provence,0.1263,Droite radicale et extreme droite,15953,regional
2021,Alpes de Haute Provence,0.10460000000000001,Ecologisme,13219,regional
2021,Alpes de Haute Provence,0.0139,Gauche,1755,regional
2021,Alpes de Haute Provence,0.014499999999999999,Gauche radicale et extreme gauche,1825,regional
2021,Alpes de Haute Provence,0.6187,Abstention,29798.4481,regional
2021,Alpes Maritimes,0.0014000000000000002,Autre,1071,regional
2021,Alpes Maritimes,0.1148,Droite,86991,regional
2021,Alpes Maritimes,0.14020000000000002,Droite radicale et extreme droite,106299,regional
2021,Alpes Maritimes,0.0608,Ecologisme,46063,regional
2021,Alpes Maritimes,0.005699999999999999,Gauche,4290,regional
2021,Alpes Maritimes,0.0064,Gauche radicale et extreme gauche,4856,regional
2021,Alpes Maritimes,0.6707,Abstention,167386.599,regional
2021,Ardeche,0.002,Autre,514,regional
2021,Ardeche,0.0245,Centre,6143,regional
2021,Ardeche,0.1568,Droite,39347,regional
2021,Ardeche,0.0467,Droite radicale et extreme droite,11711,regional
2021,Ardeche,0.0447,Ecologisme,11229,regional
2021,Ardeche,0.0506,Gauche,12685,regional
2021,Ardeche,0.0336,Gauche radicale et extreme gauche,8426,regional
2021,Ardeche,0.6411,Abstention,57734.2605,regional
2021,Ardennes,0.0168,Centre,3108,regional
2021,Ardennes,0.1264,Droite,23325,regional
2021,Ardennes,0.08800000000000001,Droite radicale et extreme droite,16247,regional
2021,Ardennes,0.057999999999999996,Gauche,10697,regional
2021,Ardennes,0.0116,Gauche radicale et extreme gauche,2147,regional
2021,Ardennes,0.6992,Abstention,38822.3808,regional
2021,Ariege,0.0031,Autre,364,regional
2021,Ariege,0.0352,Centre,4143,regional
2021,Ariege,0.0279,Droite,3280,regional
2021,Ariege,0.0703,Droite radicale et extreme droite,8269,regional
2021,Ariege,0.0331,Ecologisme,3897,regional
2021,Ariege,0.19190000000000002,Gauche,22587,regional
2021,Ariege,0.0427,Gauche radicale et extreme gauche,5025,regional
2021,Ariege,0.5958,Abstention,28339.227,regional
2021,Aube,0.0212,Centre,4317,regional
2021,Aube,0.1096,Droite,22287,regional
2021,Aube,0.10369999999999999,Droite radicale et extreme droite,21085,regional
2021,Aube,0.0608,Gauche,12346,regional
2021,Aube,0.009300000000000001,Gauche radicale et extreme gauche,1897,regional
2021,Aube,0.6954,Abstention,43067.512800000004,regional
2021,Aude,7.000000000000001e-4,Autre,193,regional
2021,Aude,0.029300000000000003,Centre,8034,regional
2021,Aude,0.0334,Droite,9151,regional
2021,Aude,0.1042,Droite radicale et extreme droite,28559,regional
2021,Aude,0.027200000000000002,Ecologisme,7451,regional
2021,Aude,0.1533,Gauche,42010,regional
2021,Aude,0.028300000000000002,Gauche radicale et extreme gauche,7758,regional
2021,Aude,0.6235999999999999,Abstention,64328.08159999999,regional
2021,Aveyron,0.0017000000000000001,Autre,367,regional
2021,Aveyron,0.047799999999999995,Centre,10396,regional
2021,Aveyron,0.07690000000000001,Droite,16738,regional
2021,Aveyron,0.052300000000000006,Droite radicale et extreme droite,11381,regional
2021,Aveyron,0.026000000000000002,Ecologisme,5662,regional
2021,Aveyron,0.18109999999999998,Gauche,39439,regional
2021,Aveyron,0.024399999999999998,Gauche radicale et extreme gauche,5321,regional
2021,Aveyron,0.5898,Abstention,52671.4992,regional
2021,Bas Rhin,0.07390000000000001,Centre,56903,regional
2021,Bas Rhin,0.0794,Droite,61096,regional
2021,Bas Rhin,0.0622,Droite radicale et extreme droite,47845,regional
2021,Bas Rhin,0.0637,Gauche,49044,regional
2021,Bas Rhin,0.0043,Gauche radicale et extreme gauche,3287,regional
2021,Bas Rhin,0.7164999999999999,Abstention,156322.38749999998,regional
2021,Bouches du Rhone,5e-4,Autre,701,regional
2021,Bouches du Rhone,0.0942,Droite,130416,regional
2021,Bouches du Rhone,0.118,Droite radicale et extreme droite,163402,regional
2021,Bouches du Rhone,0.07949999999999999,Ecologisme,110086,regional
2021,Bouches du Rhone,0.0066,Gauche,9155,regional
