list,bloc
Listes Parti communiste  (PCF),Gauche radicale et extreme gauche
Listes Extreme gauche,Gauche radicale et extreme gauche
Listes Parti Socialiste (PS),Gauche
Autres listes majorite presidentielle,Gauche
Listes Divers droite,Droite
Listes RPR - UDF,Droite
Listes Front national,Droite radicale et extreme droite
Listes Extreme droite,Droite radicale et extreme droite
Listes regionalistes,Regionalism
Listes CPNT,Droite
Listes Vert,Ecologisme
Listes Generation Ecologie,Ecologisme
Liste Femmes d'Alsace,Gauche
