departement,Inscrits
AIN,320300
AISNE,368803
ALLIER,260401
ALPES DE HAUTE PROVENCE,104403
HAUTES ALPES,89919
ALPES MARITIMES,676100
ARDECHE,212538
ARDENNES,192751
ARIEGE,107769
AUBE,192189
AUDE,229537
AVEYRON,213454
BOUCHES DU RHONE,1105070
CALVADOS,444477
CANTAL,123544
CHARENTE,254929
CHARENTE MARITIME,402674
CHER,228674
CORREZE,183847
COTE D'OR,327360
COTES D'ARMOR,422597
CREUSE,104458
DORDOGNE,302954
DOUBS,327269
DROME,297085
EURE,364511
EURE ET LOIR,274129
FINISTERE,626923
GARD,426295
HAUTE GARONNE,670127
GERS,136065
GIRONDE,835818
HERAULT,590380
ILLE ET VILAINE,589313
INDRE,178833
INDRE ET LOIRE ,371045
ISERE,681337
JURA,177946
LANDES,248661
LOIR ET CHER,229600
LOIRE,484087
HAUTE LOIRE,161355
LOIRE ATLANTIQUE,786906
LOIRET,401221
LOT,125420
LOT ET GARONNE ,225244
LOZERE,58359
MAINE ET LOIRE ,497070
MANCHE,353780
MARNE,369710
HAUTE MARNE,145782
MAYENNE,209931
MEURTHE ET MOSELLE,471218
MEUSE,140210
MORBIHAN,508185
MOSELLE,699151
NIEVRE,173180
NORD,1691050
OISE,495349
ORNE,213770
PAS DE CALAIS,1030095
PUY DE DOME,419068
PYRENEES ATLANTIQUES,439234
HAUTES PYRENEES,173110
PYRENEES ORIENTALES,273246
BAS RHIN,661917
HAUT RHIN,466615
RHONE,921937
HAUTE SAONE,171581
SAONE ET LOIRE ,398381
SARTHE,381142
SAVOIE,252872
HAUTE SAVOIE,395377
PARIS,1077847
SEINE MARITIME ,830689
SEINE ET MARNE ,696159
YVELINES,820130
DEUX SEVRES,260568
SOMME,392975
TARN,257497
TARN ET GARONNE,151679
VAR,793090
VAUCLUSE,328416
VENDEE,404926
VIENNE,285397
HAUTE VIENNE,261228
VOSGES,280628
YONNE,232027
TERRITOIRE DE BELFORT,87663
ESSONNE,681165
HAUTS DE SEINE ,810502
SEINE SAINT DENIS,662208
VAL DE MARNE,683793
VAL D'OISE,602552
GUADELOUPE,259905
MARTINIQUE,248427
GUYANE,43290
LA REUNION,390027
