departement,Circonscription,Nuance 1,Prénom candidat 1,Nom candidat 1,Liste 1,Nombre de voix 1,bloc
VAL-D'OISE,1,COM,JEAN-PIERRE,REVARDEL,COMMUNISTE DISSIDENT,1050,Gauche radicale et extreme gauche
VAL-D'OISE,2,COM,JEAN-PIERRE,REVARDEL,COMMUNISTE DISSIDENT,878,Gauche radicale et extreme gauche
VAL-D'OISE,3,COM,JEAN-PIERRE,REVARDEL,COMMUNISTE DISSIDENT,1540,Gauche radicale et extreme gauche
VAL-D'OISE,4,COM,JEAN-PIERRE,REVARDEL,COMMUNISTE DISSIDENT,758,Gauche radicale et extreme gauche
VAL-D'OISE,5,COM,JEAN-PIERRE,REVARDEL,COMMUNISTE DISSIDENT,2233,Gauche radicale et extreme gauche
VAL-D'OISE,6,COM,JEAN-PIERRE,REVARDEL,COMMUNISTE DISSIDENT,710,Gauche radicale et extreme gauche
VAL-D'OISE,7,COM,JEAN-PIERRE,REVARDEL,COMMUNISTE DISSIDENT,843,Gauche radicale et extreme gauche
VAL-D'OISE,8,COM,JEAN-PIERRE,REVARDEL,COMMUNISTE DISSIDENT,535,Gauche radicale et extreme gauche
VAL-D'OISE,9,COM,JEAN-PIERRE,REVARDEL,COMMUNISTE DISSIDENT,1090,Gauche radicale et extreme gauche
GARD,1,COM,ALAIN,CLARY,PARTI COMMUNISTE,7144,Gauche radicale et extreme gauche
GARD,2,COM,ALAIN,CLARY,PARTI COMMUNISTE,7405,Gauche radicale et extreme gauche
GARD,3,COM,ALAIN,CLARY,PARTI COMMUNISTE,5401,Gauche radicale et extreme gauche
GARD,4,COM,ALAIN,CLARY,PARTI COMMUNISTE,9456,Gauche radicale et extreme gauche
GARD,5,COM,ALAIN,CLARY,PARTI COMMUNISTE,7356,Gauche radicale et extreme gauche
HERAULT,1,COM,JOSIANNE,COLLERAIS,PARTI COMMUNISTE,2535,Gauche radicale et extreme gauche
HERAULT,2,COM,JOSIANNE,COLLERAIS,PARTI COMMUNISTE,2410,Gauche radicale et extreme gauche
HERAULT,3,COM,JOSIANNE,COLLERAIS,PARTI COMMUNISTE,4113,Gauche radicale et extreme gauche
HERAULT,4,COM,JOSIANNE,COLLERAIS,PARTI COMMUNISTE,6676,Gauche radicale et extreme gauche
HERAULT,5,COM,JOSIANNE,COLLERAIS,PARTI COMMUNISTE,5725,Gauche radicale et extreme gauche
HERAULT,6,COM,JOSIANNE,COLLERAIS,PARTI COMMUNISTE,4726,Gauche radicale et extreme gauche
HERAULT,7,COM,JOSIANNE,COLLERAIS,PARTI COMMUNISTE,8816,Gauche radicale et extreme gauche
LANDES,1,COM,MICHEL,LARRAT,PARTI COMMUNISTE,3357,Gauche radicale et extreme gauche
LANDES,2,COM,MICHEL,LARRAT,PARTI COMMUNISTE,5381,Gauche radicale et extreme gauche
LANDES,3,COM,MICHEL,LARRAT,PARTI COMMUNISTE,5235,Gauche radicale et extreme gauche
PAS-DE-CALAIS,1,COM,REMY,AUCHEDE,PARTI COMMUNISTE,2338,Gauche radicale et extreme gauche
PAS-DE-CALAIS,2,COM,REMY,AUCHEDE,PARTI COMMUNISTE,5630,Gauche radicale et extreme gauche
PAS-DE-CALAIS,3,COM,REMY,AUCHEDE,PARTI COMMUNISTE,1870,Gauche radicale et extreme gauche
PAS-DE-CALAIS,4,COM,REMY,AUCHEDE,PARTI COMMUNISTE,2042,Gauche radicale et extreme gauche
PAS-DE-CALAIS,5,COM,REMY,AUCHEDE,PARTI COMMUNISTE,3697,Gauche radicale et extreme gauche
PAS-DE-CALAIS,6,COM,REMY,AUCHEDE,PARTI COMMUNISTE,3217,Gauche radicale et extreme gauche
PAS-DE-CALAIS,7,COM,REMY,AUCHEDE,PARTI COMMUNISTE,5126,Gauche radicale et extreme gauche
PAS-DE-CALAIS,8,COM,REMY,AUCHEDE,PARTI COMMUNISTE,1209,Gauche radicale et extreme gauche
PAS-DE-CALAIS,9,COM,REMY,AUCHEDE,PARTI COMMUNISTE,4597,Gauche radicale et extreme gauche
PAS-DE-CALAIS,10,COM,REMY,AUCHEDE,PARTI COMMUNISTE,7529,Gauche radicale et extreme gauche
PAS-DE-CALAIS,11,COM,REMY,AUCHEDE,PARTI COMMUNISTE,10411,Gauche radicale et extreme gauche
PAS-DE-CALAIS,12,COM,REMY,AUCHEDE,PARTI COMMUNISTE,8274,Gauche radicale et extreme gauche
PAS-DE-CALAIS,13,COM,REMY,AUCHEDE,PARTI COMMUNISTE,6550,Gauche radicale et extreme gauche
PAS-DE-CALAIS,14,COM,REMY,AUCHEDE,PARTI COMMUNISTE,7511,Gauche radicale et extreme gauche
GIRONDE,1,COM,PIERRE,AUGEY,PARTI COMMUNISTE,2056,Gauche radicale et extreme gauche
GIRONDE,2,COM,PIERRE,AUGEY,PARTI COMMUNISTE,1232,Gauche radicale et extreme gauche
GIRONDE,3,COM,PIERRE,AUGEY,PARTI COMMUNISTE,3730,Gauche radicale et extreme gauche
GIRONDE,4,COM,PIERRE,AUGEY,PARTI COMMUNISTE,3586,Gauche radicale et extreme gauche
GIRONDE,5,COM,PIERRE,AUGEY,PARTI COMMUNISTE,2699,Gauche radicale et extreme gauche
GIRONDE,6,COM,PIERRE,AUGEY,PARTI COMMUNISTE,2215,Gauche radicale et extreme gauche
GIRONDE,7,COM,PIERRE,AUGEY,PARTI COMMUNISTE,2859,Gauche radicale et extreme gauche
GIRONDE,8,COM,PIERRE,AUGEY,PARTI COMMUNISTE,2996,Gauche radicale et extreme gauche
GIRONDE,9,COM,PIERRE,AUGEY,PARTI COMMUNISTE,7408,Gauche radicale et extreme gauche
GIRONDE,10,COM,PIERRE,AUGEY,PARTI COMMUNISTE,2124,Gauche radicale et extreme gauche
GIRONDE,11,COM,PIERRE,AUGEY,PARTI COMMUNISTE,2335,Gauche radicale et extreme gauche
GUADELOUPE,1,COM,MONA,CADOCE,POUR UNE AUTRE GUADELOUPE,892,Gauche radicale et extreme gauche
GUADELOUPE,2,COM,MONA,CADOCE,POUR UNE AUTRE GUADELOUPE,4655,Gauche radicale et extreme gauche
GUADELOUPE,3,COM,MONA,CADOCE,POUR UNE AUTRE GUADELOUPE,969,Gauche radicale et extreme gauche
GUADELOUPE,4,COM,MONA,CADOCE,POUR UNE AUTRE GUADELOUPE,426,Gauche radicale et extreme gauche
MARTINIQUE,1,COM,EMILE,CAPGRAS,SAMBLE POU MATNIK,354,Gauche radicale et extreme gauche
MARTINIQUE,2,COM,EMILE,CAPGRAS,SAMBLE POU MATNIK,382,Gauche radicale et extreme gauche
MARTINIQUE,3,COM,EMILE,CAPGRAS,SAMBLE POU MATNIK,702,Gauche radicale et extreme gauche
MARTINIQUE,4,COM,EMILE,CAPGRAS,SAMBLE POU MATNIK,2666,Gauche radicale et extreme gauche
ORNE,1,COM,RAYMONDE,RENARD,TETE DE LISTE COM  UNION COM-MDC,1374,Gauche radicale et extreme gauche
ORNE,2,COM,RAYMONDE,RENARD,TETE DE LISTE COM  UNION COM-MDC,1264,Gauche radicale et extreme gauche
ORNE,3,COM,RAYMONDE,RENARD,TETE DE LISTE COM  UNION COM-MDC,1685,Gauche radicale et extreme gauche
ALLIER,1,COM-SOC,PIERRE,GOLDBERG,TETE DE LISTE COM  UNION COM-SOC,13792,Gauche radicale et extreme gauche
ALLIER,2,COM-SOC,PIERRE,GOLDBERG,TETE DE LISTE COM  UNION COM-SOC,20313,Gauche radicale et extreme gauche
ALLIER,3,COM-SOC,PIERRE,GOLDBERG,TETE DE LISTE COM  UNION COM-SOC,19034,Gauche radicale et extreme gauche
ALLIER,4,COM-SOC,PIERRE,GOLDBERG,TETE DE LISTE COM  UNION COM-SOC,11809,Gauche radicale et extreme gauche
VAL-DE-MARNE,1,COM-SOC,MICHEL,GERMA,TETE DE LISTE COM  UNION COM-SOC,9035,Gauche radicale et extreme gauche
VAL-DE-MARNE,2,COM-SOC,MICHEL,GERMA,TETE DE LISTE COM  UNION COM-SOC,15105,Gauche radicale et extreme gauche
VAL-DE-MARNE,3,COM-SOC,MICHEL,GERMA,TETE DE LISTE COM  UNION COM-SOC,13473,Gauche radicale et extreme gauche
VAL-DE-MARNE,4,COM-SOC,MICHEL,GERMA,TETE DE LISTE COM  UNION COM-SOC,11437,Gauche radicale et extreme gauche
VAL-DE-MARNE,5,COM-SOC,MICHEL,GERMA,TETE DE LISTE COM  UNION COM-SOC,10651,Gauche radicale et extreme gauche
VAL-DE-MARNE,6,COM-SOC,MICHEL,GERMA,TETE DE LISTE COM  UNION COM-SOC,12883,Gauche radicale et extreme gauche
