nuance,bloc
LO-LCR,Gauche radicale et extreme gauche
EXG,Gauche radicale et extreme gauche
COM,Gauche radicale et extreme gauche
SOC,Gauche
SOC-COM-ECO,Gauche
SOC-COM-autreG,Gauche
SOC-COM,Gauche
DVG,Gauche
MRG,Gauche
ECO,Ecologism
SOC-ECO,Gauche
UMP,Droite
UDF,Droite radicale et extreme droite
RDG,Gauche radicale et extreme gauche
UDF-UMP,Droite
FN,Droite radicale et extreme droite
CPNT,Droite
MNR,Droite radicale et extreme droite
DVD,Droite
DIV,Autre
EXD,Droite radicale et extreme droite
REG,Regionalism
