departement,Circonscription,Taux de participation,Nuance 1,Prénom 1,nom 1,Liste 1,votes 1,Nuance 2,Prénom 2,nom 2,Liste 2,votes 2,Nuance 3,Prénom 3,nom 3,Liste 3,votes 3,Nuance 4,Prénom 4,nom 4,Liste 4,votes 4,Nuance 5,Prénom 5,nom 5,Liste 5,votes 5,Nuance 6,Prénom 6,nom 6,Liste 6,votes 6,Nuance 7,Prénom 7,nom 7,Liste 7,votes 7,Nuance 8,Prénom 8,nom 8,Liste 8,votes 8,Nuance 9,Prénom 9,nom 9,Liste 9,votes 9,Nuance 10,Prénom 10,nom 10,Liste 10,votes 10,Nuance 11,Prénom 11,nom 11,Liste 11,votes 11,Nuance 12,Prénom 12,nom 12,Liste 12,votes 12,Nuance 13,Prénom 13,nom 13,Liste 13,votes 13,Nuance 14,Prénom 14,nom 14,Liste 14,votes 14,Nuance 15,Prénom 15,nom 15,Liste 15,votes 15,Nuance 16,Prénom 16,nom 16,Liste 16,votes 16,Nuance 17,Prénom 17,nom 17,Liste 17,votes 17,Nuance 18,Prénom 18,nom 18,Liste 18,votes 18,Nuance 19,Prénom 19,nom 19,Liste 19,votes 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIN,1,59.15,LO-LCR,ROSELINE,VACHETTA,LIGUE COMMUNISTE REVOLUTIONNAIRE-LUTTE OUVRIERE LISTE LCR-LO SOUTENUE PAR OLIVIER BESANCENOT ET ARLETTE LAGUILLER,1702,SOC,J.JACK,QUEYRANNE,RHONE-ALPES POUR TOUS. AVEC LA GAUCHE.,15150,ECO,GERARD,LERAS,LES VERTS. ECOLOGIE ET SOLIDARITES MAINTENANT,3793,UDF-UMP,A.MARIE,COMPARINI,UNIS POUR FAIRE GAGNER LA REGION,14579,FN,BRUNO,GOLLNISCH,FRONT NATIONAL POUR RHONE-ALPES. LISTE PRESENTEE PAR JEAN-MARIE LE PEN. CONDUITE PAR BRUNO GOLLNISCH,7972,MNR,NORBERT,CHETAIL,LA VRAIE DROITE EN RHONE-ALPES LISTE CONDUITE PAR NORBERT CHETAIL. SOUTENUE PAR BRUNO MEGRET ET LE MNR,831,DIV,PATRICK,BERTRAND,RHÔNE-ALPES AU COEUR,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIN,2,57.5,LO-LCR,ROSELINE,VACHETTA,LIGUE COMMUNISTE REVOLUTIONNAIRE-LUTTE OUVRIERE LISTE LCR-LO SOUTENUE PAR OLIVIER BESANCENOT ET ARLETTE LAGUILLER,2177,SOC,J.JACK,QUEYRANNE,RHONE-ALPES POUR TOUS. AVEC LA GAUCHE.,13143,ECO,GERARD,LERAS,LES VERTS. ECOLOGIE ET SOLIDARITES MAINTENANT,4121,UDF-UMP,A.MARIE,COMPARINI,UNIS POUR FAIRE GAGNER LA REGION,13242,FN,BRUNO,GOLLNISCH,FRONT NATIONAL POUR RHONE-ALPES. LISTE PRESENTEE PAR JEAN-MARIE LE PEN. CONDUITE PAR BRUNO GOLLNISCH,11729,MNR,NORBERT,CHETAIL,LA VRAIE DROITE EN RHONE-ALPES LISTE CONDUITE PAR NORBERT CHETAIL. SOUTENUE PAR BRUNO MEGRET ET LE MNR,909,DIV,PATRICK,BERTRAND,RHÔNE-ALPES AU COEUR,1373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIN,3,56.46,LO-LCR,ROSELINE,VACHETTA,LIGUE COMMUNISTE REVOLUTIONNAIRE-LUTTE OUVRIERE LISTE LCR-LO SOUTENUE PAR OLIVIER BESANCENOT ET ARLETTE LAGUILLER,1845,SOC,J.JACK,QUEYRANNE,RHONE-ALPES POUR TOUS. AVEC LA GAUCHE.,12411,ECO,GERARD,LERAS,LES VERTS. ECOLOGIE ET SOLIDARITES MAINTENANT,4578,UDF-UMP,A.MARIE,COMPARINI,UNIS POUR FAIRE GAGNER LA REGION,13450,FN,BRUNO,GOLLNISCH,FRONT NATIONAL POUR RHONE-ALPES. LISTE PRESENTEE PAR JEAN-MARIE LE PEN. CONDUITE PAR BRUNO GOLLNISCH,7842,MNR,NORBERT,CHETAIL,LA VRAIE DROITE EN RHONE-ALPES LISTE CONDUITE PAR NORBERT CHETAIL. SOUTENUE PAR BRUNO MEGRET ET LE MNR,705,DIV,PATRICK,BERTRAND,RHÔNE-ALPES AU COEUR,1532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIN,4,59.66,LO-LCR,ROSELINE,VACHETTA,LIGUE COMMUNISTE REVOLUTIONNAIRE-LUTTE OUVRIERE LISTE LCR-LO SOUTENUE PAR OLIVIER BESANCENOT ET ARLETTE LAGUILLER,2084,SOC,J.JACK,QUEYRANNE,RHONE-ALPES POUR TOUS. AVEC LA GAUCHE.,16171,ECO,GERARD,LERAS,LES VERTS. ECOLOGIE ET SOLIDARITES MAINTENANT,5084,UDF-UMP,A.MARIE,COMPARINI,UNIS POUR FAIRE GAGNER LA REGION,19239,FN,BRUNO,GOLLNISCH,FRONT NATIONAL POUR RHONE-ALPES. LISTE PRESENTEE PAR JEAN-MARIE LE PEN. CONDUITE PAR BRUNO GOLLNISCH,11748,MNR,NORBERT,CHETAIL,LA VRAIE DROITE EN RHONE-ALPES LISTE CONDUITE PAR NORBERT CHETAIL. SOUTENUE PAR BRUNO MEGRET ET LE MNR,1179,DIV,PATRICK,BERTRAND,RHÔNE-ALPES AU COEUR,1438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISNE,1,62.67,LO-LCR,ROLAND,SZPIRKO,LUTTE OUVRIERE-LIGUE COMMUNISTE REVOLUTIONNAIRE LISTE LO-LCR SOUTENUE PAR ARLETTE LAGUILLER ET OLIVIER BESANCENOT,3290,COM,MAXIME,GREMETZ,LISTE DE RASSEMBLEMENT A L'INITIATIVE DU PCF,2879,SOC-ECO,CLAUDE,GEWERC,LISTE PICARDIE A GAUCHE,13800,UDF,GILLES,DE ROBIEN,AIMER LA PICARDIE,12878,FN,MICHEL,GUINIOT,LISTE FRONT NATIONAL POUR LA PICARDIE PRESENTEE PAR JEAN-MARIE LE PEN ET CONDUITE PAR MICHEL GUINIOT,8659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISNE,2,63,LO-LCR,ROLAND,SZPIRKO,LUTTE OUVRIERE-LIGUE COMMUNISTE REVOLUTIONNAIRE LISTE LO-LCR SOUTENUE PAR ARLETTE LAGUILLER ET OLIVIER BESANCENOT,2788,COM,MAXIME,GREMETZ,LISTE DE RASSEMBLEMENT A L'INITIATIVE DU PCF,4127,SOC-ECO,CLAUDE,GEWERC,LISTE PICARDIE A GAUCHE,12728,UDF,GILLES,DE ROBIEN,AIMER LA PICARDIE,13553,FN,MICHEL,GUINIOT,LISTE FRONT NATIONAL POUR LA PICARDIE PRESENTEE PAR JEAN-MARIE LE PEN ET CONDUITE PAR MICHEL GUINIOT,10574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISNE,3,64.4,LO-LCR,ROLAND,SZPIRKO,LUTTE OUVRIERE-LIGUE COMMUNISTE REVOLUTIONNAIRE LISTE LO-LCR SOUTENUE PAR ARLETTE LAGUILLER ET OLIVIER BESANCENOT,3284,COM,MAXIME,GREMETZ,LISTE DE RASSEMBLEMENT A L'INITIATIVE DU PCF,3397,SOC-ECO,CLAUDE,GEWERC,LISTE PICARDIE A GAUCHE,12765,UDF,GILLES,DE ROBIEN,AIMER LA PICARDIE,12768,FN,MICHEL,GUINIOT,LISTE FRONT NATIONAL POUR LA PICARDIE PRESENTEE PAR JEAN-MARIE LE PEN ET CONDUITE PAR MICHEL GUINIOT,10826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISNE,4,59.82,LO-LCR,ROLAND,SZPIRKO,LUTTE OUVRIERE-LIGUE COMMUNISTE REVOLUTIONNAIRE LISTE LO-LCR SOUTENUE PAR ARLETTE LAGUILLER ET OLIVIER BESANCENOT,2825,COM,MAXIME,GREMETZ,LISTE DE RASSEMBLEMENT A L'INITIATIVE DU PCF,5615,SOC-ECO,CLAUDE,GEWERC,LISTE PICARDIE A GAUCHE,12812,UDF,GILLES,DE ROBIEN,AIMER LA PICARDIE,11662,FN,MICHEL,GUINIOT,LISTE FRONT NATIONAL POUR LA PICARDIE PRESENTEE PAR JEAN-MARIE LE PEN ET CONDUITE PAR MICHEL GUINIOT,10783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISNE,5,61.75,LO-LCR,ROLAND,SZPIRKO,LUTTE OUVRIERE-LIGUE COMMUNISTE REVOLUTIONNAIRE LISTE LO-LCR SOUTENUE PAR ARLETTE LAGUILLER ET OLIVIER BESANCENOT,2903,COM,MAXIME,GREMETZ,LISTE DE RASSEMBLEMENT A L'INITIATIVE DU PCF,2839,SOC-ECO,CLAUDE,GEWERC,LISTE PICARDIE A GAUCHE,13036,UDF,GILLES,DE ROBIEN,AIMER LA PICARDIE,14253,FN,MICHEL,GUINIOT,LISTE FRONT NATIONAL POUR LA PICARDIE PRESENTEE PAR JEAN-MARIE LE PEN ET CONDUITE PAR MICHEL GUINIOT,11275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLIER,1,60.11,LO-LCR,MARIE,SAVRE,LISTE LUTTE OUVRIERE - LIGUE COMMUNISTE REVOLUTIONNAIRE SOUTENUE PAR ARLETTE LAGUILLER ET OLIVIER BESANCENOT.,1505,COM,ANDRE,CHASSAIGNE,AUVERGNE. ET MAINTENANT UN SOUFFLE NOUVEAU ! LISTE DE RASSEMBLEMENT CONDUITE PAR ANDRE CHASSAIGNE. DEPUTE COMMUNISTE,3776,SOC-COM-ECO,P.JOEL,BONTE,AVEC PIERRE-JOËL BONTE. VIVONS L'AUVERGNE SOLIDAIRE,9244,ECO,YVES,GUEYDON,LES VERTS AUVERGNE ECOLOGIE,1688,ECO,HUBERT,CONSTANCIAS,VIVRE L'AUVERGNE AVEC LES ECOLOGISTES LISTE MEI,647,UDF-UMP,VALERY,GISCARD D'ESTAING,LISTE UNION POUR L'AUVERGNE,9842,DVD,HUGUES,AUVRAY,LISTE POUR L'AUVERGNE,1904,FN,LOUIS,DE CONDE,FRONT NATIONAL EN AUVERGNE-BOURBONNAIS-VELAY AVEC LE PEN CONDUITE PAR LOUIS DE CONDE,3448,MNR,CLAUDE,JAFFRES,ISLAMISATION. IMPOTS. DELINQUANCE. INJUSTICE. CA NE PEUT PLUS DURER. LA VRAIE DROITE EN AUVERGNE. LISTE CONDUITE PAR C JAFFRES. SOUTENUE PAR B MEGRET ET LE MNR,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
