department,candidate,list,votes,percentage
Ardennes,Florian Philippot,FN - RBM,33 690,38.54
Ardennes,Philippe Richert,LR - UDI - MoDem,25 240,28.87
Ardennes,Jean-Pierre Masseret,(PS) puis Divers gauche,13 776,15.76
Ardennes,Sandrine Belier,EELV - PRG,3 997,4.57
Ardennes,Laurent Jacobelli,DLF,3 996,4.57
Ardennes,Jean-Georges Trouillet,UL - AEI - PL - PM,715,0.82
Ardennes,Patrick Peron,FG - MRC- NGS,3 454,3.95
Ardennes,Julien Wostyn,LO,1 841,2.11
Ardennes,David Wentzel,UPR,709,0.81
Aube,Florian Philippot,FN - RBM,38 916,40.42
Aube,Philippe Richert,LR - UDI - MoDem,23 729,24.65
Aube,Jean-Pierre Masseret,(PS) puis Divers gauche,13 553,14.08
Aube,Sandrine Belier,EELV - PRG,5 259,5.46
Aube,Laurent Jacobelli,DLF,7 411,7.7
Aube,Jean-Georges Trouillet,UL - AEI - PL - PM,935,0.97
Aube,Patrick Peron,FG - MRC- NGS,3 972,4.13
Aube,Julien Wostyn,LO,1 500,1.56
Aube,David Wentzel,UPR,1 008,1.05
Marne,Florian Philippot,FN - RBM,64 273,37.29
Marne,Philippe Richert,LR - UDI - MoDem,44 497,25.82
Marne,Jean-Pierre Masseret,(PS) puis Divers gauche,27 390,15.89
Marne,Sandrine Belier,EELV - PRG,10 769,6.25
Marne,Laurent Jacobelli,DLF,11 068,6.42
Marne,Jean-Georges Trouillet,UL - AEI - PL - PM,2 241,1.3
Marne,Patrick Peron,FG - MRC- NGS,6 529,3.79
Marne,Julien Wostyn,LO,3 046,1.77
Marne,David Wentzel,UPR,2 539,1.47
Haute-Marne,Florian Philippot,FN - RBM,26 843,42.2
Haute-Marne,Philippe Richert,LR - UDI - MoDem,14 647,23.03
Haute-Marne,Jean-Pierre Masseret,(PS) puis Divers gauche,9 821,15.44
Haute-Marne,Sandrine Belier,EELV - PRG,3 279,5.16
Haute-Marne,Laurent Jacobelli,DLF,4 182,6.57
Haute-Marne,Jean-Georges Trouillet,UL - AEI - PL - PM,656,1.03
Haute-Marne,Patrick Peron,FG - MRC- NGS,2 225,3.5
Haute-Marne,Julien Wostyn,LO,1 240,1.95
Haute-Marne,David Wentzel,UPR,714,1.12
Meurthe-et-Moselle,Florian Philippot,FN - RBM,79 810,34.88
Meurthe-et-Moselle,Philippe Richert,LR - UDI - MoDem,46 661,20.39
Meurthe-et-Moselle,Jean-Pierre Masseret,(PS) puis Divers gauche,55 694,24.34
Meurthe-et-Moselle,Sandrine Belier,EELV - PRG,15 498,6.77
Meurthe-et-Moselle,Laurent Jacobelli,DLF,10 853,4.74
Meurthe-et-Moselle,Jean-Georges Trouillet,UL - AEI - PL - PM,2 507,1.1
Meurthe-et-Moselle,Patrick Peron,FG - MRC- NGS,11 333,4.95
Meurthe-et-Moselle,Julien Wostyn,LO,3 862,1.69
Meurthe-et-Moselle,David Wentzel,UPR,2 595,1.13
Meuse,Florian Philippot,FN - RBM,26 953,40.4
Meuse,Philippe Richert,LR - UDI - MoDem,13 487,20.21
Meuse,Jean-Pierre Masseret,(PS) puis Divers gauche,13 361,20.04
Meuse,Sandrine Belier,EELV - PRG,3 910,5.86
Meuse,Laurent Jacobelli,DLF,4 661,6.99
Meuse,Jean-Georges Trouillet,UL - AEI - PL - PM,809,1.21
Meuse,Patrick Peron,FG - MRC- NGS,1 760,2.64
Meuse,Julien Wostyn,LO,1 041,1.56
Meuse,David Wentzel,UPR,739,1.11
Moselle,Florian Philippot,FN - RBM,122 361,38.9
Moselle,Philippe Richert,LR - UDI - MoDem,69 429,22.07
Moselle,Jean-Pierre Masseret,(PS) puis Divers gauche,63 029,20.03
Moselle,Sandrine Belier,EELV - PRG,18 695,5.94
Moselle,Laurent Jacobelli,DLF,14 340,4.56
Moselle,Jean-Georges Trouillet,UL - AEI - PL - PM,6 665,2.12
Moselle,Patrick Peron,FG - MRC- NGS,10 490,3.34
Moselle,Julien Wostyn,LO,5 130,1.63
Moselle,David Wentzel,UPR,4 380,1.39
Bas-Rhin,Florian Philippot,FN - RBM,112 096,30.69
Bas-Rhin,Philippe Richert,LR - UDI - MoDem,121 613,33.29
Bas-Rhin,Jean-Pierre Masseret,(PS) puis Divers gauche,39 353,10.77
Bas-Rhin,Sandrine Belier,EELV - PRG,30 084,8.24
Bas-Rhin,Laurent Jacobelli,DLF,11 075,3.03
Bas-Rhin,Jean-Georges Trouillet,UL - AEI - PL - PM,36 776,10.07
Bas-Rhin,Patrick Peron,FG - MRC- NGS,8 291,2.27
Bas-Rhin,Julien Wostyn,LO,3 316,0.91
Bas-Rhin,David Wentzel,UPR,2 688,0.74
Haut-Rhin,Florian Philippot,FN - RBM,85 029,34.73
Haut-Rhin,Philippe Richert,LR - UDI - MoDem,68 509,27.98
Haut-Rhin,Jean-Pierre Masseret,(PS) puis Divers gauche,23 242,9.49
Haut-Rhin,Sandrine Belier,EELV - PRG,18 348,7.49
Haut-Rhin,Laurent Jacobelli,DLF,8 804,3.6
Haut-Rhin,Jean-Georges Trouillet,UL - AEI - PL - PM,30 950,12.64
Haut-Rhin,Patrick Peron,FG - MRC- NGS,4 931,2.01
Haut-Rhin,Julien Wostyn,LO,2 882,1.18
Haut-Rhin,David Wentzel,UPR,2 119,0.87
Vosges,Florian Philippot,FN - RBM,51 263,37.19
Vosges,Philippe Richert,LR - UDI - MoDem,31 400,22.78
