department,Inscrits
AIN,406874
AISNE,374780
ALLIER,253703
ALPES DE HAUTE PROVENCE,125778
HAUTES ALPES,108920
ALPES MARITIMES,761575
ARDECHE,247803
ARDENNES,195007
ARIEGE,116689
AUBE,203894
AUDE,268758
AVEYRON,218654
BOUCHES DU RHONE,1350579
CALVADOS,494046
CANTAL,118078
CHARENTE,260342
CHARENTE MARITIME,481251
CHER,229570
CORREZE,186168
CORSE DU SUD,106822
HAUTE CORSE,123044
COTE D'OR,355315
COTES D'ARMOR,453977
CREUSE,94745
DORDOGNE,312162
DOUBS,364962
DROME,363289
EURE,424544
EURE ET LOIR,300208
FINISTERE,685586
GARD,529827
HAUTE GARONNE,877256
GERS,144712
GIRONDE,1046873
HERAULT,781383
ILLE ET VILAINE,713690
INDRE,171730
INDRE ET LOIRE,423130
ISERE,840777
JURA,188708
LANDES,303978
LOIR ET CHER,244911
LOIRE,508757
HAUTE LOIRE,177167
LOIRE ATLANTIQUE,967468
LOIRET,447796
LOT,135779
LOT ET GARONNE,240471
LOZERE,59906
MAINE ET LOIRE,561748
MANCHE,377687
MARNE,378895
HAUTE MARNE,136714
MAYENNE,222438
MEURTHE ET MOSELLE,493317
MEUSE,138699
MORBIHAN,568610
MOSELLE,756001
NIEVRE,161759
NORD,1804756
OISE,559330
ORNE,210219
PAS DE CALAIS,1090448
PUY DE DOME,454475
PYRENEES ATLANTIQUES,499959
HAUTES PYRENEES,177905
PYRENEES ORIENTALES,342593
BAS RHIN,768531
HAUT RHIN,529235
RHONE,1108472
HAUTE SAONE,179960
SAONE ET LOIRE,408473
SARTHE,408141
SAVOIE,304772
HAUTE SAVOIE,526472
PARIS,1238566
SEINE MARITIME,884317
SEINE ET MARNE,864556
YVELINES,956032
DEUX SEVRES,271646
SOMME,408525
TARN,288064
TARN ET GARONNE,180307
VAR,780011
VAUCLUSE,398416
VENDEE,504996
VIENNE,306368
HAUTE VIENNE,264970
VOSGES,285237
YONNE,242084
TERRITOIRE DE BELFORT,95418
ESSONNE,787151
HAUTS DE SEINE,973340
SEINE SAINT DENIS,762867
VAL DE MARNE,780643
VAL D'OISE,724034
GUADELOUPE,313433
MARTINIQUE,310723
GUYANE,88183
LA REUNION,625471
METROPOLE DE LYON,	791695
