Libellé du département;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Year
Ain;424501;291272;68,62;133229;31,38;2408;0,57;1,81;1301;0,31;0,98;129520;30,51;97,22;2021
Aisne;372123;242169;65,08;129954;34,92;2901;0,78;2,23;2578;0,69;1,98;124475;33,45;95,78;2021
Allier;246625;156775;63,57;89850;36,43;2124;0,86;2,36;1667;0,68;1,86;86059;34,89;95,78;2021
Alpes-de-Haute-Provence;126285;75384;59,69;50901;40,31;1837;1,45;3,61;901;0,71;1,77;48163;38,14;94,62;2021
Hautes-Alpes;111517;64843;58,15;46674;41,85;1732;1,55;3,71;772;0,69;1,65;44170;39,61;94,64;2021
Alpes-Maritimes;757896;496971;65,57;260925;34,43;7497;0,99;2,87;3858;0,51;1,48;249570;32,93;95,65;2021
Ardèche;250935;157678;62,84;93257;37,16;2176;0,87;2,33;1026;0,41;1,1;90055;35,89;96,57;2021
Ardennes;184542;126112;68,34;58430;31,66;1901;1,03;3,25;1005;0,54;1,72;55524;30,09;95,03;2021
Ariège;117677;67880;57,68;49797;42,32;1249;1,06;2,51;983;0,84;1,97;47565;40,42;95,52;2021
Aube;203372;138244;67,98;65128;32,02;1974;0,97;3,03;1222;0,6;1,88;61932;30,45;95,09;2021
Aude;274096;165633;60,43;108463;39,57;2846;1,04;2,62;2461;0,9;2,27;103156;37,63;95,11;2021
Aveyron;217795;123510;56,71;94285;43,29;2862;1,31;3,04;2119;0,97;2,25;89304;41;94,72;2021
Bouches-du-Rhône;1384817;938587;67,78;446230;32,22;11954;0,86;2,68;6411;0,46;1,44;427865;30,9;95,88;2021
Calvados;501287;329576;65,75;171711;34,25;3861;0,77;2,25;2331;0,47;1,36;165519;33,02;96,39;2021
Cantal;114675;66636;58,11;48039;41,89;1199;1,05;2,5;625;0,55;1,3;46215;40,3;96,2;2021
Charente;254019;169454;66,71;84565;33,29;2528;1;2,99;2216;0,87;2,62;79821;31,42;94,39;2021
Charente-Maritime;502378;333524;66,39;168854;33,61;4144;0,82;2,45;3252;0,65;1,93;161458;32,14;95,62;2021
Cher;223818;150260;67,13;73558;32,87;2507;1,12;3,41;1070;0,48;1,45;69981;31,27;95,14;2021
Corrèze;183370;106821;58,25;76549;41,75;2452;1,34;3,2;1935;1,06;2,53;72162;39,35;94,27;2021
Corse-du-Sud;112236;48905;43,57;63331;56,43;467;0,42;0,74;640;0,57;1,01;62224;55,44;98,25;2021
Haute-Corse;127572;54016;42,34;73556;57,66;677;0,53;0,92;646;0,51;0,88;72233;56,62;98,2;2021
Côte-d'Or;358307;229066;63,93;129241;36,07;3538;0,99;2,74;1467;0,41;1,14;124236;34,67;96,13;2021
Côtes-d'Armor;460926;280272;60,81;180654;39,19;5272;1,14;2,92;3972;0,86;2,2;171410;37,19;94,88;2021
Creuse;90758;55032;60,64;35726;39,36;1463;1,61;4,1;904;1;2,53;33359;36,76;93,37;2021
Dordogne;311774;185011;59,34;126763;40,66;3782;1,21;2,98;3652;1,17;2,88;119329;38,27;94,14;2021
Doubs;362697;239154;65,94;123543;34,06;3245;0,89;2,63;2008;0,55;1,63;118290;32,61;95,75;2021
Drôme;373901;246791;66;127110;34;2850;0,76;2,24;1418;0,38;1,12;122842;32,85;96,64;2021
Eure;427638;286936;67,1;140702;32,9;3650;0,85;2,59;1786;0,42;1,27;135266;31,63;96,14;2021
Eure-et-Loir;301316;205477;68,19;95839;31,81;2740;0,91;2,86;1564;0,52;1,63;91535;30,38;95,51;2021
Finistère;692856;446816;64,49;246040;35,51;6706;0,97;2,73;3896;0,56;1,58;235438;33,98;95,69;2021
Gard;543289;362350;66,7;180939;33,3;4351;0,8;2,4;2683;0,49;1,48;173905;32,01;96,11;2021
Haute-Garonne;897437;568045;63,3;329392;36,7;4666;0,52;1,42;4160;0,46;1,26;320566;35,72;97,32;2021
Gers;145245;80355;55,32;64890;44,68;1892;1,3;2,92;1157;0,8;1,78;61841;42,58;95,3;2021
Gironde;1114452;742144;66,59;372308;33,41;5890;0,53;1,58;5161;0,46;1,39;361257;32,42;97,03;2021
Hérault;819807;546878;66,71;272929;33,29;5634;0,69;2,06;3842;0,47;1,41;263453;32,14;96,53;2021
