department;liste;candidate;votes;percentage_inscriped;percentage_expressed;bloc
Ain;AGIR POUR NE PLUS SUBIR;OMEIR Farid;297;0,07;0,23;Centre
Allier;AGIR POUR NE PLUS SUBIR;OMEIR Farid;7;0;0,01;Centre
Ardeche;AGIR POUR NE PLUS SUBIR;OMEIR Farid;2;0;0;Centre
Cantal;AGIR POUR NE PLUS SUBIR;OMEIR Farid;33;0,03;0,07;Centre
Drome;AGIR POUR NE PLUS SUBIR;OMEIR Farid;367;0,1;0,3;Centre
Isere;AGIR POUR NE PLUS SUBIR;OMEIR Farid;1263;0,15;0,47;Centre
Loire;AGIR POUR NE PLUS SUBIR;OMEIR Farid;559;0,11;0,38;Centre
Haute-Loire;AGIR POUR NE PLUS SUBIR;OMEIR Farid;1;0;0;Centre
Puy-de-Dome;AGIR POUR NE PLUS SUBIR;OMEIR Farid;5;0;0;Centre
Rhone;AGIR POUR NE PLUS SUBIR;OMEIR Farid;2312;0,2;0,68;Centre
Savoie;AGIR POUR NE PLUS SUBIR;OMEIR Farid;409;0,13;0,4;Centre
Haute-Savoie;AGIR POUR NE PLUS SUBIR;OMEIR Farid;429;0,08;0,28;Centre
Ardennes;AGIR;TYANE Adil;211;0,11;0,38;Centre
Aube;AGIR;TYANE Adil;282;0,14;0,46;Centre
Marne;AGIR;TYANE Adil;43;0,01;0,04;Centre
Haute-Marne;AGIR;TYANE Adil;0;0;0;Centre
Meurthe-et-Moselle;AGIR;TYANE Adil;853;0,18;0,62;Centre
Meuse;AGIR;TYANE Adil;52;0,04;0,12;Centre
Moselle;AGIR;TYANE Adil;2070;0,28;1,1;Centre
Bas-Rhin;AGIR;TYANE Adil;1250;0,16;0,57;Centre
Haut-Rhin;AGIR;TYANE Adil;497;0,09;0,35;Centre
Vosges;AGIR;TYANE Adil;4;0;0;Centre
Martinique;AKM AKTE KILTI MATNIK;BERISSON Olivier;2135;0,7;2,23;Ecologisme
Martinique;ALIANS MATINIK;LETCHIMY Serge;30267;9,87;31,66;Gauche
La Reunion;ANSANM ALON ReYONe;HOARAU Olivier;9800;1,47;4,24;Gauche
Martinique;ANSANM POU PEYI NOU;NILOR Jean-Philippe;11481;3,75;12,01;Gauche
Ain;AURALP, LA MAJORITe PReSI;BONNELL Bruno;12821;3,02;9,9;Centre
Allier;AURALP, LA MAJORITe PReSI;BONNELL Bruno;5574;2,26;6,48;Centre
Ardeche;AURALP, LA MAJORITe PReSI;BONNELL Bruno;6141;2,45;6,82;Centre
Cantal;AURALP, LA MAJORITe PReSI;BONNELL Bruno;2176;1,9;4,71;Centre
Drome;AURALP, LA MAJORITe PReSI;BONNELL Bruno;11249;3,01;9,16;Centre
Isere;AURALP, LA MAJORITe PReSI;BONNELL Bruno;29629;3,42;11,01;Centre
Loire;AURALP, LA MAJORITe PReSI;BONNELL Bruno;12864;2,55;8,74;Centre
Haute-Loire;AURALP, LA MAJORITe PReSI;BONNELL Bruno;3361;1,88;4,78;Centre
Puy-de-Dome;AURALP, LA MAJORITe PReSI;BONNELL Bruno;11592;2,53;7,26;Centre
Rhone;AURALP, LA MAJORITe PReSI;BONNELL Bruno;47424;4,2;13,99;Centre
Savoie;AURALP, LA MAJORITe PReSI;BONNELL Bruno;8940;2,87;8,82;Centre
Haute-Savoie;AURALP, LA MAJORITe PReSI;BONNELL Bruno;16521;3,03;10,87;Centre
