candidate,votes,percentage,circonscription,departement,party,year,insee_code
Jacques Boyon,21779,46.47,1ère circonscription de l'Ain,Ain,RPR,1993,1
Pierre Fromont,11300,24.11,1ère circonscription de l'Ain,Ain,Divers gauche,1993,1
Bernard Aulagne,4816,10.28,1ère circonscription de l'Ain,Ain,FN,1993,1
Marc de Antoni,4620,9.86,1ère circonscription de l'Ain,Ain,Les Verts,1993,1
Lionel Mornet,1863,3.98,1ère circonscription de l'Ain,Ain,PCF,1993,1
Nicole Giret,1193,2.55,1ère circonscription de l'Ain,Ain,Les nouveaux écologistes,1993,1
Yves Petiot,720,1.54,1ère circonscription de l'Ain,Ain,LO,1993,1
Jean-François Mortel,574,1.22,1ère circonscription de l'Ain,Ain,LCR,1993,1
Jean-Claude Lefer,0,0,1ère circonscription de l'Ain,Ain,Divers,1993,1
Lucien Guichon,21481,46.53,2e circonscription de l'Ain,Ain,RPR,1993,1
Jean Alcaraz,8674,18.79,2e circonscription de l'Ain,Ain,FN,1993,1
Eliane Drut-Gorju,6441,13.95,2e circonscription de l'Ain,Ain,PS,1993,1
Eric Gilbert,5896,12.77,2e circonscription de l'Ain,Ain,Les Verts,1993,1
Georges Arpin,3674,7.96,2e circonscription de l'Ain,Ain,PCF,1993,1
Charles Millon,22949,51.59,3e circonscription de l'Ain,Ain,UDF,1993,1
Pierre Carroz,7644,17.18,3e circonscription de l'Ain,Ain,PS,1993,1
Olivier Wyssa,5519,12.41,3e circonscription de l'Ain,Ain,FN,1993,1
Albert Delavière,4194,9.43,3e circonscription de l'Ain,Ain,Génération écologie,1993,1
Jean-Pierre Merlo,2655,5.97,3e circonscription de l'Ain,Ain,PCF,1993,1
Jean-Michel Verd,1524,3.43,3e circonscription de l'Ain,Ain,Les nouveaux écologistes,1993,1
Michel Voisin,25753,48.86,4e circonscription de l'Ain,Ain,UDF,1993,1
André Clavel,9203,17.46,4e circonscription de l'Ain,Ain,FN,1993,1
Michel Raymond,8408,15.95,4e circonscription de l'Ain,Ain,PS,1993,1
Alain Moussel,4486,8.51,4e circonscription de l'Ain,Ain,Génération écologie,1993,1
Christian Desmaris,2816,5.34,4e circonscription de l'Ain,Ain,PCF,1993,1
Dominique Aubert,2042,3.87,4e circonscription de l'Ain,Ain,Les nouveaux écologistes,1993,1
Jean-Claude Lamant,19147,40.88,1ère circonscription de l'Aisne,Aisne,RPR,1993,2
René Dosière,11101,23.7,1ère circonscription de l'Aisne,Aisne,PS,1993,2
Michel Saleck,5776,12.33,1ère circonscription de l'Aisne,Aisne,FN,1993,2
Dominique Lacombe,3393,7.24,1ère circonscription de l'Aisne,Aisne,PCF,1993,2
Patrick Degembe,2968,6.34,1ère circonscription de l'Aisne,Aisne,Les Verts,1993,2
Michelle Berdal,1914,4.09,1ère circonscription de l'Aisne,Aisne,Les nouveaux écologistes,1993,2
Jean-Loup Pernelle,1703,3.64,1ère circonscription de l'Aisne,Aisne,LO,1993,2
Philippe Jarno,831,1.77,1ère circonscription de l'Aisne,Aisne,CNI,1993,2
Charles Baur,18133,36.58,2e circonscription de l'Aisne,Aisne,UDF,1993,2
Daniel Le Meur,10441,21.06,2e circonscription de l'Aisne,Aisne,PCF,1993,2
François Piquet,5788,11.68,2e circonscription de l'Aisne,Aisne,FN,1993,2
Yves Mennesson,4281,8.64,2e circonscription de l'Aisne,Aisne,PS,1993,2
Jean-Robert Boutreux,2510,5.06,2e circonscription de l'Aisne,Aisne,Génération écologie,1993,2
Corinne Lemire,2239,4.52,2e circonscription de l'Aisne,Aisne,Les nouveaux écologistes,1993,2
Denis Lefèvre,1585,3.2,2e circonscription de l'Aisne,Aisne,Mouvement des radicaux de gauche,1993,2
