candidate,party,bloc,year,long_name
De Gaulle,UNR,Droite,1965,Charles de Gaulle
Mitterrand,PS,Gauche,1965,Francois Mitterrand
Lecanuet,MRP,Centre,1965,Jean Lecanuet
Tixier Vignancour,CTV,Droite radicale et extreme droite,1965,Jean Louis Tixier Vignancour
Barbu,DG,Gauche,1965,Marcel Barbu
Marcilhacy,PLE,Droite,1965,Pierre Marcilhacy
Krivine,LC,Gauche radicale et extreme gauche,1969,Alain Krivine
Poher,CD,Centre,1969,Alain Poher
Defferre,SFIO,Gauche,1969,Gaston Defferre
Pompidou,UDR,Droite,1969,Georges Pompidou
Duclos,PCF,Gauche radicale et extreme gauche,1969,Jacques Duclos
Ducatel,DG,Gauche,1969,Louis Ducatel
Rocard,PSU,Gauche radicale et extreme gauche,1969,Michel Rocard
Krivine,LC,Gauche radicale et extreme gauche,1974,Alain Krivine
Laguiller,LO,Gauche radicale et extreme gauche,1974,Arlette Laguiller
Renouvin,NAR,Gauche,1974,Bertrand Renouvin
Muller,MDS,Centre,1974,Emile Muller
Mitterrand,PS,Gauche,1974,Francois Mitterrand
Heraud,In,Gauche,1974,Guy Heraud
Chaban Delmas,UDR,Droite,1974,Jacques Chaban Delmas
Royer,DR,Droite,1974,Jean Royer
Sebag,MFR,Droite,1974,Jean Claude Sebag
Le Pen,FN,Droite radicale et extreme droite,1974,Jean Marie Le Pen
Dumont,DVG,Ecologisme,1974,Rene Dumont
d'Estaing,RI,Centre,1974,Valery Giscard d'Estaing
Laguiller,LO,Gauche radicale et extreme gauche,1981,Arlette Laguiller
Lalonde,MEP,Ecologisme,1981,Brice Lalonde
Mitterrand,PS,Gauche,1981,Francois Mitterrand
Marchais,PCF,Gauche radicale et extreme gauche,1981,Georges Marchais
Bouchardeau,PSU,Gauche radicale et extreme gauche,1981,Huguette Bouchardeau
Chirac,RPR,Droite,1981,Jacques Chirac
Garaud,DR,Droite,1981,Marie France Garaud
Crepeau,PRG,Centre,1981,Michel Crepeau
Debre,DR,Droite,1981,Michel Debre
d'Estaing,UDF,Centre,1981,Valery Giscard d'Estaing
Lajoinie,PCF,Gauche radicale et extreme gauche,1988,Andre Lajoinie
Waechter,LV,Ecologisme,1988,Antoine Waechter
Laguiller,LO,Gauche radicale et extreme gauche,1988,Arlette Laguiller
Mitterrand,PS,Gauche,1988,Francois Mitterrand
Chirac,RPR,Droite,1988,Jacques Chirac
Le Pen,FN,Droite radicale et extreme droite,1988,Jean Marie Le Pen
Boussel,MPPT,Gauche radicale et extreme gauche,1988,Pierre Boussel
Juquin,CR,Gauche radicale et extreme gauche,1988,Pierre Juquin
Barre,UDF,Centre,1988,Raymond Barre
Laguiller,LO,Gauche radicale et extreme gauche,1995,Arlette Laguiller
Voynet,LV,Ecologisme,1995,Dominique Voynet
Balladur,RPR,Droite,1995,Edouard Balladur
Cheminade,Autre,Droite radicale et extreme droite,1995,Jacques Cheminade
Chirac,RPR,Droite,1995,Jacques Chirac
Le Pen,FN,Droite radicale et extreme droite,1995,Jean Marie Le Pen
Jospin,PS,Gauche,1995,Lionel Jospin
Villiers,MPF,Droite radicale et extreme droite,1995,Philippe de Villiers
Hue,PCF,Gauche radicale et extreme gauche,1995,Robert Hue
