date,president,pollster,N,method,p_approve,p_disapprove,term_id,pollster_id,method_id,president_id,y,year,date_first_round,date_second_round,date_next_first_round,three_weeks,month,years,bloc,bloc_id
1978-09-28,vge,Kantar,1040,face to face,0.6,0.33,1,6,1,1,624,1974,1974-05-05,1974-05-19,1981-04-26,76,9,5,Droite,5
1978-10-17,vge,Ifop,949,phone,0.52,0.35,1,4,4,1,493,1974,1974-05-05,1974-05-19,1981-04-26,77,10,5,Droite,5
1978-10-28,vge,Kantar,964,face to face,0.59,0.34,1,6,1,1,568,1974,1974-05-05,1974-05-19,1981-04-26,78,10,5,Droite,5
1978-11-19,vge,Ifop,1069,phone,0.53,0.37,1,4,4,1,566,1974,1974-05-05,1974-05-19,1981-04-26,79,11,5,Droite,5
1978-11-24,vge,Kantar,928,face to face,0.62,0.33,1,6,1,1,575,1974,1974-05-05,1974-05-19,1981-04-26,79,11,5,Droite,5
1978-12-15,vge,Ifop,1035,phone,0.52,0.37,1,4,4,1,538,1974,1974-05-05,1974-05-19,1981-04-26,80,12,5,Droite,5
1978-12-20,vge,Kantar,993,face to face,0.62,0.34,1,6,1,1,615,1974,1974-05-05,1974-05-19,1981-04-26,80,12,5,Droite,5
1979-01-15,vge,Ifop,1049,phone,0.54,0.35,1,4,4,1,566,1974,1974-05-05,1974-05-19,1981-04-26,82,1,6,Droite,5
1979-01-24,vge,Kantar,904,face to face,0.57,0.38,1,6,1,1,515,1974,1974-05-05,1974-05-19,1981-04-26,82,1,6,Droite,5
1979-02-15,vge,Ifop,967,phone,0.48,0.41,1,4,4,1,464,1974,1974-05-05,1974-05-19,1981-04-26,83,2,6,Droite,5
1979-02-23,vge,Kantar,1004,face to face,0.51,0.43,1,6,1,1,512,1974,1974-05-05,1974-05-19,1981-04-26,83,2,6,Droite,5
1979-03-15,vge,Ifop,1037,phone,0.49,0.4,1,4,4,1,508,1974,1974-05-05,1974-05-19,1981-04-26,84,3,6,Droite,5
1979-03-21,vge,Kantar,978,face to face,0.54,0.4,1,6,1,1,528,1974,1974-05-05,1974-05-19,1981-04-26,85,3,6,Droite,5
1979-04-16,vge,Ifop,1002,phone,0.47,0.42,1,4,4,1,470,1974,1974-05-05,1974-05-19,1981-04-26,86,4,6,Droite,5
1979-04-23,vge,Kantar,920,face to face,0.56,0.39,1,6,1,1,515,1974,1974-05-05,1974-05-19,1981-04-26,86,4,6,Droite,5
1979-05-17,vge,Ifop,1084,phone,0.47,0.43,1,4,4,1,509,1974,1974-05-05,1974-05-19,1981-04-26,87,5,6,Droite,5
1979-05-20,vge,Kantar,1066,face to face,0.56,0.41,1,6,1,1,596,1974,1974-05-05,1974-05-19,1981-04-26,88,5,6,Droite,5
1979-06-19,vge,Ifop,1044,phone,0.46,0.42,1,4,4,1,480,1974,1974-05-05,1974-05-19,1981-04-26,89,6,6,Droite,5
1979-06-21,vge,Kantar,1087,face to face,0.54,0.41,1,6,1,1,586,1974,1974-05-05,1974-05-19,1981-04-26,89,6,6,Droite,5
1979-07-20,vge,Ifop,983,phone,0.48,0.4,1,4,4,1,471,1974,1974-05-05,1974-05-19,1981-04-26,90,7,6,Droite,5
1979-07-23,vge,Kantar,1081,face to face,0.51,0.43,1,6,1,1,551,1974,1974-05-05,1974-05-19,1981-04-26,91,7,6,Droite,5
1979-08-27,vge,Kantar,1058,face to face,0.49,0.45,1,6,1,1,518,1974,1974-05-05,1974-05-19,1981-04-26,92,8,6,Droite,5
1979-09-20,vge,Ifop,901,phone,0.4,0.44,1,4,4,1,360,1974,1974-05-05,1974-05-19,1981-04-26,93,9,6,Droite,5
1979-09-27,vge,Kantar,1059,face to face,0.51,0.44,1,6,1,1,540,1974,1974-05-05,1974-05-19,1981-04-26,94,9,6,Droite,5
1979-10-19,vge,Ifop,1071,phone,0.45,0.4,1,4,4,1,481,1974,1974-05-05,1974-05-19,1981-04-26,95,10,6,Droite,5
1979-10-23,vge,Kantar,1049,face to face,0.52,0.43,1,6,1,1,545,1974,1974-05-05,1974-05-19,1981-04-26,95,10,6,Droite,5
1979-11-18,vge,Ifop,1012,phone,0.47,0.44,1,4,4,1,475,1974,1974-05-05,1974-05-19,1981-04-26,96,11,6,Droite,5
1979-11-28,vge,Kantar,927,face to face,0.55,0.4,1,6,1,1,509,1974,1974-05-05,1974-05-19,1981-04-26,97,11,6,Droite,5
1979-12-19,vge,Ifop,918,phone,0.46,0.39,1,4,4,1,422,1974,1974-05-05,1974-05-19,1981-04-26,98,12,6,Droite,5
1979-12-27,vge,Kantar,1034,face to face,0.54,0.42,1,6,1,1,558,1974,1974-05-05,1974-05-19,1981-04-26,98,12,6,Droite,5
1980-01-15,vge,Ifop,1016,phone,0.46,0.4,1,4,4,1,467,1974,1974-05-05,1974-05-19,1981-04-26,99,1,7,Droite,5
1980-01-27,vge,Kantar,1007,face to face,0.58,0.38,1,6,1,1,584,1974,1974-05-05,1974-05-19,1981-04-26,100,1,7,Droite,5
1980-02-19,vge,Ifop,1073,phone,0.49,0.35,1,4,4,1,525,1974,1974-05-05,1974-05-19,1981-04-26,101,2,7,Droite,5
1980-02-24,vge,Kantar,1079,face to face,0.59,0.37,1,6,1,1,636,1974,1974-05-05,1974-05-19,1981-04-26,101,2,7,Droite,5
1980-03-19,vge,Ifop,1041,phone,0.47,0.37,1,4,4,1,489,1974,1974-05-05,1974-05-19,1981-04-26,102,3,7,Droite,5
1980-03-25,vge,Kantar,900,face to face,0.56,0.41,1,6,1,1,504,1974,1974-05-05,1974-05-19,1981-04-26,102,3,7,Droite,5
1980-04-18,vge,Ifop,1046,phone,0.45,0.42,1,4,4,1,470,1974,1974-05-05,1974-05-19,1981-04-26,103,4,7,Droite,5
1980-04-23,vge,Kantar,1047,face to face,0.51,0.45,1,6,1,1,533,1974,1974-05-05,1974-05-19,1981-04-26,104,4,7,Droite,5
1980-05-17,vge,Ifop,1021,phone,0.45,0.41,1,4,4,1,459,1974,1974-05-05,1974-05-19,1981-04-26,105,5,7,Droite,5
1980-05-22,vge,Kantar,985,face to face,0.53,0.43,1,6,1,1,522,1974,1974-05-05,1974-05-19,1981-04-26,105,5,7,Droite,5
1980-06-15,vge,Ifop,978,phone,0.45,0.42,1,4,4,1,440,1974,1974-05-05,1974-05-19,1981-04-26,106,6,7,Droite,5
1980-06-22,vge,Kantar,1061,face to face,0.51,0.44,1,6,1,1,541,1974,1974-05-05,1974-05-19,1981-04-26,107,6,7,Droite,5
1980-07-15,vge,Ifop,984,phone,0.44,0.4,1,4,4,1,432,1974,1974-05-05,1974-05-19,1981-04-26,108,7,7,Droite,5
1980-07-24,vge,Kantar,935,face to face,0.52,0.42,1,6,1,1,486,1974,1974-05-05,1974-05-19,1981-04-26,108,7,7,Droite,5
1980-08-25,vge,Kantar,1015,face to face,0.54,0.41,1,6,1,1,548,1974,1974-05-05,1974-05-19,1981-04-26,110,8,7,Droite,5
1980-09-17,vge,Ifop,1095,phone,0.41,0.42,1,4,4,1,448,1974,1974-05-05,1974-05-19,1981-04-26,111,9,7,Droite,5
1980-09-20,vge,Kantar,945,face to face,0.51,0.43,1,6,1,1,481,1974,1974-05-05,1974-05-19,1981-04-26,111,9,7,Droite,5
1980-10-28,vge,Kantar,944,face to face,0.5,0.46,1,6,1,1,472,1974,1974-05-05,1974-05-19,1981-04-26,113,10,7,Droite,5
1980-11-15,vge,Ifop,1015,phone,0.44,0.47,1,4,4,1,446,1974,1974-05-05,1974-05-19,1981-04-26,113,11,7,Droite,5
1980-11-28,vge,Kantar,975,face to face,0.53,0.42,1,6,1,1,516,1974,1974-05-05,1974-05-19,1981-04-26,114,11,7,Droite,5
1980-12-19,vge,Ifop,1081,phone,0.4,0.46,1,4,4,1,432,1974,1974-05-05,1974-05-19,1981-04-26,115,12,7,Droite,5
1980-12-27,vge,Kantar,1016,face to face,0.47,0.49,1,6,1,1,477,1974,1974-05-05,1974-05-19,1981-04-26,115,12,7,Droite,5
1981-01-17,vge,Ifop,902,phone,0.37,0.47,1,4,4,1,333,1974,1974-05-05,1974-05-19,1981-04-26,116,1,8,Droite,5
1981-01-25,vge,Kantar,1063,face to face,0.44,0.51,1,6,1,1,467,1974,1974-05-05,1974-05-19,1981-04-26,117,1,8,Droite,5
1981-02-20,vge,Ifop,938,phone,0.37,0.51,1,4,4,1,347,1974,1974-05-05,1974-05-19,1981-04-26,118,2,8,Droite,5
1981-02-22,vge,Kantar,992,face to face,0.41,0.55,1,6,1,1,406,1974,1974-05-05,1974-05-19,1981-04-26,118,2,8,Droite,5
1981-03-20,vge,Ifop,1063,phone,0.35,0.47,1,4,4,1,372,1974,1974-05-05,1974-05-19,1981-04-26,119,3,8,Droite,5
1981-03-23,vge,Kantar,963,face to face,0.44,0.52,1,6,1,1,423,1974,1974-05-05,1974-05-19,1981-04-26,120,3,8,Droite,5
1981-04-16,vge,Ifop,1069,phone,0.4,0.46,1,4,4,1,427,1974,1974-05-05,1974-05-19,1981-04-26,121,4,8,Droite,5
1981-04-28,vge,Kantar,997,face to face,0.44,0.52,1,6,1,1,438,1974,1974-05-05,1974-05-19,1981-04-26,121,4,8,Droite,5
1981-05-26,mitterrand1,Kantar,1052,face to face,0.74,0.2,1,6,1,2,778,1981,1981-04-26,1981-05-10,1988-04-24,1,5,1,Gauche,3
1981-06-15,mitterrand1,Ifop,973,phone,0.54,0.16,1,4,4,2,525,1981,1981-04-26,1981-05-10,1988-04-24,2,6,1,Gauche,3
1981-06-23,mitterrand1,Kantar,1086,face to face,0.71,0.24,1,6,1,2,771,1981,1981-04-26,1981-05-10,1988-04-24,3,6,1,Gauche,3
1981-06-29,mitterrand1,BVA,1052,phone,0.61,0.17,1,1,4,2,641,1981,1981-04-26,1981-05-10,1988-04-24,3,6,1,Gauche,3
1981-07-24,mitterrand1,Kantar,1052,face to face,0.66,0.29,1,6,1,2,694,1981,1981-04-26,1981-05-10,1988-04-24,4,7,1,Gauche,3
1981-08-24,mitterrand1,Kantar,1065,face to face,0.62,0.32,1,6,1,2,660,1981,1981-04-26,1981-05-10,1988-04-24,6,8,1,Gauche,3
1981-09-15,mitterrand1,Ifop,916,phone,0.48,0.25,1,4,4,2,439,1981,1981-04-26,1981-05-10,1988-04-24,7,9,1,Gauche,3
1981-09-22,mitterrand1,Kantar,1005,face to face,0.64,0.31,1,6,1,2,643,1981,1981-04-26,1981-05-10,1988-04-24,7,9,1,Gauche,3
1981-09-23,mitterrand1,BVA,900,phone,0.49,0.28,1,1,4,2,441,1981,1981-04-26,1981-05-10,1988-04-24,7,9,1,Gauche,3
1981-10-15,mitterrand1,Ifop,961,phone,0.47,0.25,1,4,4,2,451,1981,1981-04-26,1981-05-10,1988-04-24,8,10,1,Gauche,3
1981-10-23,mitterrand1,Kantar,1028,face to face,0.6,0.35,1,6,1,2,616,1981,1981-04-26,1981-05-10,1988-04-24,8,10,1,Gauche,3
1981-11-15,mitterrand1,Ifop,996,phone,0.46,0.29,1,4,4,2,458,1981,1981-04-26,1981-05-10,1988-04-24,10,11,1,Gauche,3
1981-11-25,mitterrand1,Kantar,983,face to face,0.57,0.37,1,6,1,2,560,1981,1981-04-26,1981-05-10,1988-04-24,10,11,1,Gauche,3
1981-12-17,mitterrand1,Ifop,1099,phone,0.46,0.31,1,4,4,2,505,1981,1981-04-26,1981-05-10,1988-04-24,11,12,1,Gauche,3
1981-12-28,mitterrand1,Kantar,1053,face to face,0.59,0.35,1,6,1,2,621,1981,1981-04-26,1981-05-10,1988-04-24,12,12,1,Gauche,3
1981-12-29,mitterrand1,BVA,991,phone,0.59,0.3,1,1,4,2,584,1981,1981-04-26,1981-05-10,1988-04-24,12,12,1,Gauche,3
1982-01-18,mitterrand1,Ifop,1097,phone,0.51,0.28,1,4,4,2,559,1981,1981-04-26,1981-05-10,1988-04-24,13,1,2,Gauche,3
1982-01-21,mitterrand1,Kantar,1097,face to face,0.58,0.37,1,6,1,2,636,1981,1981-04-26,1981-05-10,1988-04-24,13,1,2,Gauche,3
1982-02-19,mitterrand1,Ifop,1005,phone,0.51,0.32,1,4,4,2,512,1981,1981-04-26,1981-05-10,1988-04-24,14,2,2,Gauche,3
1982-02-27,mitterrand1,Kantar,1054,face to face,0.58,0.36,1,6,1,2,611,1981,1981-04-26,1981-05-10,1988-04-24,14,2,2,Gauche,3
1982-03-15,mitterrand1,Ifop,1072,phone,0.49,0.33,1,4,4,2,525,1981,1981-04-26,1981-05-10,1988-04-24,15,3,2,Gauche,3
1982-03-18,mitterrand1,BVA,1065,phone,0.51,0.34,1,1,4,2,543,1981,1981-04-26,1981-05-10,1988-04-24,15,3,2,Gauche,3
1982-03-20,mitterrand1,Kantar,913,face to face,0.56,0.39,1,6,1,2,511,1981,1981-04-26,1981-05-10,1988-04-24,15,3,2,Gauche,3
1982-04-20,mitterrand1,Ifop,975,phone,0.54,0.35,1,4,4,2,526,1981,1981-04-26,1981-05-10,1988-04-24,17,4,2,Gauche,3
1982-04-25,mitterrand1,Kantar,1063,face to face,0.58,0.37,1,6,1,2,616,1981,1981-04-26,1981-05-10,1988-04-24,17,4,2,Gauche,3
1982-05-20,mitterrand1,Ifop,932,phone,0.54,0.3,1,4,4,2,503,1981,1981-04-26,1981-05-10,1988-04-24,18,5,2,Gauche,3
1982-05-21,mitterrand1,Kantar,1051,face to face,0.63,0.33,1,6,1,2,662,1981,1981-04-26,1981-05-10,1988-04-24,18,5,2,Gauche,3
1982-06-20,mitterrand1,Ifop,999,phone,0.48,0.32,1,4,4,2,479,1981,1981-04-26,1981-05-10,1988-04-24,20,6,2,Gauche,3
1982-06-23,mitterrand1,BVA,1052,phone,0.56,0.33,1,1,4,2,589,1981,1981-04-26,1981-05-10,1988-04-24,20,6,2,Gauche,3
1982-06-28,mitterrand1,Kantar,1027,face to face,0.57,0.39,1,6,1,2,585,1981,1981-04-26,1981-05-10,1988-04-24,20,6,2,Gauche,3
1982-07-17,mitterrand1,Ifop,969,phone,0.41,0.4,1,4,4,2,397,1981,1981-04-26,1981-05-10,1988-04-24,21,7,2,Gauche,3
1982-07-18,mitterrand1,BVA,934,phone,0.56,0.35,1,1,4,2,523,1981,1981-04-26,1981-05-10,1988-04-24,21,7,2,Gauche,3
1982-07-25,mitterrand1,Kantar,972,face to face,0.55,0.4,1,6,1,2,534,1981,1981-04-26,1981-05-10,1988-04-24,22,7,2,Gauche,3
1982-08-23,mitterrand1,Kantar,1020,face to face,0.54,0.42,1,6,1,2,550,1981,1981-04-26,1981-05-10,1988-04-24,23,8,2,Gauche,3
1982-09-16,mitterrand1,Ifop,1009,phone,0.42,0.45,1,4,4,2,423,1981,1981-04-26,1981-05-10,1988-04-24,24,9,2,Gauche,3
1982-09-21,mitterrand1,Kantar,1024,face to face,0.51,0.43,1,6,1,2,522,1981,1981-04-26,1981-05-10,1988-04-24,24,9,2,Gauche,3
1982-09-29,mitterrand1,BVA,973,phone,0.52,0.37,1,1,4,2,505,1981,1981-04-26,1981-05-10,1988-04-24,25,9,2,Gauche,3
1982-10-15,mitterrand1,Ifop,911,phone,0.44,0.45,1,4,4,2,400,1981,1981-04-26,1981-05-10,1988-04-24,25,10,2,Gauche,3
1982-10-19,mitterrand1,BVA,1039,phone,0.52,0.36,1,1,4,2,540,1981,1981-04-26,1981-05-10,1988-04-24,26,10,2,Gauche,3
1982-10-23,mitterrand1,Kantar,918,face to face,0.53,0.43,1,6,1,2,486,1981,1981-04-26,1981-05-10,1988-04-24,26,10,2,Gauche,3
1982-11-16,mitterrand1,Ifop,1048,phone,0.43,0.46,1,4,4,2,450,1981,1981-04-26,1981-05-10,1988-04-24,27,11,2,Gauche,3
