election_year,p_approve,N,pollster_president_id,president,pollster,pollster_id,president_id,method_id,method,time_id
1988,0.52,1096,2,mitterrand1,Ifop,2,1,4,phone,3
1988,0.56,979,1,mitterrand1,BVA,1,1,4,phone,3
1988,0.54,1094,3,mitterrand1,Kantar,4,1,1,face to face,4
1988,0.55,1014,2,mitterrand1,Ifop,2,1,4,phone,7
1988,0.57,917,3,mitterrand1,Kantar,4,1,1,face to face,8
1988,0.55,902,1,mitterrand1,BVA,1,1,4,phone,9
1988,0.52,925,2,mitterrand1,Ifop,2,1,4,phone,12
1988,0.55,1065,1,mitterrand1,BVA,1,1,4,phone,12
1988,0.59,1004,3,mitterrand1,Kantar,4,1,1,face to face,12
1988,0.52,975,2,mitterrand1,Ifop,2,1,4,phone,16
1988,0.61,917,3,mitterrand1,Kantar,4,1,1,face to face,18
1988,0.56,1061,2,mitterrand1,Ifop,2,1,4,phone,21
1988,0.6,976,3,mitterrand1,Kantar,4,1,1,face to face,21
1988,0.57,983,1,mitterrand1,BVA,1,1,4,phone,22
1988,0.53,964,2,mitterrand1,Ifop,2,1,4,phone,25
1988,0.58,930,3,mitterrand1,Kantar,4,1,1,face to face,26
1988,0.6,995,1,mitterrand1,BVA,1,1,4,phone,27
1988,0.51,948,2,mitterrand1,Ifop,2,1,4,phone,30
1988,0.56,1025,3,mitterrand1,Kantar,4,1,1,face to face,30
1988,0.58,1066,1,mitterrand1,BVA,1,1,4,phone,31
1988,0.56,1089,2,mitterrand1,Ifop,2,1,4,phone,34
1988,0.58,1021,3,mitterrand1,Kantar,4,1,1,face to face,34
1988,0.59,1043,1,mitterrand1,BVA,1,1,4,phone,35
1988,0.6,965,2,mitterrand1,Ifop,2,1,4,phone,38
1988,0.61,991,1,mitterrand1,BVA,1,1,4,phone,39
1988,0.62,1058,3,mitterrand1,Kantar,4,1,1,face to face,39
1988,0.55,995,2,mitterrand1,Ifop,2,1,4,phone,43
1988,0.61,1080,1,mitterrand1,BVA,1,1,4,phone,44
1988,0.61,927,3,mitterrand1,Kantar,4,1,1,face to face,44
1988,0.55,1004,2,mitterrand1,Ifop,2,1,4,phone,47
1988,0.59,921,3,mitterrand1,Kantar,4,1,1,face to face,48
1988,0.63,1066,1,mitterrand1,BVA,1,1,4,phone,48
1988,0.54,1059,2,mitterrand1,Ifop,2,1,4,phone,51
1988,0.57,1067,3,mitterrand1,Kantar,4,1,1,face to face,52
1988,0.6,1074,1,mitterrand1,BVA,1,1,4,phone,52
1995,0.45,961,5,mitterrand2,Ifop,2,2,4,phone,4
1995,0.43,960,6,mitterrand2,Kantar,4,2,1,face to face,4
1995,0.47,930,4,mitterrand2,BVA,1,2,4,phone,5
1995,0.46,938,5,mitterrand2,Ifop,2,2,4,phone,8
1995,0.4,1095,6,mitterrand2,Kantar,4,2,1,face to face,9
1995,0.47,1003,4,mitterrand2,BVA,1,2,4,phone,9
1995,0.51,1032,5,mitterrand2,Ifop,2,2,4,phone,12
1995,0.42,997,6,mitterrand2,Kantar,4,2,1,face to face,13
1995,0.52,1043,4,mitterrand2,BVA,1,2,4,phone,14
1995,0.51,992,5,mitterrand2,Ifop,2,2,4,phone,16
1995,0.43,1082,6,mitterrand2,Kantar,4,2,1,face to face,17
1995,0.45,1072,5,mitterrand2,Ifop,2,2,4,phone,21
1995,0.42,1011,6,mitterrand2,Kantar,4,2,1,face to face,22
1995,0.51,959,4,mitterrand2,BVA,1,2,4,phone,22
1995,0.45,1020,5,mitterrand2,Ifop,2,2,4,phone,25
1995,0.51,907,4,mitterrand2,BVA,1,2,4,phone,26
1995,0.41,973,6,mitterrand2,Kantar,4,2,1,face to face,26
1995,0.49,956,5,mitterrand2,Ifop,2,2,4,phone,29
1995,0.53,926,4,mitterrand2,BVA,1,2,4,phone,30
1995,0.38,982,6,mitterrand2,Kantar,4,2,1,face to face,31
1995,0.48,924,5,mitterrand2,Ifop,2,2,4,phone,34
1995,0.51,943,4,mitterrand2,BVA,1,2,4,phone,35
1995,0.42,1045,6,mitterrand2,Kantar,4,2,1,face to face,36
1995,0.53,1068,5,mitterrand2,Ifop,2,2,4,phone,38
1995,0.5,1020,4,mitterrand2,BVA,1,2,4,phone,39
1995,0.42,904,6,mitterrand2,Kantar,4,2,1,face to face,39
1995,0.49,1042,5,mitterrand2,Ifop,2,2,4,phone,43
1995,0.52,1092,4,mitterrand2,BVA,1,2,4,phone,44
1995,0.41,1033,6,mitterrand2,Kantar,4,2,1,face to face,44
1995,0.46,945,5,mitterrand2,Ifop,2,2,4,phone,47
1995,0.51,1009,4,mitterrand2,BVA,1,2,4,phone,48
1995,0.35,1063,6,mitterrand2,Kantar,4,2,1,face to face,48
1995,0.45,1086,5,mitterrand2,Ifop,2,2,4,phone,52
1995,0.34,1084,6,mitterrand2,Kantar,4,2,1,face to face,52
1995,0.51,966,4,mitterrand2,BVA,1,2,4,phone,53
2002,0.54,931,8,chirac1,Ifop,2,3,4,phone,4
2002,0.58,923,9,chirac1,Ipsos,3,3,4,phone,4
2002,0.57,945,7,chirac1,BVA,1,3,4,phone,5
2002,0.45,1077,10,chirac1,Kantar,4,3,1,face to face,5
2002,0.57,974,9,chirac1,Ipsos,3,3,4,phone,8
2002,0.61,969,8,chirac1,Ifop,2,3,4,phone,9
2002,0.58,931,7,chirac1,BVA,1,3,4,phone,9
2002,0.45,981,10,chirac1,Kantar,4,3,1,face to face,9
2002,0.57,995,9,chirac1,Ipsos,3,3,4,phone,12
2002,0.54,960,8,chirac1,Ifop,2,3,4,phone,12
2002,0.45,1087,10,chirac1,Kantar,4,3,1,face to face,13
2002,0.55,935,7,chirac1,BVA,1,3,4,phone,13
2002,0.6,1065,8,chirac1,Ifop,2,3,4,phone,17
2002,0.55,1072,9,chirac1,Ipsos,3,3,4,phone,17
2002,0.47,971,10,chirac1,Kantar,4,3,1,face to face,18
2002,0.5,1095,9,chirac1,Ipsos,3,3,4,phone,20
2002,0.62,997,8,chirac1,Ifop,2,3,4,phone,21
2002,0.57,1030,10,chirac1,Kantar,4,3,1,face to face,22
2002,0.61,954,7,chirac1,BVA,1,3,4,phone,22
2002,0.58,927,8,chirac1,Ifop,2,3,4,phone,25
2002,0.56,928,10,chirac1,Kantar,4,3,1,face to face,26
2002,0.65,1051,9,chirac1,Ipsos,3,3,4,phone,27
2002,0.59,957,7,chirac1,BVA,1,3,4,phone,27
2002,0.54,1096,8,chirac1,Ifop,2,3,4,phone,30
2002,0.58,904,7,chirac1,BVA,1,3,4,phone,30
2002,0.5,901,10,chirac1,Kantar,4,3,1,face to face,31
2002,0.63,932,9,chirac1,Ipsos,3,3,4,phone,31
2002,0.55,903,7,chirac1,BVA,1,3,4,phone,34
