departement,year,election_id,department_id,n,y,p_abstentions,lag_p_abstentions
Aveyron,1988,1,1,212409,32912,0.15494635349726235,0.17035673582665337
Ain,1988,1,2,284999,54040,0.18961470040245756,0.21629007633587785
Aisne,1988,1,3,365387,59121,0.161803786122659,0.15321653024822046
Allier,1988,1,4,266200,46003,0.1728136739293764,0.1660426061965828
Alpes de Haute Provence,1988,1,5,97417,17118,0.17571881704425305,0.19104276702296347
Hautes Alpes,1988,1,6,81702,15088,0.18467112188196128,0.21103766292614015
Alpes Maritimes,1988,1,7,648614,129183,0.19916776387805382,0.20735036528252662
Ardèche,1988,1,8,203525,35282,0.17335462473897556,0.18914362778152394
Ardennes,1988,1,9,193851,35715,0.1842394416330068,0.1699347423178158
Ariège,1988,1,10,108146,19679,0.18196697057681283,0.194931190300218
Aube,1988,1,11,192647,36427,0.18908677529367185,0.18078514588859415
Aude,1988,1,12,216722,33049,0.152494901302129,0.1650861017610615
Bouches du Rhône,1988,1,13,1085250,217319,0.20024786915457268,0.216252345396845
Calvados,1988,1,14,414386,75067,0.18115235553324677,0.1736346448370604
Cantal,1988,1,15,125241,21678,0.17309028193642656,0.18828102412541362
Charente,1988,1,16,252073,43924,0.17425110979755865,0.1714438102062586
Charente Maritime,1988,1,17,380931,74285,0.19500906988404723,0.2007396389142865
Cher,1988,1,18,225337,40091,0.1779157439745803,0.16906677576253465
Corrèze,1988,1,19,185099,23107,0.12483589862722111,0.13399647963840236
Corse du Sud,1988,1,20,92030,29045,0.3156036075192872,0.33285288215271697
Haute Corse,1988,1,21,114551,38057,0.33222756676065685,0.3654485911050817
Côte d'Or,1988,1,22,312752,57851,0.18497403693661432,0.1942276390223076
Côtes d'Armor,1988,1,23,412856,59718,0.1446460751448447,0.15333732695365127
Creuse,1988,1,24,111152,21989,0.19782819922268605,0.20152468177312244
Dordogne,1988,1,25,302007,44233,0.14646349256805305,0.15272230790969107
Doubs,1988,1,26,306829,51213,0.1669105593017609,0.18413713075873864
Drôme,1988,1,27,274836,49084,0.1785937795630849,0.1980160229321888
Eure,1988,1,28,336345,57186,0.17002185256210142,0.16242606906162396
Eure et Loir,1988,1,29,256470,42659,0.16633134479666237,0.16390632483803474
Finistère,1988,1,30,615226,103170,0.1676944732504803,0.17498853786869856
Gard,1988,1,31,394396,68487,0.17365034128135173,0.18838851490589367
Haute Garonne,1988,1,32,587575,108639,0.18489384333914818,0.19387614136348583
Gers,1988,1,33,137959,24225,0.17559564798237157,0.17615750271362804
Gironde,1988,1,34,775467,136697,0.17627700469523525,0.18980497719409153
Hérault,1988,1,35,516320,94127,0.18230361016423924,0.19495900262261032
Ille et Vilaine,1988,1,36,531440,90532,0.1703522504892368,0.17410220545182487
Indre,1988,1,37,181927,29558,0.1624717606512502,0.17118453609959425
Indre et Loire,1988,1,38,351108,65283,0.1859342424553129,0.18629332799645826
Isère,1988,1,39,612755,110761,0.1807590309340601,0.20737434996285503
Jura,1988,1,40,173510,30235,0.17425508616218086,0.18541283971551034
Landes,1988,1,41,233725,34177,0.14622740400042786,0.15164610741865192
Loir et Cher,1988,1,42,216846,33485,0.15441834297150975,0.16365462812539053
Loire,1988,1,43,477662,96811,0.20267678818913792,0.20754903445027587
Haute Loire,1988,1,44,156620,27527,0.17575660835142382,0.18869851578816427
Loire Atlantique,1988,1,45,704725,131072,0.1859902798964135,0.18571076333107187
Loiret,1988,1,46,364925,59355,0.1626498595601836,0.1657761389458109
Lot,1988,1,47,121744,17991,0.14777730319358653,0.15457984305487957
Lot et Garonne,1988,1,48,224088,34986,0.15612616472100246,0.16410774003600018
Lozère,1988,1,49,57132,10088,0.1765735489743051,0.19504789823587917
Maine et Loire,1988,1,50,460597,73165,0.15884819050058946,0.1665166391034632
Manche,1988,1,51,340966,59301,0.17392056686003884,0.17504960666273278
Marne,1988,1,52,352702,68076,0.19301279833967486,0.18572442041403794
Haute Marne,1988,1,53,147196,28034,0.19045354493328623,0.18779550418890148
Mayenne,1988,1,54,196728,28949,0.1471524134846082,0.1480612483772798
Meurthe et Moselle,1988,1,55,469562,93835,0.19983516553724534,0.19388783284318908
Meuse,1988,1,56,140246,23396,0.16682115710965018,0.1696096554005941
Morbihan,1988,1,57,443526,71318,0.16079778863020433,0.16774299461393424
Moselle,1988,1,58,666371,118730,0.17817402017794892,0.18604236772307392
Nièvre,1988,1,59,177164,31071,0.1753798740150369,0.1853136581397451
Nord,1988,1,60,1634459,274381,0.16787267224200791,0.14856063391663768
Oise,1988,1,61,443577,68983,0.1555152769417711,0.1541935120495057
Orne,1988,1,62,210113,34183,0.16268864848914633,0.16589608583832874
Pas de Calais,1988,1,63,985579,145263,0.14738848940571989,0.13614202740375056
Puy de Dôme,1988,1,64,401454,70472,0.17554190517469,0.17046841023233497
Pyrénées Atlantiques,1988,1,65,413587,71876,0.1737868936886314,0.18252669276511907
Hautes Pyrénées,1988,1,66,171749,32912,0.19162848109741543,0.20501434540887392
Pyrénées Orientales,1988,1,67,251898,49624,0.19700037316691676,0.22244402553751488
Bas Rhin,1988,1,68,617322,113749,0.18426202208895845,0.19437851515167184
Haut Rhin,1988,1,69,436205,77844,0.17845737669215161,0.19942746244385937
Rhône,1988,1,70,880708,174003,0.19757172638377304,0.2104832953691555
Haute Saône,1988,1,71,165622,26484,0.15990629264228182,0.17896892752679147
Saône et Loire,1988,1,72,396538,79693,0.20097191189747263,0.20308478002041777
Sarthe,1988,1,73,362926,64871,0.17874442723861061,0.16721409979749308
Savoie,1988,1,74,230132,46197,0.20074131368084402,0.21805736787603264
Haute Savoie,1988,1,75,336725,66537,0.19760041576954487,0.22273651310779582
Paris,1988,1,76,1238623,286439,0.2312559996060141,0.22496241877701703
Seine Maritime,1988,1,77,808059,143459,0.17753530373400953,0.1641400079695115
Seine et Marne,1988,1,78,609181,112569,0.1847874441258017,0.18638739559887646
Yvelines,1988,1,79,772804,138524,0.17924855461410655,0.18094567772631934
Deux Sèvres,1988,1,80,250098,39579,0.1582539644459372,0.15952204566453299
Somme,1988,1,81,381128,54494,0.14298083583468021,0.13284324266207934
Tarn,1988,1,82,253432,37331,0.14730184033586918,0.14880889830165955
Tarn et Garonne,1988,1,83,145512,23443,0.16110698773984275,0.15838178930033955
Vaucluse,1988,1,84,304161,49072,0.1613356084442121,0.16758620689655174
Vendée,1988,1,85,364447,50669,0.13902981777871679,0.14243711497444086
Vienne,1988,1,86,270895,46435,0.17141327820742355,0.16918877446765854
Haute Vienne,1988,1,87,262298,40858,0.15576939206551327,0.15204547902210871
Vosges,1988,1,88,275186,47525,0.1727013728896092,0.17602497843508777
Yonne,1988,1,89,221190,39417,0.1782042587820426,0.1827951025388594
Territoire de Belfort,1988,1,90,84928,15381,0.18110634890730973,0.18530815011558704
Essonne,1988,1,91,636023,115888,0.18220724722219164,0.1791817597815156
Hauts de Seine,1988,1,92,816777,156130,0.19115376657276098,0.19816110062019485
Seine Saint Denis,1988,1,93,710366,158011,0.2224360400131763,0.20760838658104114
Val de Marne,1988,1,94,700106,139819,0.19971118659174467,0.190938592634466
Val d'Oise,1988,1,95,572242,109234,0.19088777125761477,0.18278177467021733
Var,1988,1,96,542667,102570,0.18901094041097027,0.19261650877267514
Guadeloupe,1988,1,97,196670,114324,0.5812986220572532,0.6032931179245017
Martinique,1988,1,98,216422,91703,0.42372309654286533,0.5171829454803178
Guyane,1988,1,99,30216,13295,0.4399986761980408,0.5600573838195018
La Réunion,1988,1,100,292622,77149,0.2636472992461264,0.3517518226630066
Aveyron,1995,2,1,212792,35244,0.16562652731305688,0.15494635349726235
