"","pollName","sampleSize","poll_id","candidate","percentage","start_day","end_day"
"1","TNS Sofres",1000,"2007_1_1","Schivardi",0.5,2007-04-20,2007-04-21
"2","TNS Sofres",1000,"2007_1_1","Laguiller",1.5,2007-04-20,2007-04-21
"3","TNS Sofres",1000,"2007_1_1","Besancenot",4,2007-04-20,2007-04-21
"4","TNS Sofres",1000,"2007_1_1","Buffet",2,2007-04-20,2007-04-21
"5","TNS Sofres",1000,"2007_1_1","Bove",1.5,2007-04-20,2007-04-21
"6","TNS Sofres",1000,"2007_1_1","Royal",25,2007-04-20,2007-04-21
"7","TNS Sofres",1000,"2007_1_1","Voynet",1,2007-04-20,2007-04-21
"8","TNS Sofres",1000,"2007_1_1","Nihous",1,2007-04-20,2007-04-21
"9","TNS Sofres",1000,"2007_1_1","Bayrou",18,2007-04-20,2007-04-21
"10","TNS Sofres",1000,"2007_1_1","Sarkozy",30,2007-04-20,2007-04-21
"11","TNS Sofres",1000,"2007_1_1","Villiers",2.5,2007-04-20,2007-04-21
"12","TNS Sofres",1000,"2007_1_1","Le Pen",13,2007-04-20,2007-04-21
"13","BVA",810,"2007_1_2","Schivardi",0.5,2007-04-20,2007-04-20
"14","BVA",810,"2007_1_2","Laguiller",2.5,2007-04-20,2007-04-20
"15","BVA",810,"2007_1_2","Besancenot",5,2007-04-20,2007-04-20
"16","BVA",810,"2007_1_2","Buffet",2.5,2007-04-20,2007-04-20
"17","BVA",810,"2007_1_2","Bove",1,2007-04-20,2007-04-20
"18","BVA",810,"2007_1_2","Royal",26,2007-04-20,2007-04-20
"19","BVA",810,"2007_1_2","Voynet",1,2007-04-20,2007-04-20
"20","BVA",810,"2007_1_2","Nihous",1,2007-04-20,2007-04-20
"21","BVA",810,"2007_1_2","Bayrou",17,2007-04-20,2007-04-20
"22","BVA",810,"2007_1_2","Sarkozy",29,2007-04-20,2007-04-20
"23","BVA",810,"2007_1_2","Villiers",2,2007-04-20,2007-04-20
"24","BVA",810,"2007_1_2","Le Pen",12.5,2007-04-20,2007-04-20
"25","CSA",1002,"2007_1_3","Schivardi",0,2007-04-20,2007-04-20
"26","CSA",1002,"2007_1_3","Laguiller",2,2007-04-20,2007-04-20
"27","CSA",1002,"2007_1_3","Besancenot",5,2007-04-20,2007-04-20
"28","CSA",1002,"2007_1_3","Buffet",2.5,2007-04-20,2007-04-20
"29","CSA",1002,"2007_1_3","Bove",1.5,2007-04-20,2007-04-20
"30","CSA",1002,"2007_1_3","Royal",25.5,2007-04-20,2007-04-20
"31","CSA",1002,"2007_1_3","Voynet",1.5,2007-04-20,2007-04-20
"32","CSA",1002,"2007_1_3","Nihous",1.5,2007-04-20,2007-04-20
"33","CSA",1002,"2007_1_3","Bayrou",16,2007-04-20,2007-04-20
"34","CSA",1002,"2007_1_3","Sarkozy",26.5,2007-04-20,2007-04-20
"35","CSA",1002,"2007_1_3","Villiers",1.5,2007-04-20,2007-04-20
"36","CSA",1002,"2007_1_3","Le Pen",16.5,2007-04-20,2007-04-20
"37","Ipsos",1598,"2007_1_4","Schivardi",0.5,2007-04-19,2007-04-20
"38","Ipsos",1598,"2007_1_4","Laguiller",2,2007-04-19,2007-04-20
"39","Ipsos",1598,"2007_1_4","Besancenot",4.5,2007-04-19,2007-04-20
"40","Ipsos",1598,"2007_1_4","Buffet",2.5,2007-04-19,2007-04-20
"41","Ipsos",1598,"2007_1_4","Bove",1,2007-04-19,2007-04-20
