"","PollingFirm","SampleSize","poll_id","Candidate","Percentage","start_day","end_day"
"1","BVA",935,1001,"_Abstention",27,2017-03-15,2017-03-17
"2","BVA",935,1001,"Arthaud",1,2017-03-15,2017-03-17
"3","BVA",935,1001,"Poutou",0,2017-03-15,2017-03-17
"4","BVA",935,1001,"Mélenchon",12,2017-03-15,2017-03-17
"5","BVA",935,1001,"Hamon",12.5,2017-03-15,2017-03-17
"6","BVA",935,1001,"Macron",25,2017-03-15,2017-03-17
"7","BVA",935,1001,"Fillon",19.5,2017-03-15,2017-03-17
"8","BVA",935,1001,"Dupont-Aignan",3,2017-03-15,2017-03-17
"9","BVA",935,1001,"Asselineau",1,2017-03-15,2017-03-17
"10","BVA",935,1001,"Le Pen",26,2017-03-15,2017-03-17
"11","Kantar Sofres",1062,1002,"_Abstention",27,2017-03-15,2017-03-17
"12","Kantar Sofres",1062,1002,"Arthaud",1.5,2017-03-15,2017-03-17
"13","Kantar Sofres",1062,1002,"Poutou",1,2017-03-15,2017-03-17
"14","Kantar Sofres",1062,1002,"Mélenchon",12,2017-03-15,2017-03-17
"15","Kantar Sofres",1062,1002,"Hamon",12,2017-03-15,2017-03-17
"16","Kantar Sofres",1062,1002,"Macron",26,2017-03-15,2017-03-17
"17","Kantar Sofres",1062,1002,"Lassalle",0.5,2017-03-15,2017-03-17
"18","Kantar Sofres",1062,1002,"Fillon",17,2017-03-15,2017-03-17
"19","Kantar Sofres",1062,1002,"Dupont-Aignan",3,2017-03-15,2017-03-17
"20","Kantar Sofres",1062,1002,"Asselineau",1,2017-03-15,2017-03-17
"21","Kantar Sofres",1062,1002,"Le Pen",26,2017-03-15,2017-03-17
"22","Kantar Sofres",1062,1002,"Cheminade",0,2017-03-15,2017-03-17
"23","Ifop-fiducial",1376,1003,"_Abstention",37.5,2017-03-14,2017-03-17
"24","Ifop-fiducial",1376,1003,"Arthaud",1,2017-03-14,2017-03-17
"25","Ifop-fiducial",1376,1003,"Poutou",0.5,2017-03-14,2017-03-17
"26","Ifop-fiducial",1376,1003,"Mélenchon",10.5,2017-03-14,2017-03-17
"27","Ifop-fiducial",1376,1003,"Hamon",13.5,2017-03-14,2017-03-17
"28","Ifop-fiducial",1376,1003,"Macron",26,2017-03-14,2017-03-17
"29","Ifop-fiducial",1376,1003,"Fillon",18,2017-03-14,2017-03-17
"30","Ifop-fiducial",1376,1003,"Dupont-Aignan",3.5,2017-03-14,2017-03-17
"31","Ifop-fiducial",1376,1003,"Asselineau",0.5,2017-03-14,2017-03-17
"32","Ifop-fiducial",1376,1003,"Le Pen",26.5,2017-03-14,2017-03-17
"33","Ifop-fiducial",1376,1003,"Cheminade",0,2017-03-14,2017-03-17
"34","Odoxa",672,1004,"Arthaud",1,2017-03-15,2017-03-16
"35","Odoxa",672,1004,"Poutou",1,2017-03-15,2017-03-16
"36","Odoxa",672,1004,"Mélenchon",10.5,2017-03-15,2017-03-16
"37","Odoxa",672,1004,"Hamon",12.5,2017-03-15,2017-03-16
"38","Odoxa",672,1004,"Macron",26.5,2017-03-15,2017-03-16
"39","Odoxa",672,1004,"Lassalle",0,2017-03-15,2017-03-16
"40","Odoxa",672,1004,"Fillon",19,2017-03-15,2017-03-16
"41","Odoxa",672,1004,"Dupont-Aignan",3,2017-03-15,2017-03-16
"42","Odoxa",672,1004,"Asselineau",0.5,2017-03-15,2017-03-16
"43","Odoxa",672,1004,"Le Pen",26,2017-03-15,2017-03-16
"44","Odoxa",672,1004,"Cheminade",0,2017-03-15,2017-03-16
"45","OpinionWay",1571,1005,"Arthaud",1,2017-03-14,2017-03-16
"46","OpinionWay",1571,1005,"Poutou",0,2017-03-14,2017-03-16
"47","OpinionWay",1571,1005,"Mélenchon",11,2017-03-14,2017-03-16
"48","OpinionWay",1571,1005,"Hamon",12,2017-03-14,2017-03-16
"49","OpinionWay",1571,1005,"Macron",25,2017-03-14,2017-03-16
"50","OpinionWay",1571,1005,"Fillon",20,2017-03-14,2017-03-16
"51","OpinionWay",1571,1005,"Dupont-Aignan",3,2017-03-14,2017-03-16
"52","OpinionWay",1571,1005,"Le Pen",28,2017-03-14,2017-03-16
"53","Ifop-fiducial",1386,1006,"_Abstention",37,2017-03-13,2017-03-16
"54","Ifop-fiducial",1386,1006,"Arthaud",1,2017-03-13,2017-03-16
"55","Ifop-fiducial",1386,1006,"Poutou",0.5,2017-03-13,2017-03-16
"56","Ifop-fiducial",1386,1006,"Mélenchon",11,2017-03-13,2017-03-16
"57","Ifop-fiducial",1386,1006,"Hamon",13.5,2017-03-13,2017-03-16
"58","Ifop-fiducial",1386,1006,"Macron",25.5,2017-03-13,2017-03-16
"59","Ifop-fiducial",1386,1006,"Fillon",18,2017-03-13,2017-03-16
"60","Ifop-fiducial",1386,1006,"Dupont-Aignan",3.5,2017-03-13,2017-03-16
"61","Ifop-fiducial",1386,1006,"Asselineau",0.5,2017-03-13,2017-03-16
"62","Ifop-fiducial",1386,1006,"Le Pen",26.5,2017-03-13,2017-03-16
"63","Ifop-fiducial",1386,1006,"Cheminade",0,2017-03-13,2017-03-16
"64","Ipsos",8205,1007,"_Abstention",34,2017-03-14,2017-03-15
"65","Ipsos",8205,1007,"Arthaud",1,2017-03-14,2017-03-15
"66","Ipsos",8205,1007,"Poutou",0.5,2017-03-14,2017-03-15
"67","Ipsos",8205,1007,"Mélenchon",11.5,2017-03-14,2017-03-15
"68","Ipsos",8205,1007,"Hamon",12.5,2017-03-14,2017-03-15
"69","Ipsos",8205,1007,"Macron",26,2017-03-14,2017-03-15
"70","Ipsos",8205,1007,"Fillon",17.5,2017-03-14,2017-03-15
"71","Ipsos",8205,1007,"Dupont-Aignan",3.5,2017-03-14,2017-03-15
"72","Ipsos",8205,1007,"Asselineau",0.5,2017-03-14,2017-03-15
"73","Ipsos",8205,1007,"Le Pen",27,2017-03-14,2017-03-15
"74","Ipsos",8205,1007,"Cheminade",0,2017-03-14,2017-03-15
"75","OpinionWay",1554,1008,"Arthaud",1,2017-03-13,2017-03-15
"76","OpinionWay",1554,1008,"Poutou",0,2017-03-13,2017-03-15
"77","OpinionWay",1554,1008,"Mélenchon",12,2017-03-13,2017-03-15
"78","OpinionWay",1554,1008,"Hamon",13,2017-03-13,2017-03-15
"79","OpinionWay",1554,1008,"Macron",25,2017-03-13,2017-03-15
"80","OpinionWay",1554,1008,"Fillon",19,2017-03-13,2017-03-15
"81","OpinionWay",1554,1008,"Dupont-Aignan",3,2017-03-13,2017-03-15
"82","OpinionWay",1554,1008,"Le Pen",27,2017-03-13,2017-03-15
"83","Ifop-fiducial",1399,1009,"_Abstention",36.5,2017-03-12,2017-03-15
"84","Ifop-fiducial",1399,1009,"Arthaud",0.5,2017-03-12,2017-03-15
"85","Ifop-fiducial",1399,1009,"Poutou",0.5,2017-03-12,2017-03-15
"86","Ifop-fiducial",1399,1009,"Mélenchon",11.5,2017-03-12,2017-03-15
"87","Ifop-fiducial",1399,1009,"Hamon",13.5,2017-03-12,2017-03-15
"88","Ifop-fiducial",1399,1009,"Macron",25.5,2017-03-12,2017-03-15
"89","Ifop-fiducial",1399,1009,"Fillon",18.5,2017-03-12,2017-03-15
"90","Ifop-fiducial",1399,1009,"Dupont-Aignan",3.5,2017-03-12,2017-03-15
"91","Ifop-fiducial",1399,1009,"Asselineau",0,2017-03-12,2017-03-15
"92","Ifop-fiducial",1399,1009,"Le Pen",26.5,2017-03-12,2017-03-15
"93","Ifop-fiducial",1399,1009,"Cheminade",0,2017-03-12,2017-03-15
"94","OpinionWay",1529,1010,"Arthaud",1,2017-03-12,2017-03-14
"95","OpinionWay",1529,1010,"Poutou",0,2017-03-12,2017-03-14
"96","OpinionWay",1529,1010,"Mélenchon",12,2017-03-12,2017-03-14
"97","OpinionWay",1529,1010,"Hamon",13,2017-03-12,2017-03-14
"98","OpinionWay",1529,1010,"Macron",25,2017-03-12,2017-03-14
"99","OpinionWay",1529,1010,"Fillon",19,2017-03-12,2017-03-14
"100","OpinionWay",1529,1010,"Dupont-Aignan",3,2017-03-12,2017-03-14
"101","OpinionWay",1529,1010,"Le Pen",27,2017-03-12,2017-03-14
"102","Ifop-fiducial",1413,1011,"_Abstention",36,2017-03-10,2017-03-14
"103","Ifop-fiducial",1413,1011,"Arthaud",0.5,2017-03-10,2017-03-14
"104","Ifop-fiducial",1413,1011,"Poutou",0.5,2017-03-10,2017-03-14
"105","Ifop-fiducial",1413,1011,"Mélenchon",11.5,2017-03-10,2017-03-14
"106","Ifop-fiducial",1413,1011,"Hamon",14,2017-03-10,2017-03-14
"107","Ifop-fiducial",1413,1011,"Macron",25,2017-03-10,2017-03-14
"108","Ifop-fiducial",1413,1011,"Fillon",19,2017-03-10,2017-03-14
"109","Ifop-fiducial",1413,1011,"Dupont-Aignan",3,2017-03-10,2017-03-14
"110","Ifop-fiducial",1413,1011,"Asselineau",0,2017-03-10,2017-03-14
"111","Ifop-fiducial",1413,1011,"Le Pen",26.5,2017-03-10,2017-03-14
"112","Ifop-fiducial",1413,1011,"Cheminade",0,2017-03-10,2017-03-14
"113","OpinionWay",1528,1012,"Arthaud",1,2017-03-11,2017-03-13
"114","OpinionWay",1528,1012,"Poutou",0,2017-03-11,2017-03-13
"115","OpinionWay",1528,1012,"Mélenchon",11,2017-03-11,2017-03-13
"116","OpinionWay",1528,1012,"Hamon",14,2017-03-11,2017-03-13
"117","OpinionWay",1528,1012,"Macron",24,2017-03-11,2017-03-13
"118","OpinionWay",1528,1012,"Fillon",20,2017-03-11,2017-03-13
"119","OpinionWay",1528,1012,"Dupont-Aignan",3,2017-03-11,2017-03-13
"120","OpinionWay",1528,1012,"Le Pen",27,2017-03-11,2017-03-13
"121","Future Thinking",811,1013,"Arthaud",0.5,2017-03-10,2017-03-13
"122","Future Thinking",811,1013,"Poutou",1,2017-03-10,2017-03-13
"123","Future Thinking",811,1013,"Mélenchon",10.5,2017-03-10,2017-03-13
"124","Future Thinking",811,1013,"Hamon",14,2017-03-10,2017-03-13
"125","Future Thinking",811,1013,"Macron",23.5,2017-03-10,2017-03-13
"126","Future Thinking",811,1013,"Fillon",20,2017-03-10,2017-03-13
"127","Future Thinking",811,1013,"Dupont-Aignan",3,2017-03-10,2017-03-13
"128","Future Thinking",811,1013,"Le Pen",27,2017-03-10,2017-03-13
"129","Future Thinking",811,1013,"Cheminade",0.5,2017-03-10,2017-03-13
"130","Ifop-fiducial",1397,1014,"_Abstention",37,2017-03-09,2017-03-13
"131","Ifop-fiducial",1397,1014,"Arthaud",0.5,2017-03-09,2017-03-13
"132","Ifop-fiducial",1397,1014,"Poutou",0.5,2017-03-09,2017-03-13
"133","Ifop-fiducial",1397,1014,"Mélenchon",11.5,2017-03-09,2017-03-13
"134","Ifop-fiducial",1397,1014,"Hamon",14,2017-03-09,2017-03-13
"135","Ifop-fiducial",1397,1014,"Macron",25,2017-03-09,2017-03-13
"136","Ifop-fiducial",1397,1014,"Fillon",19,2017-03-09,2017-03-13
"137","Ifop-fiducial",1397,1014,"Dupont-Aignan",3,2017-03-09,2017-03-13
"138","Ifop-fiducial",1397,1014,"Asselineau",0,2017-03-09,2017-03-13
"139","Ifop-fiducial",1397,1014,"Le Pen",26.5,2017-03-09,2017-03-13
"140","Ifop-fiducial",1397,1014,"Cheminade",0,2017-03-09,2017-03-13
"141","OpinionWay",1610,1015,"Arthaud",1,2017-03-10,2017-03-12
"142","OpinionWay",1610,1015,"Poutou",0,2017-03-10,2017-03-12
"143","OpinionWay",1610,1015,"Mélenchon",11,2017-03-10,2017-03-12
"144","OpinionWay",1610,1015,"Hamon",14,2017-03-10,2017-03-12
"145","OpinionWay",1610,1015,"Macron",25,2017-03-10,2017-03-12
"146","OpinionWay",1610,1015,"Fillon",20,2017-03-10,2017-03-12
"147","OpinionWay",1610,1015,"Dupont-Aignan",2,2017-03-10,2017-03-12
"148","OpinionWay",1610,1015,"Le Pen",27,2017-03-10,2017-03-12
"149","BVA",950,1016,"_Abstention",26,2017-03-08,2017-03-10
"150","BVA",950,1016,"Arthaud",0.5,2017-03-08,2017-03-10
"151","BVA",950,1016,"Poutou",0.5,2017-03-08,2017-03-10
"152","BVA",950,1016,"Mélenchon",11.5,2017-03-08,2017-03-10
"153","BVA",950,1016,"Hamon",13.5,2017-03-08,2017-03-10
"154","BVA",950,1016,"Macron",26,2017-03-08,2017-03-10
"155","BVA",950,1016,"Fillon",20,2017-03-08,2017-03-10
"156","BVA",950,1016,"Dupont-Aignan",2,2017-03-08,2017-03-10
"157","BVA",950,1016,"Le Pen",26,2017-03-08,2017-03-10
"158","Ifop-fiducial",1379,1017,"_Abstention",36.5,2017-03-07,2017-03-10
"159","Ifop-fiducial",1379,1017,"Arthaud",0.5,2017-03-07,2017-03-10
"160","Ifop-fiducial",1379,1017,"Poutou",0.5,2017-03-07,2017-03-10
"161","Ifop-fiducial",1379,1017,"Mélenchon",12,2017-03-07,2017-03-10
"162","Ifop-fiducial",1379,1017,"Hamon",13.5,2017-03-07,2017-03-10
"163","Ifop-fiducial",1379,1017,"Macron",25.5,2017-03-07,2017-03-10
"164","Ifop-fiducial",1379,1017,"Fillon",19.5,2017-03-07,2017-03-10
"165","Ifop-fiducial",1379,1017,"Dupont-Aignan",2.5,2017-03-07,2017-03-10
"166","Ifop-fiducial",1379,1017,"Le Pen",26,2017-03-07,2017-03-10
"167","Ifop-fiducial",1379,1017,"Cheminade",0,2017-03-07,2017-03-10
"168","OpinionWay",1571,1018,"Arthaud",1,2017-03-07,2017-03-09
"169","OpinionWay",1571,1018,"Poutou",0,2017-03-07,2017-03-09
"170","OpinionWay",1571,1018,"Mélenchon",11,2017-03-07,2017-03-09
"171","OpinionWay",1571,1018,"Hamon",14,2017-03-07,2017-03-09
"172","OpinionWay",1571,1018,"Macron",26,2017-03-07,2017-03-09
"173","OpinionWay",1571,1018,"Fillon",20,2017-03-07,2017-03-09
"174","OpinionWay",1571,1018,"Dupont-Aignan",2,2017-03-07,2017-03-09
"175","OpinionWay",1571,1018,"Le Pen",26,2017-03-07,2017-03-09
"176","Ifop-fiducial",1395,1019,"_Abstention",36.5,2017-03-06,2017-03-09
"177","Ifop-fiducial",1395,1019,"Arthaud",1,2017-03-06,2017-03-09
"178","Ifop-fiducial",1395,1019,"Poutou",0.5,2017-03-06,2017-03-09
"179","Ifop-fiducial",1395,1019,"Mélenchon",12,2017-03-06,2017-03-09
"180","Ifop-fiducial",1395,1019,"Hamon",13.5,2017-03-06,2017-03-09
"181","Ifop-fiducial",1395,1019,"Macron",25,2017-03-06,2017-03-09
"182","Ifop-fiducial",1395,1019,"Fillon",19,2017-03-06,2017-03-09
"183","Ifop-fiducial",1395,1019,"Dupont-Aignan",3,2017-03-06,2017-03-09
"184","Ifop-fiducial",1395,1019,"Le Pen",26,2017-03-06,2017-03-09
"185","Ifop-fiducial",1395,1019,"Cheminade",0,2017-03-06,2017-03-09
"186","Harris Interactive",4533,1020,"Arthaud",1,2017-03-06,2017-03-08
"187","Harris Interactive",4533,1020,"Poutou",0,2017-03-06,2017-03-08
"188","Harris Interactive",4533,1020,"Mélenchon",12,2017-03-06,2017-03-08
"189","Harris Interactive",4533,1020,"Hamon",13,2017-03-06,2017-03-08
"190","Harris Interactive",4533,1020,"Macron",26,2017-03-06,2017-03-08
"191","Harris Interactive",4533,1020,"Fillon",20,2017-03-06,2017-03-08
"192","Harris Interactive",4533,1020,"Dupont-Aignan",3,2017-03-06,2017-03-08
"193","Harris Interactive",4533,1020,"Le Pen",25,2017-03-06,2017-03-08
"194","OpinionWay",1509,1021,"Arthaud",1,2017-03-06,2017-03-08
"195","OpinionWay",1509,1021,"Poutou",0,2017-03-06,2017-03-08
"196","OpinionWay",1509,1021,"Mélenchon",10,2017-03-06,2017-03-08
"197","OpinionWay",1509,1021,"Hamon",15,2017-03-06,2017-03-08
"198","OpinionWay",1509,1021,"Macron",25,2017-03-06,2017-03-08
"199","OpinionWay",1509,1021,"Fillon",21,2017-03-06,2017-03-08
"200","OpinionWay",1509,1021,"Dupont-Aignan",2,2017-03-06,2017-03-08
"201","OpinionWay",1509,1021,"Le Pen",26,2017-03-06,2017-03-08
"202","Ifop-fiducial",1394,1022,"_Abstention",36,2017-03-05,2017-03-08
"203","Ifop-fiducial",1394,1022,"Arthaud",1,2017-03-05,2017-03-08
"204","Ifop-fiducial",1394,1022,"Poutou",0.5,2017-03-05,2017-03-08
"205","Ifop-fiducial",1394,1022,"Mélenchon",11.5,2017-03-05,2017-03-08
"206","Ifop-fiducial",1394,1022,"Hamon",13.5,2017-03-05,2017-03-08
"207","Ifop-fiducial",1394,1022,"Macron",24.5,2017-03-05,2017-03-08
"208","Ifop-fiducial",1394,1022,"Fillon",19.5,2017-03-05,2017-03-08
"209","Ifop-fiducial",1394,1022,"Dupont-Aignan",3.5,2017-03-05,2017-03-08
"210","Ifop-fiducial",1394,1022,"Le Pen",26,2017-03-05,2017-03-08
"211","Ifop-fiducial",1394,1022,"Cheminade",0,2017-03-05,2017-03-08
"212","Ipsos",644,1023,"Arthaud",1,2017-03-06,2017-03-07
"213","Ipsos",644,1023,"Poutou",1,2017-03-06,2017-03-07
"214","Ipsos",644,1023,"Mélenchon",12,2017-03-06,2017-03-07
"215","Ipsos",644,1023,"Hamon",13.5,2017-03-06,2017-03-07
"216","Ipsos",644,1023,"Macron",23,2017-03-06,2017-03-07
"217","Ipsos",644,1023,"Fillon",19.5,2017-03-06,2017-03-07
"218","Ipsos",644,1023,"Dupont-Aignan",2.5,2017-03-06,2017-03-07
"219","Ipsos",644,1023,"Le Pen",27,2017-03-06,2017-03-07
"220","Ipsos",644,1023,"Cheminade",0.5,2017-03-06,2017-03-07
"221","OpinionWay",1574,1024,"Arthaud",0,2017-03-05,2017-03-07
"222","OpinionWay",1574,1024,"Poutou",0,2017-03-05,2017-03-07
"223","OpinionWay",1574,1024,"Mélenchon",10,2017-03-05,2017-03-07
"224","OpinionWay",1574,1024,"Hamon",16,2017-03-05,2017-03-07
"225","OpinionWay",1574,1024,"Macron",25,2017-03-05,2017-03-07
"226","OpinionWay",1574,1024,"Fillon",21,2017-03-05,2017-03-07
"227","OpinionWay",1574,1024,"Dupont-Aignan",2,2017-03-05,2017-03-07
"228","OpinionWay",1574,1024,"Le Pen",26,2017-03-05,2017-03-07
"229","Ifop-fiducial",1390,1025,"_Abstention",36,2017-03-03,2017-03-07
"230","Ifop-fiducial",1390,1025,"Arthaud",0.5,2017-03-03,2017-03-07
"231","Ifop-fiducial",1390,1025,"Poutou",0.5,2017-03-03,2017-03-07
"232","Ifop-fiducial",1390,1025,"Mélenchon",11.5,2017-03-03,2017-03-07
"233","Ifop-fiducial",1390,1025,"Hamon",14,2017-03-03,2017-03-07
"234","Ifop-fiducial",1390,1025,"Macron",25,2017-03-03,2017-03-07
"235","Ifop-fiducial",1390,1025,"Fillon",19,2017-03-03,2017-03-07
"236","Ifop-fiducial",1390,1025,"Dupont-Aignan",3.5,2017-03-03,2017-03-07
"237","Ifop-fiducial",1390,1025,"Le Pen",26,2017-03-03,2017-03-07
"238","Ifop-fiducial",1390,1025,"Cheminade",0,2017-03-03,2017-03-07
"239","Elabe",1000,1026,"_Abstention",41,2017-03-05,2017-03-06
"240","Elabe",1000,1026,"Arthaud",0.5,2017-03-05,2017-03-06
"241","Elabe",1000,1026,"Poutou",0.5,2017-03-05,2017-03-06
"242","Elabe",1000,1026,"Mélenchon",12,2017-03-05,2017-03-06
"243","Elabe",1000,1026,"Hamon",13.5,2017-03-05,2017-03-06
