"","candidate","candidate_id"
"1","_Abstention",1
"2","Anne Hidalgo",2
"3","Arnaud Montebourg",3
"4","Bruno Retailleau",4
"5","Denis Payre",5
"6","Emmanuel Macron",6
"7","Eric Ciotti",7
"8","Éric Piolle",8
"9","Éric Zemmour",9
"10","Fabien Roussel",10
"11","Florian Philippot",11
"12","François Asselineau",12
"13","François Baroin",13
"14","Jean Lassalle",14
"15","Jean-Christophe Lagarde",15
"16","Jean-Frédéric Poisson",16
"17","Jean-Luc Mélenchon",17
"18","Laurent Wauquiez",18
"19","Marine Le Pen",19
"20","Michel Barnier",20
"21","Nathalie Arthaud",21
"22","Nicolas Dupont-Aignan",22
"23","Philippe Juvin",23
"24","Philippe Poutou",24
"25","Sandrine Rousseau",25
"26","Valerie Pécresse",26
"27","Xavier Bertrand",27
"28","Yannick Jadot",28
