"","candidate","candidate_short_id"
"1","_Abstention",1
"2","Aubry",2
"3","Balladur",3
"4","Bayrou",4
"5","Besancenot",5
"6","Boutin",6
"7","Bove",7
"8","Cheminade",8
"9","Chevenement",9
"10","Chirac",10
"11","Dieudonne",11
"12","Gluckstein",12
"13","Hue",13
"14","Jospin",14
"15","Laguiller",15
"16","Lalonde",16
"17","Larrouturou",17
"18","Le Pen",18
"19","Leotard",19
"20","Lepage",20
"21","Lipietz",21
"22","Madelin",22
"23","Mamere",23
"24","Megret",24
"25","Miguet",25
"26","Pasqua",26
"27","Saint Josse",27
"28","Seguin",28
"29","Taubira",29
"30","Villiers",30
"31","Voynet",31
"32","Waechter",32
