"","Candidate","candidate_id"
"1","Abstention",1
"2","Arthaud",2
"3","Asselineau",3
"4","Aubry",4
"5","Bayrou",5
"6","Besancenot",6
"7","Cheminade",7
"8","Copé",8
"9","Duflot",9
"10","Dupont-Aignan",10
"11","Fillon",11
"12","Hamon",12
"13","Hollande",13
"14","Hulot",14
"15","Jadot",15
"16","Joly",16
"17","Juppé",17
"18","Lassalle",18
"19","Le Maire",19
"20","Le Pen",20
"21","Macron",21
"22","Mélenchon",22
"23","Montebourg",23
"24","NKM",24
"25","Peillon",25
"26","Pinel",26
"27","Poutou",27
"28","Sarkozy",28
"29","Valls",29
"30","Villiers",30
