"","Candidate","candidate_short_id"
"1","Arthaud",1
"2","Asselineau",2
"3","Aubry",3
"4","Bayrou",4
"5","Besancenot",5
"6","Cheminade",6
"7","Copé",7
"8","Duflot",8
"9","Dupont-Aignan",9
"10","Fillon",10
"11","Hamon",11
"12","Hollande",12
"13","Hulot",13
"14","Jadot",14
"15","Joly",15
"16","Juppé",16
"17","Lassalle",17
"18","Le Maire",18
"19","Le Pen",19
"20","Macron",20
"21","Mélenchon",21
"22","Montebourg",22
"23","NKM",23
"24","Peillon",24
"25","Pinel",25
"26","Poutou",26
"27","Sarkozy",27
"28","Valls",28
"29","Villiers",29
"30","ZZZ_Abstention",30
