long_name,candidate_long_id,party,party_short,bloc_politiques
_Abstention,1,NA,NA,Abstention
Anne Hidalgo,2,Parti socialiste,PS,Gauche a centre gauche
Arnaud Montebourg,3,Parti socialiste,PS,Gauche a centre gauche
Bruno Retailleau,4,Les Republicains,LR,Centre droit a droite
Denis Payre,5,Nous Citoyens,NC,Centre gauche a centre droit
Emmanuel Macron,6,La République En Marche,LREM,Centre gauche a centre droit
Eric Ciotti,7,Les Republicains,LR,Centre droit a droite
Eric Piolle,8,Europe Écologie Les Verts,EELV,Gauche a centre gauche
Eric Zemmour,9,Other,Other,Droite a extreme droite
Fabien Roussel,10,Parti communiste français,PCF,Extreme gauche a gauche
Florian Philippot,11,Les Patriotes,LP,Droite a extreme droite
Francois Asselineau,12,Union Populaire Républicaine,UPR,Droite a extreme droite
Francois Baroin,13,Les Republicains,LR,Centre droit a droite
Jean Lassalle,14,Groupe Libertés et territoires,LT,Gauche a centre gauche
Jean-Christophe Lagarde,15,Union des démocrates et indépendants,UDI,Centre droit a droite
Jean-Frederic Poisson,16,"VIA, la voie du peuple",VIA,Centre droit a droite
Jean-Luc Melenchon,17,La France Insoumise,LFI,Extreme gauche a gauche
Laurent Wauquiez,18,Les Republicains,LR,Centre droit a droite
Marine Le Pen,19,Rassemblement National,RN,Droite a extreme droite
Michel Barnier,20,Les Republicains,LR,Centre droit a droite
Nathalie Arthaud,21,Lutte Ouvrière,LO,Extreme gauche a gauche
Nicolas Dupont-Aignan,22,Debout la France,DLF,Droite a extreme droite
Philippe Juvin,23,Les Republicains,LR,Centre droit a droite
Philippe Poutou,24,Nouveau Parti Anticapitaliste,NPA,Extreme gauche a gauche
Valerie Pecresse,25,Europe Écologie Les Verts,EELV,Gauche a centre gauche
Sandrine Rousseau,26,Soyons Libres,SL,Centre droit a droite
Xavier Bertrand,27,Les Republicains,LR,Centre droit a droite
Yannick Jadot,28,Europe Écologie Les Verts,EELV,Gauche a centre gauche
