poll_id,election_year,pollName,election_id,period_start_day,period_end_day,bloc,start_day,y,t
2002_1_1,2002,BVA,1,2001-12-30,2002-04-21,Autre,2002-04-18,190,16
2002_1_1,2002,BVA,1,2001-12-30,2002-04-21,Centre,2002-04-18,38,16
2002_1_1,2002,BVA,1,2001-12-30,2002-04-21,Droite,2002-04-18,120,16
2002_1_1,2002,BVA,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-04-18,88,16
2002_1_1,2002,BVA,1,2001-12-30,2002-04-21,Ecologisme,2002-04-18,32,16
2002_1_1,2002,BVA,1,2001-12-30,2002-04-21,Gauche,2002-04-18,114,16
2002_1_1,2002,BVA,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-04-18,50,16
2002_1_10,2002,Ifop,1,2001-12-30,2002-04-21,Autre,2002-04-11,314,15
2002_1_10,2002,Ifop,1,2001-12-30,2002-04-21,Centre,2002-04-11,62,15
2002_1_10,2002,Ifop,1,2001-12-30,2002-04-21,Droite,2002-04-11,181,15
2002_1_10,2002,Ifop,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-04-11,90,15
2002_1_10,2002,Ifop,1,2001-12-30,2002-04-21,Ecologisme,2002-04-11,67,15
2002_1_10,2002,Ifop,1,2001-12-30,2002-04-21,Gauche,2002-04-11,162,15
2002_1_10,2002,Ifop,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-04-11,76,15
2002_1_11,2002,CSA,1,2001-12-30,2002-04-21,Autre,2002-04-10,280,15
2002_1_11,2002,CSA,1,2001-12-30,2002-04-21,Centre,2002-04-10,55,15
2002_1_11,2002,CSA,1,2001-12-30,2002-04-21,Droite,2002-04-10,210,15
2002_1_11,2002,CSA,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-04-10,120,15
2002_1_11,2002,CSA,1,2001-12-30,2002-04-21,Ecologisme,2002-04-10,65,15
2002_1_11,2002,CSA,1,2001-12-30,2002-04-21,Gauche,2002-04-10,190,15
2002_1_11,2002,CSA,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-04-10,80,15
2002_1_12,2002,Sofres,1,2001-12-30,2002-04-21,Autre,2002-04-10,285,15
2002_1_12,2002,Sofres,1,2001-12-30,2002-04-21,Centre,2002-04-10,50,15
2002_1_12,2002,Sofres,1,2001-12-30,2002-04-21,Droite,2002-04-10,220,15
2002_1_12,2002,Sofres,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-04-10,130,15
2002_1_12,2002,Sofres,1,2001-12-30,2002-04-21,Ecologisme,2002-04-10,45,15
2002_1_12,2002,Sofres,1,2001-12-30,2002-04-21,Gauche,2002-04-10,190,15
2002_1_12,2002,Sofres,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-04-10,80,15
2002_1_13,2002,Ifop,1,2001-12-30,2002-04-21,Autre,2002-04-05,265,14
2002_1_13,2002,Ifop,1,2001-12-30,2002-04-21,Centre,2002-04-05,55,14
