X1,institute,date_debut,date_fin,methode,interroges,question_id,nspp,base,intentions_exprimees,candidates,percentages,lien,survey_id,certitude,remove,z,sum_z
1,Harris interactive,2021-12-10,2021-12-13,internet,2159,1,12,I,1899,Arthaud,0,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9263-phi-challenges-v26.pdf,1,NA,0,0,7
2,Harris interactive,2021-12-10,2021-12-13,internet,2159,1,12,I,1899,Poutou,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9263-phi-challenges-v26.pdf,1,NA,0,0,7
3,Harris interactive,2021-12-10,2021-12-13,internet,2159,1,12,I,1899,Roussel,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9263-phi-challenges-v26.pdf,1,NA,0,0,7
4,Harris interactive,2021-12-10,2021-12-13,internet,2159,1,12,I,1899,Melenchon,11,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9263-phi-challenges-v26.pdf,1,NA,0,1,7
5,Harris interactive,2021-12-10,2021-12-13,internet,2159,1,12,I,1899,Montebourg,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9263-phi-challenges-v26.pdf,1,NA,0,0,7
6,Harris interactive,2021-12-10,2021-12-13,internet,2159,1,12,I,1899,Hidalgo,4,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9263-phi-challenges-v26.pdf,1,NA,0,1,7
7,Harris interactive,2021-12-10,2021-12-13,internet,2159,1,12,I,1899,Jadot,7,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9263-phi-challenges-v26.pdf,1,NA,0,1,7
8,Harris interactive,2021-12-10,2021-12-13,internet,2159,1,12,I,1899,Macron,24,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9263-phi-challenges-v26.pdf,1,NA,0,1,7
9,Harris interactive,2021-12-10,2021-12-13,internet,2159,1,12,I,1899,Pecresse,17,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9263-phi-challenges-v26.pdf,1,NA,0,1,7
10,Harris interactive,2021-12-10,2021-12-13,internet,2159,1,12,I,1899,Dupont Aignan,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9263-phi-challenges-v26.pdf,1,NA,0,0,7
11,Harris interactive,2021-12-10,2021-12-13,internet,2159,1,12,I,1899,Philippot,0,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9263-phi-challenges-v26.pdf,1,NA,0,0,7
12,Harris interactive,2021-12-10,2021-12-13,internet,2159,1,12,I,1899,Le Pen,16,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9263-phi-challenges-v26.pdf,1,NA,0,1,7
13,Harris interactive,2021-12-10,2021-12-13,internet,2159,1,12,I,1899,Zemmour,15,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9263-phi-challenges-v26.pdf,1,NA,0,1,7
14,Harris interactive,2021-12-10,2021-12-13,internet,2159,1,12,I,1899,Asselineau,0,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9263-phi-challenges-v26.pdf,1,NA,0,0,7
15,Harris interactive,2021-12-10,2021-12-13,internet,2159,1,12,I,1899,Lassalle,0,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9263-phi-challenges-v26.pdf,1,NA,0,0,7
22,Odoxa,2021-12-07,2021-12-09,internet,1815,1,19,SV,1391,Arthaud,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9260-p-odoxa-l-obs.pdf,2,NA,0,0,7
23,Odoxa,2021-12-07,2021-12-09,internet,1815,1,19,SV,1391,Poutou,1.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9260-p-odoxa-l-obs.pdf,2,NA,0,0,7
24,Odoxa,2021-12-07,2021-12-09,internet,1815,1,19,SV,1391,Roussel,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9260-p-odoxa-l-obs.pdf,2,NA,0,0,7
25,Odoxa,2021-12-07,2021-12-09,internet,1815,1,19,SV,1391,Melenchon,10,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9260-p-odoxa-l-obs.pdf,2,NA,0,1,7
26,Odoxa,2021-12-07,2021-12-09,internet,1815,1,19,SV,1391,Jadot,6,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9260-p-odoxa-l-obs.pdf,2,NA,0,1,7
27,Odoxa,2021-12-07,2021-12-09,internet,1815,1,19,SV,1391,Montebourg,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9260-p-odoxa-l-obs.pdf,2,NA,0,0,7
28,Odoxa,2021-12-07,2021-12-09,internet,1815,1,19,SV,1391,Hidalgo,3,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9260-p-odoxa-l-obs.pdf,2,NA,0,1,7
29,Odoxa,2021-12-07,2021-12-09,internet,1815,1,19,SV,1391,Macron,24,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9260-p-odoxa-l-obs.pdf,2,NA,0,1,7
30,Odoxa,2021-12-07,2021-12-09,internet,1815,1,19,SV,1391,Lassalle,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9260-p-odoxa-l-obs.pdf,2,NA,0,0,7
31,Odoxa,2021-12-07,2021-12-09,internet,1815,1,19,SV,1391,Pecresse,19,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9260-p-odoxa-l-obs.pdf,2,NA,0,1,7
32,Odoxa,2021-12-07,2021-12-09,internet,1815,1,19,SV,1391,Dupont Aignan,2.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9260-p-odoxa-l-obs.pdf,2,NA,0,0,7
33,Odoxa,2021-12-07,2021-12-09,internet,1815,1,19,SV,1391,Le Pen,17,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9260-p-odoxa-l-obs.pdf,2,NA,0,1,7
34,Odoxa,2021-12-07,2021-12-09,internet,1815,1,19,SV,1391,Zemmour,12,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9260-p-odoxa-l-obs.pdf,2,NA,0,1,7
39,Ipsos,2021-12-04,2021-12-06,internet,1500,1,6,SV,746,Poutou,1.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9256-p-ipsos-le-parisien-8-12.pdf,3,NA,0,0,7
40,Ipsos,2021-12-04,2021-12-06,internet,1500,1,6,SV,746,Arthaud,0.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9256-p-ipsos-le-parisien-8-12.pdf,3,NA,0,0,7
41,Ipsos,2021-12-04,2021-12-06,internet,1500,1,6,SV,746,Melenchon,8,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9256-p-ipsos-le-parisien-8-12.pdf,3,NA,0,1,7
42,Ipsos,2021-12-04,2021-12-06,internet,1500,1,6,SV,746,Roussel,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9256-p-ipsos-le-parisien-8-12.pdf,3,NA,0,0,7
43,Ipsos,2021-12-04,2021-12-06,internet,1500,1,6,SV,746,Montebourg,2.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9256-p-ipsos-le-parisien-8-12.pdf,3,NA,0,0,7
44,Ipsos,2021-12-04,2021-12-06,internet,1500,1,6,SV,746,Jadot,7,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9256-p-ipsos-le-parisien-8-12.pdf,3,NA,0,1,7
45,Ipsos,2021-12-04,2021-12-06,internet,1500,1,6,SV,746,Hidalgo,5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9256-p-ipsos-le-parisien-8-12.pdf,3,NA,0,1,7
46,Ipsos,2021-12-04,2021-12-06,internet,1500,1,6,SV,746,Macron,25,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9256-p-ipsos-le-parisien-8-12.pdf,3,NA,0,1,7
47,Ipsos,2021-12-04,2021-12-06,internet,1500,1,6,SV,746,Pecresse,16,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9256-p-ipsos-le-parisien-8-12.pdf,3,NA,0,1,7
48,Ipsos,2021-12-04,2021-12-06,internet,1500,1,6,SV,746,Lassalle,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9256-p-ipsos-le-parisien-8-12.pdf,3,NA,0,0,7
49,Ipsos,2021-12-04,2021-12-06,internet,1500,1,6,SV,746,Dupont Aignan,1.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9256-p-ipsos-le-parisien-8-12.pdf,3,NA,0,0,7
50,Ipsos,2021-12-04,2021-12-06,internet,1500,1,6,SV,746,Le Pen,16,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9256-p-ipsos-le-parisien-8-12.pdf,3,NA,0,1,7
51,Ipsos,2021-12-04,2021-12-06,internet,1500,1,6,SV,746,Zemmour,14,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9256-p-ipsos-le-parisien-8-12.pdf,3,NA,0,1,7
52,BVA,2021-12-06,2021-12-08,internet,1500,1,17,SV,894,Arthaud,0.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9259-p-bva-rtl.pdf,4,NA,0,0,7
53,BVA,2021-12-06,2021-12-08,internet,1500,1,17,SV,894,Poutou,1.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9259-p-bva-rtl.pdf,4,NA,0,0,7
54,BVA,2021-12-06,2021-12-08,internet,1500,1,17,SV,894,Melenchon,9,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9259-p-bva-rtl.pdf,4,75,0,1,7
55,BVA,2021-12-06,2021-12-08,internet,1500,1,17,SV,894,Roussel,2.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9259-p-bva-rtl.pdf,4,NA,0,0,7
56,BVA,2021-12-06,2021-12-08,internet,1500,1,17,SV,894,Montebourg,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9259-p-bva-rtl.pdf,4,NA,0,0,7
57,BVA,2021-12-06,2021-12-08,internet,1500,1,17,SV,894,Hidalgo,5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9259-p-bva-rtl.pdf,4,51,0,1,7
58,BVA,2021-12-06,2021-12-08,internet,1500,1,17,SV,894,Jadot,7,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9259-p-bva-rtl.pdf,4,48,0,1,7
59,BVA,2021-12-06,2021-12-08,internet,1500,1,17,SV,894,Macron,24,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9259-p-bva-rtl.pdf,4,73,0,1,7
60,BVA,2021-12-06,2021-12-08,internet,1500,1,17,SV,894,Pecresse,17,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9259-p-bva-rtl.pdf,4,60,0,1,7
61,BVA,2021-12-06,2021-12-08,internet,1500,1,17,SV,894,Dupont Aignan,2.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9259-p-bva-rtl.pdf,4,NA,0,0,7
62,BVA,2021-12-06,2021-12-08,internet,1500,1,17,SV,894,Zemmour,13,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9259-p-bva-rtl.pdf,4,65,0,1,7
63,BVA,2021-12-06,2021-12-08,internet,1500,1,17,SV,894,Le Pen,16,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9259-p-bva-rtl.pdf,4,74,0,1,7
64,BVA,2021-12-06,2021-12-08,internet,1500,1,17,SV,894,Asselineau,0,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9259-p-bva-rtl.pdf,4,NA,0,0,7
65,BVA,2021-12-06,2021-12-08,internet,1500,1,17,SV,894,Lassalle,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9259-p-bva-rtl.pdf,4,NA,0,0,7
66,Elabe,2021-12-07,2021-12-09,internet,1354,1,13,SV,965,Poutou,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9255-p-elabe-bfm.pdf,5,NA,0,0,7
67,Elabe,2021-12-07,2021-12-09,internet,1354,1,13,SV,965,Arthaud,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9255-p-elabe-bfm.pdf,5,NA,0,0,7
68,Elabe,2021-12-07,2021-12-09,internet,1354,1,13,SV,965,Roussel,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9255-p-elabe-bfm.pdf,5,NA,0,0,7
69,Elabe,2021-12-07,2021-12-09,internet,1354,1,13,SV,965,Melenchon,8,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9255-p-elabe-bfm.pdf,5,NA,0,1,7
70,Elabe,2021-12-07,2021-12-09,internet,1354,1,13,SV,965,Hidalgo,3,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9255-p-elabe-bfm.pdf,5,NA,0,1,7
