poll_id,election_year,pollName,election_id,period_start_day,period_end_day,candidate,start_day,y,t
2022 2021-12-06 BVA,2022,BVA,5,2021-12-05,2022-04-10,Le Pen,2021-12-06,71,1
2022 2021-12-06 BVA,2022,BVA,5,2021-12-05,2022-04-10,Zemmour,2021-12-06,57,1
2022 2021-12-07 Elabe,2022,Elabe,5,2021-12-05,2022-04-10,Le Pen,2021-12-07,65,1
2022 2021-12-07 Elabe,2022,Elabe,5,2021-12-05,2022-04-10,Zemmour,2021-12-07,61,1
2022 2021-12-07 Odoxa,2022,Odoxa,5,2021-12-05,2022-04-10,Le Pen,2021-12-07,88,1
2022 2021-12-07 Odoxa,2022,Odoxa,5,2021-12-05,2022-04-10,Zemmour,2021-12-07,62,1
2022 2021-12-10 Harris interactive,2022,Harris interactive,5,2021-12-05,2022-04-10,Le Pen,2021-12-10,123,1
2022 2021-12-10 Harris interactive,2022,Harris interactive,5,2021-12-05,2022-04-10,Zemmour,2021-12-10,115,1
2022 2022-01-03 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Le Pen,2022-01-03,84,5
2022 2022-01-03 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Zemmour,2022-01-03,59,5
2022 2022-01-04 Cluster 17,2022,Cluster 17,5,2021-12-05,2022-04-10,Le Pen,2022-01-04,69,5
2022 2022-01-04 Cluster 17,2022,Cluster 17,5,2021-12-05,2022-04-10,Zemmour,2022-01-04,62,5
2022 2022-01-05 BVA,2022,BVA,5,2021-12-05,2022-04-10,Le Pen,2022-01-05,70,5
2022 2022-01-05 BVA,2022,BVA,5,2021-12-05,2022-04-10,Zemmour,2022-01-05,49,5
2022 2022-01-07 Harris interactive,2022,Harris interactive,5,2021-12-05,2022-04-10,Le Pen,2022-01-07,99,5
2022 2022-01-07 Harris interactive,2022,Harris interactive,5,2021-12-05,2022-04-10,Zemmour,2022-01-07,93,5
2022 2022-01-07 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Le Pen,2022-01-07,94,5
2022 2022-01-07 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Zemmour,2022-01-07,66,5
2022 2022-01-09 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Le Pen,2022-01-09,97,6
2022 2022-01-09 Opinionway,2022,Opinionway,5,2021-12-05,2022-04-10,Zemmour,2022-01-09,65,6
2022 2022-01-11 Cluster 17,2022,Cluster 17,5,2021-12-05,2022-04-10,Le Pen,2022-01-11,245,6
