date,t,t_unit
1995-04-23,0,1
1998-08-21,1216,2
1998-12-10,1327,3
1998-12-18,1335,4
1999-03-05,1412,5
1999-05-06,1474,6
1999-07-01,1530,7
1999-09-01,1592,8
1999-11-03,1655,9
1999-12-27,1709,10
2000-01-04,1717,11
2000-01-13,1726,12
2000-02-17,1761,13
2000-02-28,1772,14
2000-03-02,1775,15
2000-03-10,1783,16
2000-03-16,1789,17
2000-04-13,1817,18
2000-04-28,1832,19
2000-05-10,1844,20
2000-05-11,1845,21
2000-06-15,1880,22
2000-06-28,1893,23
2000-07-15,1910,24
2000-07-20,1915,25
2000-09-06,1963,26
2000-09-07,1964,27
2000-09-29,1986,28
2000-10-06,1993,29
2000-11-08,2026,30
2000-11-14,2032,31
2000-11-27,2045,32
2000-11-30,2048,33
2000-12-01,2049,34
2000-12-05,2053,35
2001-01-05,2084,36
2001-01-11,2090,37
2001-02-01,2111,38
2001-02-02,2112,39
2001-02-09,2119,40
2001-02-15,2125,41
2001-02-22,2132,42
2001-03-22,2160,43
2001-03-26,2164,44
2001-03-28,2166,45
2001-04-20,2189,46
2001-04-26,2195,47
2001-05-10,2209,48
2001-05-15,2214,49
2001-05-29,2228,50
2001-06-08,2238,51
2001-06-14,2244,52
2001-06-20,2250,53
2001-06-22,2252,54
2001-07-05,2265,55
2001-07-16,2276,56
2001-08-30,2321,57
2001-09-07,2329,58
2001-09-11,2333,59
2001-09-27,2349,60
2001-10-11,2363,61
2001-10-17,2369,62
2001-10-19,2371,63
2001-10-25,2377,64
2001-11-09,2392,65
2001-11-14,2397,66
2001-11-22,2405,67
2001-11-29,2412,68
2001-12-07,2420,69
2001-12-11,2424,70
2001-12-14,2427,71
2002-01-02,2446,72
2002-01-03,2447,73
2002-01-04,2448,74
2002-01-05,2449,75
2002-01-10,2454,76
2002-01-11,2455,77
2002-01-17,2461,78
2002-01-25,2469,79
2002-01-29,2473,80
2002-01-31,2475,81
2002-02-01,2476,82
2002-02-07,2482,83
2002-02-08,2483,84
2002-02-12,2487,85
2002-02-13,2488,86
2002-02-14,2489,87
2002-02-15,2490,88
2002-02-21,2496,89
2002-02-22,2497,90
2002-02-27,2502,91
2002-02-28,2503,92
2002-03-01,2504,93
2002-03-08,2511,94
2002-03-13,2516,95
2002-03-14,2517,96
2002-03-15,2518,97
2002-03-20,2523,98
2002-03-21,2524,99
2002-03-22,2525,100
2002-03-23,2526,101
2002-03-27,2530,102
2002-03-28,2531,103
2002-03-29,2532,104
2002-04-03,2537,105
2002-04-04,2538,106
2002-04-05,2539,107
2002-04-10,2544,108
2002-04-11,2545,109
2002-04-12,2546,110
2002-04-13,2547,111
2002-04-15,2549,112
2002-04-16,2550,113
2002-04-17,2551,114
2002-04-18,2552,115
2002-04-21,2555,116
2005-02-12,3583,117
2005-06-27,3718,118
2005-09-30,3813,119
2006-01-25,3930,120
2006-01-27,3932,121
2006-02-10,3946,122
2006-03-10,3974,123
2006-03-29,3993,124
2006-04-07,4002,125
2006-04-18,4013,126
2006-04-20,4015,127
2006-05-12,4037,128
2006-05-16,4041,129
2006-05-17,4042,130
2006-06-07,4063,131
2006-06-09,4065,132
2006-06-14,4070,133
2006-06-29,4085,134
2006-07-17,4103,135
2006-08-18,4135,136
2006-09-04,4152,137
2006-09-08,4156,138
2006-09-13,4161,139
2006-10-04,4182,140
2006-10-06,4184,141
2006-10-12,4190,142
2006-10-17,4195,143
2006-11-08,4217,144
2006-11-09,4218,145
2006-11-17,4226,146
2006-11-21,4230,147
2006-11-30,4239,148
2006-12-01,4240,149
2006-12-06,4245,150
2006-12-08,4247,151
2006-12-11,4250,152
2006-12-13,4252,153
2006-12-14,4253,154
2006-12-28,4267,155
2007-01-03,4273,156
2007-01-04,4274,157
2007-01-05,4275,158
2007-01-10,4280,159
2007-01-15,4285,160
2007-01-17,4287,161
2007-01-18,4288,162
2007-01-19,4289,163
2007-01-22,4292,164
2007-01-25,4295,165
2007-01-26,4296,166
2007-01-31,4301,167
2007-02-02,4303,168
2007-02-07,4308,169
2007-02-09,4310,170
2007-02-12,4313,171
2007-02-13,4314,172
2007-02-14,4315,173
2007-02-16,4317,174
2007-02-19,4320,175
2007-02-20,4321,176
2007-02-22,4323,177
2007-02-23,4324,178
2007-02-26,4327,179
2007-02-27,4328,180
2007-02-28,4329,181
2007-03-01,4330,182
2007-03-02,4331,183
2007-03-03,4332,184
2007-03-05,4334,185
2007-03-06,4335,186
2007-03-07,4336,187
2007-03-08,4337,188
2007-03-09,4338,189
2007-03-10,4339,190
2007-03-12,4341,191
2007-03-13,4342,192
2007-03-14,4343,193
2007-03-15,4344,194
2007-03-16,4345,195
2007-03-17,4346,196
2007-03-19,4348,197
2007-03-20,4349,198
2007-03-21,4350,199
2007-03-22,4351,200
2007-03-23,4352,201
2007-03-24,4353,202
2007-03-26,4355,203
2007-03-27,4356,204
2007-03-28,4357,205
2007-03-29,4358,206
2007-03-30,4359,207
2007-03-31,4360,208
2007-04-02,4362,209
2007-04-03,4363,210
2007-04-04,4364,211
2007-04-05,4365,212
2007-04-06,4366,213
2007-04-07,4367,214
2007-04-09,4369,215
2007-04-10,4370,216
2007-04-11,4371,217
2007-04-12,4372,218
2007-04-13,4373,219
2007-04-14,4374,220
2007-04-16,4376,221
2007-04-17,4377,222
2007-04-18,4378,223
2007-04-19,4379,224
2007-04-20,4380,225
2007-04-22,4382,226
2007-10-31,4574,227
2008-02-26,4692,228
2008-04-30,4756,229
2009-04-23,5114,230
2009-04-29,5120,231
2009-06-17,5169,232
2009-10-29,5303,233
2010-02-02,5399,234
2010-03-02,5427,235
2010-03-24,5449,236
2010-03-25,5450,237
2010-04-20,5476,238
2010-04-23,5479,239
2010-05-19,5505,240
2010-05-27,5513,241
2010-06-03,5520,242
2010-07-07,5554,243
2010-07-08,5555,244
2010-08-20,5598,245
2010-09-10,5619,246
2010-10-12,5651,247
2010-11-09,5679,248
2010-11-16,5686,249
2010-11-18,5688,250
2010-11-19,5689,251
2011-01-07,5738,252
2011-01-12,5743,253
2011-01-14,5745,254
2011-01-17,5748,255
2011-01-20,5751,256
2011-02-14,5776,257
2011-02-16,5778,258
2011-02-18,5780,259
2011-02-21,5783,260
2011-02-28,5790,261
2011-03-05,5795,262
2011-03-07,5797,263
2011-03-09,5799,264
2011-03-14,5804,265
2011-03-25,5815,266
2011-03-28,5818,267
2011-04-06,5827,268
2011-04-19,5840,269
2011-04-20,5841,270
2011-04-26,5847,271
2011-05-06,5857,272
2011-05-10,5861,273
2011-05-13,5864,274
2011-05-16,5867,275
2011-05-17,5868,276
2011-05-18,5869,277
2011-05-20,5871,278
2011-06-03,5885,279
2011-06-09,5891,280
2011-06-18,5900,281
2011-06-20,5902,282
2011-06-21,5903,283
2011-07-08,5920,284
2011-07-11,5923,285
2011-07-19,5931,286
2011-08-22,5965,287
2011-08-30,5973,288
2011-08-31,5974,289
2011-09-02,5976,290
2011-09-19,5993,291
2011-09-30,6004,292
2011-10-17,6021,293
2011-10-18,6022,294
2011-10-21,6025,295
2011-10-28,6032,296
2011-11-02,6037,297
2011-11-04,6039,298
2011-11-14,6049,299
2011-11-18,6053,300
2011-11-23,6058,301
2011-11-25,6060,302
2011-11-29,6064,303
2011-12-02,6067,304
2011-12-09,6074,305
2011-12-12,6077,306
2011-12-13,6078,307
2011-12-16,6081,308
2012-01-04,6100,309
2012-01-06,6102,310
2012-01-09,6105,311
2012-01-10,6106,312
2012-01-11,6107,313
2012-01-13,6109,314
2012-01-14,6110,315
2012-01-16,6112,316
2012-01-17,6113,317
2012-01-18,6114,318
2012-01-19,6115,319
2012-01-20,6116,320
2012-01-21,6117,321
2012-01-23,6119,322
2012-01-24,6120,323
2012-01-27,6123,324
2012-01-29,6125,325
2012-01-30,6126,326
2012-01-31,6127,327
2012-02-02,6129,328
2012-02-03,6130,329
2012-02-04,6131,330
2012-02-06,6133,331
2012-02-07,6134,332
2012-02-09,6136,333
2012-02-11,6138,334
2012-02-13,6140,335
2012-02-14,6141,336
2012-02-15,6142,337
2012-02-16,6143,338
2012-02-17,6144,339
2012-02-18,6145,340
2012-02-20,6147,341
2012-02-21,6148,342
2012-02-23,6150,343
2012-02-24,6151,344
2012-02-27,6154,345
2012-02-28,6155,346
2012-03-01,6157,347
2012-03-02,6158,348
2012-03-03,6159,349
2012-03-05,6161,350
2012-03-06,6162,351
2012-03-08,6164,352
2012-03-11,6167,353
2012-03-12,6168,354
2012-03-13,6169,355
2012-03-14,6170,356
2012-03-15,6171,357
2012-03-16,6172,358
2012-03-17,6173,359
2012-03-19,6175,360
2012-03-20,6176,361
2012-03-21,6177,362
2012-03-22,6178,363
2012-03-23,6179,364
2012-03-24,6180,365
2012-03-26,6182,366
2012-03-27,6183,367
2012-03-29,6185,368
2012-03-30,6186,369
2012-03-31,6187,370
2012-04-02,6189,371
2012-04-03,6190,372
2012-04-05,6192,373
2012-04-06,6193,374
2012-04-09,6196,375
2012-04-10,6197,376
2012-04-11,6198,377
2012-04-12,6199,378
2012-04-13,6200,379
2012-04-14,6201,380
2012-04-16,6203,381
2012-04-17,6204,382
2012-04-18,6205,383
2012-04-22,6209,384
2012-10-09,6379,385
2013-04-11,6563,386
2013-04-16,6568,387
2013-04-26,6578,388
2013-05-02,6584,389
2014-04-11,6928,390
2014-04-15,6932,391
2014-07-21,7029,392
2014-09-03,7073,393
2014-10-28,7128,394
2015-01-21,7213,395
2015-01-27,7219,396
2015-04-15,7297,397
2015-04-29,7311,398
2015-05-21,7333,399
2015-07-17,7390,400
2015-08-17,7421,401
2015-09-03,7438,402
2015-10-31,7496,403
2015-12-13,7539,404
2015-12-14,7540,405
2016-01-14,7571,406
2016-01-22,7579,407
2016-02-17,7605,408
2016-03-11,7628,409
2016-04-11,7659,410
2016-04-12,7660,411
2016-04-14,7662,412
2016-04-15,7663,413
2016-04-25,7673,414
2016-04-26,7674,415
2016-05-13,7691,416
2016-06-10,7719,417
2016-06-14,7723,418
2016-06-20,7729,419
2016-07-08,7747,420
2016-09-02,7803,421
2016-09-05,7806,422
2016-09-09,7810,423
2016-09-20,7821,424
2016-09-26,7827,425
2016-10-14,7845,426
2016-10-17,7848,427
2016-10-21,7852,428
2016-11-08,7870,429
2016-11-16,7878,430
2016-11-25,7887,431
2016-11-27,7889,432
2016-11-28,7890,433
2016-12-02,7894,434
2017-01-03,7926,435
2017-01-06,7929,436
2017-01-10,7933,437
2017-01-20,7943,438
2017-01-26,7949,439
2017-01-29,7952,440
2017-01-30,7953,441
2017-01-31,7954,442
2017-02-01,7955,443
2017-02-02,7956,444
2017-02-03,7957,445
2017-02-04,7958,446
2017-02-05,7959,447
2017-02-06,7960,448
2017-02-07,7961,449
2017-02-09,7963,450
2017-02-10,7964,451
2017-02-11,7965,452
2017-02-12,7966,453
2017-02-13,7967,454
2017-02-14,7968,455
2017-02-16,7970,456
2017-02-17,7971,457
2017-02-18,7972,458
2017-02-19,7973,459
2017-02-20,7974,460
2017-02-21,7975,461
2017-02-22,7976,462
2017-02-23,7977,463
2017-02-24,7978,464
2017-02-25,7979,465
2017-02-26,7980,466
2017-02-27,7981,467
2017-02-28,7982,468
2017-03-01,7983,469
2017-03-02,7984,470
2017-03-03,7985,471
2017-03-04,7986,472
2017-03-05,7987,473
2017-03-06,7988,474
2017-03-07,7989,475
2017-03-08,7990,476
2017-03-09,7991,477
