election_id,bloc_id,percentage
1,1,0.2162
1,2,0.10926172
1,3,0.24579968000000002
1,4,0
1,5,0.30897396
1,6,0.11757
2,1,0.284
2,2,0.0988796
2,3,0.22167359999999997
2,4,0.07697
2,5,0.18114799999999995
2,6,0.13747199999999998
3,1,0.1623
3,2,0.06433536
3,3,0.25960322999999996
3,4,0.15556089
3,5,0.27082841
3,6,0.08745588
4,1,0.2052
4,2,0.10181388000000001
4,3,0.24591112
4,4,0.07256524
4,5,0.21602664000000002
4,6,0.15649612
5,1,0.2223
5,2,0.1656501
5,3,0.04977279999999999
5,4,0.186648
5,5,0.17187170000000002
5,6,0.20220199999999997
