election_id,pollster_id,poll_id,bloc_id,y,t_unit
2,1,2002_1_1,2,107,115
2,1,2002_1_1,3,203,115
2,1,2002_1_1,4,70,115
2,1,2002_1_1,5,151,115
2,1,2002_1_1,6,101,115
2,1,2002_1_15,2,112,106
2,1,2002_1_15,3,230,106
2,1,2002_1_15,4,56,106
2,1,2002_1_15,5,160,106
2,1,2002_1_15,6,99,106
2,1,2002_1_22,2,116,103
2,1,2002_1_22,3,224,103
2,1,2002_1_22,4,59,103
2,1,2002_1_22,5,165,103
2,1,2002_1_22,6,96,103
2,1,2002_1_9,2,123,108
2,1,2002_1_9,3,247,108
2,1,2002_1_9,4,82,108
2,1,2002_1_9,5,176,108
2,1,2002_1_9,6,120,108
2,1,2002_2_14,2,118,96
2,1,2002_2_14,3,271,96
2,1,2002_2_14,4,52,96
2,1,2002_2_14,5,222,96
2,1,2002_2_14,6,78,96
2,1,2002_2_23,2,100,92
2,1,2002_2_23,3,266,92
2,1,2002_2_23,4,56,92
2,1,2002_2_23,5,184,92
2,1,2002_2_23,6,86,92
2,1,2002_2_32,2,93,87
2,1,2002_2_32,3,301,87
2,1,2002_2_32,4,52,87
2,1,2002_2_32,5,208,87
2,1,2002_2_32,6,89,87
2,1,2002_2_41,2,102,81
2,1,2002_2_41,3,323,81
2,1,2002_2_41,4,71,81
2,1,2002_2_41,5,201,81
2,1,2002_2_41,6,91,81
2,1,2002_2_53,2,99,72
2,1,2002_2_53,3,316,72
2,1,2002_2_53,4,66,72
2,1,2002_2_53,5,173,72
2,1,2002_2_53,6,81,72
2,1,2002_2_58,2,71,68
2,1,2002_2_58,3,285,68
2,1,2002_2_58,4,54,68
2,1,2002_2_58,5,186,68
2,1,2002_2_58,6,82,68
2,1,2002_2_63,2,85,64
2,1,2002_2_63,3,281,64
2,1,2002_2_63,4,61,64
2,1,2002_2_63,5,192,64
2,1,2002_2_63,6,65,64
2,1,2002_2_8,2,107,99
2,1,2002_2_8,3,239,99
2,1,2002_2_8,4,49,99
2,1,2002_2_8,5,174,99
2,1,2002_2_8,6,77,99
2,1,2002_3_12,2,99,52
2,1,2002_3_12,3,243,52
2,1,2002_3_12,4,72,52
2,1,2002_3_12,5,184,52
2,1,2002_3_12,6,60,52
2,1,2002_3_19,2,83,48
2,1,2002_3_19,3,237,48
2,1,2002_3_19,4,70,48
2,1,2002_3_19,5,198,48
2,1,2002_3_19,6,51,48
2,1,2002_3_21,2,96,46
2,1,2002_3_21,3,271,46
2,1,2002_3_21,4,95,46
2,1,2002_3_21,5,220,46
2,1,2002_3_21,6,51,46
2,1,2002_3_24,2,82,43
2,1,2002_3_24,3,264,43
2,1,2002_3_24,4,75,43
2,1,2002_3_24,5,211,43
2,1,2002_3_24,6,47,43
2,1,2002_3_25,2,88,42
2,1,2002_3_25,3,243,42
2,1,2002_3_25,4,72,42
2,1,2002_3_25,5,201,42
2,1,2002_3_25,6,53,42
2,1,2002_3_3,2,100,60
2,1,2002_3_3,3,290,60
2,1,2002_3_3,4,93,60
2,1,2002_3_3,5,220,60
2,1,2002_3_3,6,70,60
2,1,2002_3_6,2,75,57
2,1,2002_3_6,3,245,57
2,1,2002_3_6,4,75,57
2,1,2002_3_6,5,225,57
2,1,2002_3_6,6,62,57
2,1,2002_3_8,2,84,55
2,1,2002_3_8,3,229,55
2,1,2002_3_8,4,60,55
2,1,2002_3_8,5,175,55
2,1,2002_3_8,6,54,55
2,1,2002_4_11,2,96,30
2,1,2002_4_11,3,216,30
2,1,2002_4_11,4,57,30
2,1,2002_4_11,5,204,30
2,1,2002_4_11,6,64,30
2,1,2002_4_12,2,94,29
2,1,2002_4_12,3,201,29
2,1,2002_4_12,4,50,29
2,1,2002_4_12,5,232,29
2,1,2002_4_12,6,50,29
2,1,2002_4_14,2,82,27
2,1,2002_4_14,3,180,27
2,1,2002_4_14,4,52,27
2,1,2002_4_14,5,244,27
2,1,2002_4_14,6,23,27
2,1,2002_4_16,2,82,25
2,1,2002_4_16,3,245,25
2,1,2002_4_16,4,47,25
2,1,2002_4_16,5,265,25
2,1,2002_4_16,6,41,25
2,1,2002_4_19,2,79,22
2,1,2002_4_19,3,230,22
2,1,2002_4_19,4,42,22
2,1,2002_4_19,5,236,22
2,1,2002_4_19,6,51,22
2,1,2002_4_20,2,86,21
2,1,2002_4_20,3,242,21
2,1,2002_4_20,4,49,21
2,1,2002_4_20,5,266,21
2,1,2002_4_20,6,48,21
2,1,2002_4_23,2,69,18
2,1,2002_4_23,3,185,18
2,1,2002_4_23,4,37,18
2,1,2002_4_23,5,203,18
2,1,2002_4_23,6,40,18
2,1,2002_4_24,2,133,17
2,1,2002_4_24,3,344,17
2,1,2002_4_24,4,69,17
2,1,2002_4_24,5,369,17
2,1,2002_4_24,6,69,17
2,1,2002_4_29,2,77,13
2,1,2002_4_29,3,219,13
2,1,2002_4_29,4,56,13
2,1,2002_4_29,5,210,13
2,1,2002_4_29,6,55,13
2,1,2002_4_3,2,87,38
2,1,2002_4_3,3,247,38
2,1,2002_4_3,4,80,38
2,1,2002_4_3,5,206,38
2,1,2002_4_3,6,47,38
2,1,2002_4_30,2,65,12
2,1,2002_4_30,3,196,12
2,1,2002_4_30,4,40,12
2,1,2002_4_30,5,198,12
2,1,2002_4_30,6,68,12
2,1,2002_4_39,2,74,3
2,1,2002_4_39,3,208,3
2,1,2002_4_39,4,73,3
2,1,2002_4_39,5,196,3
2,1,2002_4_39,6,61,3
2,1,2002_4_4,2,82,37
2,1,2002_4_4,3,215,37
2,1,2002_4_4,4,76,37
2,1,2002_4_4,5,210,37
2,1,2002_4_4,6,51,37
2,1,2002_4_8,2,133,33
2,1,2002_4_8,3,322,33
2,1,2002_4_8,4,104,33
2,1,2002_4_8,5,303,33
2,1,2002_4_8,6,85,33
2,2,2002_1_11,2,155,108
2,2,2002_1_11,3,350,108
2,2,2002_1_11,4,90,108
2,2,2002_1_11,5,255,108
2,2,2002_1_11,6,150,108
2,2,2002_1_17,2,140,105
2,2,2002_1_17,3,370,105
2,2,2002_1_17,4,75,105
2,2,2002_1_17,5,285,105
2,2,2002_1_17,6,130,105
2,2,2002_1_2,2,155,114
2,2,2002_1_2,3,335,114
2,2,2002_1_2,4,95,114
2,2,2002_1_2,5,250,114
2,2,2002_1_2,6,165,114
2,2,2002_2_10,2,350,98
2,2,2002_2_10,3,120,98
2,2,2002_2_10,4,240,98
2,2,2002_2_10,5,115,98
2,2,2002_2_10,6,110,98
2,2,2002_2_17,2,130,95
2,2,2002_2_17,3,375,95
2,2,2002_2_17,4,60,95
2,2,2002_2_17,5,320,95
2,2,2002_2_17,6,115,95
2,2,2002_2_2,2,155,102
2,2,2002_2_2,3,356,102
2,2,2002_2_2,4,80,102
2,2,2002_2_2,5,276,102
2,2,2002_2_2,6,135,102
2,2,2002_2_25,2,357,91
2,2,2002_2_25,3,161,91
2,2,2002_2_25,4,226,91
2,2,2002_2_25,5,100,91
2,2,2002_2_25,6,101,91
2,2,2002_2_34,2,110,86
2,2,2002_2_34,3,390,86
2,2,2002_2_34,4,80,86
2,2,2002_2_34,5,300,86
2,2,2002_2_34,6,120,86
2,2,2002_2_43,2,115,80
2,2,2002_2_43,3,445,80
2,2,2002_2_43,4,90,80
2,2,2002_2_43,5,245,80
2,2,2002_2_43,6,105,80
2,2,2002_2_46,2,110,78
2,2,2002_2_46,3,417,78
2,2,2002_2_46,4,90,78
2,2,2002_2_46,5,282,78
2,2,2002_2_46,6,106,78
2,2,2002_2_54,2,115,73
2,2,2002_2_54,3,387,73
2,2,2002_2_54,4,90,73
2,2,2002_2_54,5,291,73
2,2,2002_2_54,6,120,73
2,2,2002_2_56,2,130,70
2,2,2002_2_56,3,400,70
2,2,2002_2_56,4,100,70
2,2,2002_2_56,5,270,70
2,2,2002_2_56,6,100,70
2,2,2002_2_61,2,120,66
2,2,2002_2_61,3,412,66
2,2,2002_2_61,4,90,66
2,2,2002_2_61,5,282,66
