question_id,survey_id,pollster_id,candidate_id,y,t_unit
9,1,1,1,166,22
9,1,1,2,3,22
9,1,1,3,1,22
9,1,1,4,3,22
9,1,1,5,14,22
9,1,1,6,7,22
9,1,1,7,7,22
9,1,1,8,14,22
9,1,1,10,44,22
9,1,1,12,20,22
9,1,1,13,2,22
9,1,1,16,2,22
9,1,1,22,5,22
9,1,1,23,27,22
9,1,1,24,24,22
10,1,1,1,175,22
10,1,1,2,2,22
10,1,1,3,2,22
10,1,1,4,3,22
10,1,1,5,14,22
10,1,1,6,7,22
10,1,1,7,7,22
10,1,1,8,14,22
10,1,1,10,48,22
10,1,1,13,3,22
10,1,1,14,18,22
10,1,1,16,1,22
10,1,1,22,5,22
10,1,1,23,30,22
10,1,1,24,25,22
11,1,1,1,172,22
11,1,1,2,2,22
11,1,1,3,2,22
11,1,1,4,3,22
11,1,1,5,15,22
11,1,1,6,7,22
11,1,1,7,7,22
11,1,1,8,14,22
11,1,1,10,49,22
11,1,1,13,3,22
11,1,1,15,15,22
11,1,1,16,2,22
11,1,1,22,6,22
11,1,1,23,30,22
11,1,1,24,23,22
12,1,1,1,198,22
12,1,1,2,2,22
12,1,1,3,1,22
12,1,1,4,2,22
12,1,1,5,16,22
12,1,1,6,8,22
12,1,1,7,8,22
12,1,1,8,16,22
12,1,1,10,56,22
12,1,1,12,30,22
12,1,1,13,4,22
12,1,1,16,2,22
12,1,1,22,7,22
12,1,1,23,48,22
13,1,1,1,200,22
13,1,1,2,2,22
13,1,1,3,2,22
13,1,1,4,3,22
13,1,1,5,16,22
13,1,1,6,8,22
13,1,1,7,8,22
13,1,1,8,16,22
13,1,1,10,58,22
13,1,1,13,4,22
13,1,1,14,24,22
13,1,1,16,2,22
13,1,1,22,7,22
13,1,1,23,50,22
14,1,1,1,193,22
14,1,1,2,3,22
14,1,1,3,2,22
14,1,1,4,3,22
14,1,1,5,16,22
14,1,1,6,8,22
14,1,1,7,8,22
14,1,1,8,16,22
14,1,1,10,58,22
14,1,1,13,4,22
14,1,1,15,20,22
14,1,1,16,2,22
14,1,1,22,8,22
14,1,1,23,49,22
28,2,2,1,407,21
28,2,2,2,5,21
28,2,2,3,5,21
28,2,2,4,9,21
28,2,2,5,33,21
28,2,2,6,21,21
28,2,2,7,9,21
28,2,2,8,41,21
28,2,2,10,102,21
28,2,2,11,5,21
28,2,2,12,57,21
28,2,2,13,9,21
28,2,2,16,5,21
28,2,2,17,0,21
28,2,2,22,17,21
28,2,2,23,94,21
28,2,2,25,5,21
29,2,2,1,427,21
29,2,2,2,5,21
29,2,2,3,5,21
29,2,2,4,9,21
29,2,2,5,35,21
29,2,2,6,18,21
29,2,2,7,5,21
29,2,2,8,43,21
29,2,2,10,116,21
29,2,2,11,5,21
29,2,2,13,9,21
29,2,2,14,47,21
29,2,2,16,5,21
29,2,2,17,5,21
29,2,2,22,22,21
29,2,2,23,103,21
29,2,2,25,5,21
30,2,2,1,427,21
30,2,2,2,5,21
30,2,2,3,5,21
30,2,2,4,9,21
30,2,2,5,35,21
30,2,2,6,22,21
30,2,2,7,9,21
30,2,2,8,47,21
30,2,2,10,124,21
30,2,2,11,0,21
30,2,2,13,9,21
30,2,2,15,35,21
30,2,2,16,5,21
30,2,2,17,0,21
30,2,2,22,18,21
30,2,2,23,107,21
30,2,2,25,5,21
31,2,2,1,407,21
31,2,2,2,5,21
31,2,2,3,5,21
31,2,2,4,9,21
31,2,2,5,29,21
31,2,2,6,21,21
31,2,2,7,5,21
31,2,2,8,37,21
31,2,2,10,102,21
31,2,2,11,5,21
31,2,2,12,53,21
31,2,2,13,5,21
31,2,2,16,5,21
31,2,2,17,0,21
31,2,2,22,13,21
31,2,2,23,66,21
31,2,2,24,53,21
31,2,2,25,5,21
32,2,2,1,417,21
32,2,2,2,5,21
32,2,2,3,5,21
32,2,2,4,9,21
32,2,2,5,34,21
32,2,2,6,21,21
32,2,2,7,9,21
32,2,2,8,38,21
32,2,2,10,113,21
32,2,2,11,0,21
32,2,2,13,5,21
32,2,2,14,34,21
32,2,2,16,5,21
32,2,2,17,0,21
32,2,2,22,13,21
32,2,2,23,71,21
32,2,2,24,59,21
32,2,2,25,5,21
33,2,2,1,417,21
33,2,2,2,5,21
33,2,2,3,5,21
33,2,2,4,9,21
33,2,2,5,34,21
33,2,2,6,21,21
33,2,2,7,9,21
33,2,2,8,38,21
33,2,2,10,117,21
33,2,2,11,0,21
33,2,2,13,5,21
33,2,2,15,21,21
33,2,2,16,5,21
33,2,2,17,0,21
33,2,2,22,17,21
33,2,2,23,75,21
33,2,2,24,59,21
33,2,2,25,5,21
34,2,2,1,546,21
34,2,2,10,328,21
34,2,2,23,219,21
35,2,2,1,546,21
35,2,2,10,344,21
35,2,2,24,203,21
36,2,2,1,602,21
36,2,2,10,320,21
36,2,2,12,283,21
91,3,2,1,376,13
91,3,2,2,4,13
91,3,2,3,4,13
91,3,2,4,8,13
91,3,2,5,31,13
91,3,2,6,23,13
91,3,2,7,8,13
91,3,2,8,27,13
91,3,2,10,98,13
91,3,2,11,0,13
91,3,2,12,61,13
91,3,2,13,8,13
91,3,2,16,0,13
91,3,2,17,0,13
91,3,2,22,19,13
91,3,2,23,87,13
91,3,2,25,4,13
92,3,2,1,396,13
92,3,2,2,0,13
92,3,2,3,4,13
92,3,2,4,8,13
92,3,2,5,32,13
92,3,2,6,24,13
92,3,2,7,8,13
92,3,2,8,32,13
92,3,2,10,103,13
92,3,2,11,4,13
92,3,2,13,8,13
92,3,2,14,56,13
92,3,2,16,0,13
92,3,2,17,0,13
92,3,2,22,24,13
92,3,2,23,91,13
92,3,2,25,4,13
93,3,2,1,385,13
93,3,2,2,0,13
93,3,2,3,4,13
93,3,2,4,8,13
93,3,2,5,31,13
93,3,2,6,27,13
93,3,2,7,8,13
93,3,2,8,27,13
93,3,2,10,97,13
93,3,2,11,4,13
93,3,2,12,58,13
93,3,2,13,4,13
93,3,2,16,0,13
93,3,2,17,0,13
93,3,2,22,16,13
93,3,2,23,70,13
93,3,2,24,31,13
93,3,2,25,4,13
94,3,2,1,385,13
94,3,2,2,0,13
94,3,2,3,4,13
94,3,2,4,8,13
94,3,2,5,31,13
94,3,2,6,24,13
94,3,2,7,4,13
94,3,2,8,27,13
94,3,2,10,101,13
94,3,2,11,4,13
94,3,2,13,8,13
94,3,2,14,51,13
94,3,2,16,0,13
94,3,2,17,0,13
94,3,2,22,20,13
94,3,2,23,74,13
94,3,2,24,31,13
94,3,2,25,4,13
95,3,2,1,499,13
95,3,2,10,294,13
95,3,2,23,205,13
96,3,2,1,564,13
96,3,2,10,294,13
96,3,2,12,271,13
133,4,2,1,172,7
133,4,2,2,2,7
133,4,2,3,2,7
133,4,2,4,2,7
133,4,2,5,16,7
133,4,2,6,9,7
133,4,2,8,11,7
133,4,2,10,50,7
133,4,2,11,0,7
133,4,2,12,25,7
133,4,2,13,4,7
133,4,2,16,2,7
133,4,2,17,2,7
133,4,2,22,9,7
133,4,2,23,43,7
134,4,2,1,172,7
134,4,2,2,0,7
134,4,2,3,4,7
134,4,2,4,4,7
134,4,2,5,18,7
134,4,2,6,9,7
134,4,2,8,13,7
134,4,2,10,52,7
134,4,2,11,2,7
134,4,2,13,4,7
134,4,2,14,19,7
134,4,2,16,4,7
134,4,2,17,2,7
134,4,2,22,7,7
134,4,2,23,40,7
135,4,2,1,172,7
135,4,2,2,2,7
135,4,2,3,4,7
135,4,2,4,4,7
135,4,2,5,18,7
135,4,2,6,7,7
135,4,2,8,11,7
135,4,2,10,54,7
135,4,2,11,0,7
