"","poll_id","start_day","end_day","pollName","pollster_id","abstention","election_year","bloc","y","n"
"1","2002_1_1",2002-04-18,2002-04-18,"BVA",1,0,2002,"Gauche radicale et extrême gauche",107,632
"2","2002_1_1",2002-04-18,2002-04-18,"BVA",1,0,2002,"Gauche",203,632
"3","2002_1_1",2002-04-18,2002-04-18,"BVA",1,0,2002,"Centre",70,632
"4","2002_1_1",2002-04-18,2002-04-18,"BVA",1,0,2002,"Droite",151,632
"5","2002_1_1",2002-04-18,2002-04-18,"BVA",1,0,2002,"Droite radicale et extreme droite",101,632
"6","2002_1_10",2002-04-11,2002-04-12,"Ifop",3,0,2002,"Gauche radicale et extrême gauche",166,952
"7","2002_1_10",2002-04-11,2002-04-12,"Ifop",3,0,2002,"Gauche",343,952
"8","2002_1_10",2002-04-11,2002-04-12,"Ifop",3,0,2002,"Centre",95,952
"9","2002_1_10",2002-04-11,2002-04-12,"Ifop",3,0,2002,"Droite",229,952
"10","2002_1_10",2002-04-11,2002-04-12,"Ifop",3,0,2002,"Droite radicale et extreme droite",119,952
"11","2002_1_11",2002-04-10,2002-04-11,"CSA",2,0,2002,"Gauche radicale et extrême gauche",155,1000
"12","2002_1_11",2002-04-10,2002-04-11,"CSA",2,0,2002,"Gauche",350,1000
"13","2002_1_11",2002-04-10,2002-04-11,"CSA",2,0,2002,"Centre",90,1000
"14","2002_1_11",2002-04-10,2002-04-11,"CSA",2,0,2002,"Droite",255,1000
"15","2002_1_11",2002-04-10,2002-04-11,"CSA",2,0,2002,"Droite radicale et extreme droite",150,1000
"16","2002_1_12",2002-04-10,2002-04-11,"Sofres",6,0,2002,"Gauche radicale et extrême gauche",170,1000
"17","2002_1_12",2002-04-10,2002-04-11,"Sofres",6,0,2002,"Gauche",325,1000
"18","2002_1_12",2002-04-10,2002-04-11,"Sofres",6,0,2002,"Centre",100,1000
"19","2002_1_12",2002-04-10,2002-04-11,"Sofres",6,0,2002,"Droite",255,1000
"20","2002_1_12",2002-04-10,2002-04-11,"Sofres",6,0,2002,"Droite radicale et extreme droite",150,1000
"21","2002_1_13",2002-04-05,2002-04-06,"Ifop",3,0,2002,"Gauche radicale et extrême gauche",150,1003
"22","2002_1_13",2002-04-05,2002-04-06,"Ifop",3,0,2002,"Gauche",361,1003
"23","2002_1_13",2002-04-05,2002-04-06,"Ifop",3,0,2002,"Centre",90,1003
"24","2002_1_13",2002-04-05,2002-04-06,"Ifop",3,0,2002,"Droite",261,1003
"25","2002_1_13",2002-04-05,2002-04-06,"Ifop",3,0,2002,"Droite radicale et extreme droite",141,1003
"26","2002_1_14",2002-04-05,2002-04-06,"Ipsos",4,0,2002,"Gauche radicale et extrême gauche",163,954
"27","2002_1_14",2002-04-05,2002-04-06,"Ipsos",4,0,2002,"Gauche",325,954
"28","2002_1_14",2002-04-05,2002-04-06,"Ipsos",4,0,2002,"Centre",81,954
"29","2002_1_14",2002-04-05,2002-04-06,"Ipsos",4,0,2002,"Droite",257,954
"30","2002_1_14",2002-04-05,2002-04-06,"Ipsos",4,0,2002,"Droite radicale et extreme droite",128,954
"31","2002_1_15",2002-04-04,2002-04-06,"BVA",1,0,2002,"Gauche radicale et extrême gauche",112,657
"32","2002_1_15",2002-04-04,2002-04-06,"BVA",1,0,2002,"Gauche",230,657
"33","2002_1_15",2002-04-04,2002-04-06,"BVA",1,0,2002,"Centre",56,657
"34","2002_1_15",2002-04-04,2002-04-06,"BVA",1,0,2002,"Droite",160,657
"35","2002_1_15",2002-04-04,2002-04-06,"BVA",1,0,2002,"Droite radicale et extreme droite",99,657
"36","2002_1_16",2002-04-04,2002-04-05,"Sofres",6,0,2002,"Gauche radicale et extrême gauche",150,1000
"37","2002_1_16",2002-04-04,2002-04-05,"Sofres",6,0,2002,"Gauche",360,1000
