pollName,dates,sampleSize,Abs.,Laguiller,Gluckstein,Besancenot,Hue,Jospin,Taubira,Chevènement,Mamère,Lepage,Bayrou,Chirac,Madelin,Boutin,Miguet,Pasqua,Saint-Josse,Mégret,Le Pen
BVA,18-Apr-02,631,–,8%,0.50%,3.50%,5%,18%,2%,6%,5%,1%,6%,19%,5%,1%,–,–,4%,2%,14%
CSA,17–18 Apr 2002,"1,000",–,7%,0.50%,3%,5%,18%,2.50%,6.50%,5%,1.50%,6%,19.50%,3.50%,1.50%,–,–,4%,2.50%,14%
Ipsos,17–18 Apr 2002,989,–,7%,0.50%,4%,5%,18%,1%,6.50%,6.50%,1%,6%,20%,4%,1%,–,–,3%,2.50%,14%
Sofres,17–18 Apr 2002,"1,000",–,6.50%,0.50%,4%,6%,18%,1.50%,6.50%,6%,1%,6%,19.50%,5%,1.50%,–,–,4%,1.50%,12.50%
Louis Harris,16–17 Apr 2002,592,–,8%,0%,2%,5%,18%,1%,6%,7%,1%,7%,20%,5%,2%,–,–,3%,2%,13%
Ipsos,15–16 Apr 2002,"1,005",–,7%,0.50%,2.50%,5.50%,18%,1.50%,6%,6.50%,1%,5%,22%,4%,1%,–,–,3.50%,3%,13%
Sofres,13–15 Apr 2002,"1,000",–,8%,0.50%,2.50%,6%,18%,1%,6%,5%,1.50%,6%,20%,5%,1.50%,–,–,3.50%,2.50%,13%
Ifop,12–13 Apr 2002,"1,006",–,7%,0.50%,4%,5.50%,16.50%,1.50%,8.50%,6.50%,2%,6.50%,20%,3.50%,0.50%,–,–,4%,3%,10.50%
BVA,10–13 Apr 2002,749,–,9%,0.50%,2%,5%,18%,1.50%,6%,6%,1.50%,6%,18.50%,5%,1%,–,–,4%,2%,14%
Ifop,11–12 Apr 2002,951,–,8%,0.50%,3.50%,5.50%,17%,2%,8%,7%,2%,6.50%,19%,3.50%,0.50%,–,–,4.50%,3%,9.50%
CSA,10–11 Apr 2002,"1,000",–,8%,0.50%,1.50%,5.50%,19%,1%,7%,6.50%,1.50%,5.50%,21%,3.50%,1%,–,–,3.50%,3%,12%
Sofres,10–11 Apr 2002,"1,000",–,8%,0.50%,2.50%,6%,19%,1.50%,6%,4.50%,1.50%,5%,22%,5%,0.50%,–,–,3%,2%,13%
Ifop,5–6 Apr 2002,"1,004",–,8.50%,0.50%,1%,5%,17.50%,1%,8%,8%,1.50%,5.50%,21%,3.50%,1%,–,–,4%,1%,13%
Ipsos,5–6 Apr 2002,952,–,11%,0%,1%,5%,19%,0.50%,8.50%,5%,1%,5%,23%,3.50%,0.50%,–,–,3.50%,1.50%,12%
BVA,4–6 Apr 2002,657,–,11%,–,1%,5%,20%,1%,6%,6.50%,1.50%,5%,20%,3.50%,0.50%,–,0.50%,3.50%,3%,12%
Sofres*,4–5 Apr 2002,"1,000",–,8.50%,0%,1%,5.50%,21%,1%,6%,7%,1%,6%,21%,3.50%,1.50%,–,–,3%,1.50%,12.50%
CSA,3–4 Apr 2002,"1,000",–,8.50%,0.50%,1%,4%,18.50%,0.50%,8%,8.50%,1.50%,4.50%,22%,3%,1.50%,–,–,5%,1.50%,11.50%
Sofres,3–4 Apr 2002,"1,000",–,9%,0%,0.50%,6%,19%,1%,7%,5%,1%,4%,24%,4%,1.50%,0%,–,4%,2%,12%
Ipsos,29–30 Mar 2002,938,–,10%,–,1%,5%,20%,0.50%,8%,5%,0.50%,5%,24%,3%,1%,–,2%,3.50%,1.50%,10%
Ipsos,29–30 Mar 2002,938,–,11%,–,1%,5%,21%,0.50%,10.50%,5%,0.50%,5.50%,27%,3.50%,1%,–,4%,4.50%,–,–
Louis Harris,29–30 Mar 2002,"1,001",–,10%,–,1%,6%,21%,0.50%,8%,6%,1%,4.50%,21%,3.50%,1.50%,–,2%,3%,1%,10%
BVA,28–30 Mar 2002,661,–,11%,–,0.50%,6%,20%,0.50%,6.50%,6.50%,0.50%,5%,20%,4%,1%,–,2%,2%,1.50%,13%
