pollName,dates,sampleSize,Laguiller,Gluckstein,Besancenot,Hue,Jospin,Taubira,Chevènement,Dieudonné,Mamère,Waechter,Larrouturou,Lepage,Lalonde,Bayrou,Chirac,Madelin,Boutin,Pasqua,Saint-Josse,Mégret,Le Pen
Ifop,28–29 Mar 2002,936,10%,<0.5%,1%,4.50%,20.50%,1%,9%,–,7%,0.50%,0.50%,1%,<0.5%,5.50%,21%,2%,0.50%,2%,2.50%,1%,10%
CSA,27–28 Mar 2002,"1,003",9%,0.50%,1%,5%,20%,0.50%,9%,–,5%,–,–,1%,–,4.50%,20%,3.50%,1.50%,1.50%,4.50%,1.50%,12%
Sofres,27–28 Mar 2002,"1,000",10%,0%,1%,6%,20%,0.50%,8.50%,–,6%,–,–,0.50%,–,4.50%,21%,4%,0.50%,2%,4%,0.50%,11%
Sofres,27–28 Mar 2002,"1,000",10%,0%,0.50%,6%,21%,0%,8%,–,5%,–,–,0.50%,–,5%,22%,4%,0.50%,3%,3%,1.50%,10%
Ifop,23–24 Mar 2002,"1,005",10%,<0.5%,1%,6%,19%,1%,10%,1%,7%,<0.5%,<0.5%,1%,<0.5%,4%,20%,3%,1%,3%,2%,<0.5%,10%
Ipsos,22–23 Mar 2002,938,10%,–,0.50%,5%,22%,0.50%,9%,–,5.50%,–,–,0.50%,–,5%,24%,2.50%,1%,2%,2.50%,1%,9%
Sofres,22–23 Mar 2002,"1,000",10%,–,1%,6%,21%,0.50%,7.50%,–,5.50%,–,–,1%,–,4%,23%,4%,1%,1.50%,3%,1%,10%
BVA,21–23 Mar 2002,647,10%,–,1%,5.50%,23%,1%,6.50%,–,5.50%,–,–,1%,–,4%,23%,3.50%,0.50%,1%,2.50%,1%,11%
Ifop,21–22 Mar 2002,947,8%,0.50%,0.50%,5%,21%,<0.5%,9%,1%,5%,0.50%,<0.5%,0.50%,<0.5%,4%,23%,2.50%,0.50%,3%,2%,1%,12%
CSA,20–21 Mar 2002,"1,000",8%,1%,5%,21%,0.50%,7%,–,6.50%,–,–,0.50%,–,4%,23%,4%,1%,2.50%,3.50%,1.50%,11%,
Ifop,15–16 Mar 2002,933,10%,0.50%,0.50%,5%,19%,0.50%,11%,1%,6%,<0.5%,<0.5%,0.50%,<0.5%,4%,22%,3%,1%,3%,3%,1%,8%
Ipsos,15–16 Mar 2002,919,9%,–,0.50%,5.50%,21%,0.50%,10%,–,5.50%,–,–,1%,–,4%,23%,3%,1%,3%,1.50%,1.50%,10%
Ipsos,15–16 Mar 2002,919,9.50%,–,0.50%,5.50%,22%,0.50%,11%,–,5.50%,–,–,1%,–,4.50%,27.50%,3%,1%,6.50%,2%,–,–
BVA,14–16 Mar 2002,739,9%,–,1%,6%,22%,0.50%,7%,–,5%,–,–,2%,–,3.50%,25%,3.50%,0.50%,1.50%,3%,0.50%,10%
Sofres,13–16 Mar 2002,"1,000",9.50%,–,1%,5.50%,21%,0.50%,6.50%,–,6%,–,–,0.50%,–,4.50%,23.50%,4%,1%,2.50%,3%,1%,10%
Sofres,14–15 Mar 2002,"1,000",9%,–,1%,5.50%,20%,0.50%,7%,–,6%,–,–,1%,–,4%,24%,4%,1%,3%,2%,1%,11%
CSA,13–14 Mar 2002,"1,001",7%,0.50%,1%,4.50%,22%,1%,8.50%,–,5.50%,–,–,0.50%,–,3%,25.50%,3%,1%,2.50%,3%,2%,9.50%
Ipsos,8–9 Mar 2002,933,8%,–,0.50%,6%,22%,0.50%,11%,–,6%,–,–,0.50%,–,3%,24%,3%,1%,3%,2%,1.50%,8%
Ipsos,8–9 Mar 2002,933,8.50%,–,0.50%,6.50%,23%,0.50%,12.50%,–,6%,–,–,0.50%,–,3.50%,27%,3%,1%,4.50%,3%,–,–
Louis Harris,8–9 Mar 2002,626,8%,–,1%,5%,23%,<0.5%,10%,–,5%,–,–,1%,–,3%,24%,3%,1%,2%,2%,2%,10%
Sofres,8–9 Mar 2002,"1,000",9%,–,0.50%,5.50%,22%,0.50%,7.50%,–,5%,–,–,1%,–,4%,23%,4%,1%,3%,1.50%,1.50%,11%
Ipsos,1–2 Mar 2002,925,8%,–,1%,6%,21%,0.50%,10%,–,6%,–,–,0.50%,–,4%,24%,3%,0.50%,2.50%,3%,1%,9%
BVA,28 Feb–2 Mar 2002,693,8%,–,0.50%,6%,24%,0.50%,8%,–,5%,–,–,1%,–,4%,21%,4%,1%,2%,2.50%,1.50%,11%
Ifop,28 Feb–1 Mar 2002,941,9%,<0.5%,0.50%,4%,21%,0.50%,10%,2%,7%,<0.5%,0.50%,0.50%,<0.5%,3%,22%,3%,1%,3%,3%,1%,8%
CSA,27–28 Feb 2002,"1,007",6%,0.50%,5.50%,23.50%,0.50%,11%,–,6%,–,–,0.50%,–,4%,21%,3%,1.50%,1.50%,3.50%,2%,10%,
Sofres,27–28 Feb 2002,"1,000",7%,–,1%,5.50%,22.50%,0.50%,10%,–,6%,–,–,0.50%,–,3%,24%,3%,1%,2%,2%,1%,11%
Ifop,22–23 Feb 2002,937,7%,<1%,<1%,5%,22%,<1%,12%,2%,6%,<1%,<1%,<1%,<1%,3%,23%,4%,<1%,3%,3%,1%,7%
Ipsos,22–23 Feb 2002,938,7%,–,0.50%,6%,22%,0.50%,11%,–,6%,–,–,0.50%,–,3%,25%,3%,0.50%,1.50%,3%,1.50%,9%
Sofres,22–23 Feb 2002,"1,000",7.50%,–,0.50%,6%,22%,0.50%,10%,–,5.50%,–,–,0.50%,–,3%,24%,4.50%,1%,1.50%,2%,0.50%,11%
Ifop,21–22 Feb 2002,939,8%,<1%,<1%,5%,23%,<1%,10%,2%,6%,<1%,<1%,<1%,<1%,3%,25%,3%,1%,2%,2%,1%,7%
Ipsos,15–16 Feb 2002,916,7%,–,1%,6%,20%,0.50%,12%,–,5%,–,–,0.50%,–,3%,25%,3%,1%,3%,2%,1%,10%
BVA,14–16 Feb 2002,743,7%,–,0.50%,5%,23%,0.50%,10%,–,6%,–,–,1%,–,4%,24%,3%,0.50%,1%,2.50%,1%,11%
Sofres,13–15 Feb 2002,"1,000",6%,–,0.50%,6%,21.50%,0%,10%,–,7%,–,–,0.50%,–,3%,26%,3%,0.50%,3%,3%,1%,9%
CSA,13–14 Feb 2002,"1,000",5.50%,–,0.50%,5%,21.50%,0.50%,10%,–,6%,–,–,1%,–,3%,24.50%,5%,0.50%,1.50%,3.50%,2%,10%
Ipsos,12-Feb-02,"1,018",6%,–,0.50%,6%,23%,0.50%,11%,–,5%,–,–,1%,–,3%,27%,3%,1%,2%,2%,1%,8%
Ipsos,8–9 Feb 2002,908,6%,–,0.50%,7%,21%,0.50%,12%,–,6%,–,–,0.50%,–,3%,23%,4%,1%,3%,1.50%,1%,10%
Ifop,7–8 Feb 2002,961,7%,<1%,1%,5%,19%,<1%,13%,2%,7%,<1%,<1%,1%,<1%,3%,23%,4%,1%,3%,2%,1%,7%
Ipsos,1–2 Feb 2002,925,6%,–,0.50%,6%,23%,0.50%,12%,–,6%,–,–,1%,–,4%,23%,5%,1%,3%,–,1%,8%
Louis Harris,1–2 Feb 2002,844,6%,–,1%,5%,23%,0.50%,13%,–,5%,–,–,1%,–,5%,23%,5%,<0.5%,2.50%,–,1%,9%
Sofres,1–2 Feb 2002,"1,000",6%,–,1%,6.50%,22.50%,–,11%,–,6%,–,–,–,–,4%,24%,5%,–,1.50%,–,1.50%,11%
BVA,31 Jan–2 Feb 2002,788,7%,–,1%,5%,22%,1%,10%,–,7%,–,–,1%,–,4%,23%,5%,0.50%,2%,–,1.50%,10%
Ifop,31 Jan–1 Feb 2002,963,7%,<1%,<1%,4%,22%,<1%,11%,1%,6%,<1%,<1%,1%,<1%,3%,24%,4%,1%,3%,–,2%,10%
