pollName,dates,sampleSize,Laguiller,Besancenot,Hue,Jospin,Chevènement,Dieudonné,Mamère,Lipietz,Voynet,Waechter,Lepage,Lalonde,Bayrou,Chirac,Madelin,Boutin,Pasqua,Villiers,Mégret,Le Pen
Ifop,11–12 Oct 2001,761,6%,<1%,5%,23%,10%,–,8%,–,–,<1%,1%,–,6%,24%,4%,<1%,5%,–,–,7%
Ifop,11–12 Oct 2001,761,7%,<1%,5%,26%,11%,–,–,2%,–,<1%,1%,–,5%,26%,4%,<1%,5%,–,–,7%
BVA,27–29 Sep 2001,773,6%,1%,6%,26%,8%,–,–,3%,–,–,0.50%,–,5%,25%,7%,0.50%,3%,–,1%,8%
CSA,11–12 Sep 2001,"1,000",7%,1%,6%,24%,9%,–,–,4%,–,–,–,–,6%,26%,6%,–,2%,–,1%,8%
Sofres,7–8 Sep 2001,"1,000",7%,–,6%,27%,9%,–,–,2%,–,–,–,–,5%,26%,5%,0.50%,4%,–,1.50%,7%
BVA,30 Aug–1 Sep 2001,682,6%,1%,4%,25%,6%,–,–,4%,–,–,–,1%,6%,26%,5%,1%,6%,–,2%,7%
CSA,16–17 Jul 2001,"1,005",7%,–,7%,26%,6%,–,–,3%,–,–,–,–,5%,30%,5%,–,3%,–,1%,7%
BVA,5–7 Jul 2001,605,7%,1%,6%,26%,5%,–,–,5%,–,–,2%,–,5%,25%,5%,2%,2%,–,2%,7%
Sofres,22–23 Jun 2001,"1,000",7%,–,6%,27%,6%,–,–,3%,–,–,–,–,5%,26%,5%,1%,4%,–,–,10%
Sofres,22–23 Jun 2001,"1,000",9%,–,7%,27.50%,7%,–,–,3%,–,–,–,–,6.50%,31%,9%,–,–,–,–,–
CSA,20–21 Jun 2001,"1,000",6.50%,–,6.50%,27%,5%,–,–,4%,–,–,–,–,6%,28%,6%,–,2%,–,2%,7%
BVA,14–16 Jun 2001,658,8%,–,7%,24%,6%,–,7%,–,–,–,–,–,6%,23%,5%,–,5%,–,1%,8%
Ipsos,8–9 Jun 2001,839,6%,–,6%,27%,4%,–,5%,–,–,–,–,–,5%,30%,3%,3%,3%,–,2%,6%
Ipsos,8–9 Jun 2001,839,6%,–,6%,27%,4%,–,5%,–,–,–,–,–,5%,32%,3%,3%,–,–,2%,7%
Ipsos,8–9 Jun 2001,839,6%,–,6%,28%,4%,–,5%,–,–,–,–,–,5%,33%,4%,4%,5%,–,–,–
Ipsos,8–9 Jun 2001,839,6%,–,6%,28%,5%,–,6%,–,–,–,–,–,6%,38%,5%,–,–,–,–,–
CSA,29–30 May 2001,900,6%,–,8%,28%,4%,–,5%,–,–,–,–,–,5%,27%,5%,–,2%,–,2%,8%
Sofres,15–16 May 2001,840,6%,–,5.50%,27%,5%,–,7%,–,–,–,–,–,6%,26%,5%,–,3%,–,1.50%,8%
BVA,10–12 May 2001,640,7%,–,6%,27%,3%,–,7%,–,–,–,–,–,6%,25%,5%,–,6%,–,–,8%
CSA,26–27 Apr 2001,922,6%,–,6%,25%,5%,–,5%,–,–,–,–,–,7%,30%,3%,–,3%,–,2%,8%
BVA,20–21 Apr 2001,733,8%,–,5%,26%,4%,–,–,–,7%,–,–,–,6%,24%,7%,–,6%,–,–,7%
Sofres,28–29 Mar 2001,"1,000",6.50%,–,5%,28%,3%,–,5.50%,–,–,–,–,–,5%,27%,5%,–,3.50%,–,3%,8.50%
CSA,26-Mar-01,"1,000",5%,–,5%,28%,3%,–,7%,–,–,–,–,–,7%,28%,4%,–,4%,–,2%,7%
BVA,22–24 Mar 2001,678,6%,–,6%,26%,5%,–,8%,–,–,–,–,–,6%,25%,5%,–,6%,–,–,7%
BVA,22–24 Feb 2001,657,7.50%,–,6%,28%,4%,–,5%,–,–,–,–,–,5%,26%,6%,–,4.50%,–,–,8%
Ifop,15–16 Feb 2001,805,6%,–,5%,27%,5%,4%,7%,–,–,–,–,–,4%,24%,3%,–,5%,2%,–,8%
