pollName,dates,sampleSize,Laguiller,Hue,Jospin,Chevènement,Voynet,Bové,Bayrou,Chirac,Séguin,Madelin,Boutin,Pasqua,Villiers,Saint-Josse,Mégret,Le Pen
Ipsos,9–10 Feb 2001,955,6%,5%,30%,4%,3%,–,5%,29%,–,5%,–,4%,–,–,–,9%
Sofres,2–3 Feb 2001,"1,000",6%,7%,30%,3.50%,5%,–,5%,24%,–,6%,–,3.50%,–,–,2%,8%
BVA,1–3 Feb 2001,667,7%,6%,29%,4%,4%,–,7%,26%,–,5%,–,5%,–,–,–,7%
BVA,11–13 Jan 2001,634,7%,6%,27%,3%,4%,–,7%,28%,–,5%,–,5%,–,–,–,8%
CSA,5–6 Jan 2001,"1,000",6%,7%,29%,3%,5%,–,7%,23%,–,5%,–,5%,–,–,1%,9%
Ipsos,5-Dec-00,818,4%,5%,29%,5%,4%,–,8%,25%,–,5%,–,7%,2%,–,1%,5%
Sofres,1–2 Dec 2000,"1,000",6%,6%,30%,6%,5%,–,6%,22%,–,6.50%,–,6%,–,–,1%,5.50%
BVA,30 Nov–2 Dec 2000,945,8%,6%,28%,2%,4%,–,7%,26%,–,4%,–,6%,–,–,–,9%
Ifop,27-Nov-00,803,6%,6%,27%,4%,5%,–,5%,24%,–,5%,<1%,6%,4%,–,–,8%
CSA,14–15 Nov 2000,"1,000",6%,5.50%,28%,5%,4%,–,6%,27%,–,–,–,7.50%,–,–,1%,10%
BVA,8–10 Nov 2000,636,8%,7%,30%,–,4%,–,6%,27%,–,3%,–,5%,–,–,–,10%
BVA,6–8 Oct 2000,627,7%,8%,29%,–,3%,–,4%,30%,–,4%,–,7%,–,–,–,8%
Ipsos,29–30 Sep 2000,939,5%,7%,28%,6%,3%,–,6%,27%,–,–,–,10%,–,–,2%,6%
BVA,7–9 Sep 2000,581,7%,7%,27%,–,4%,–,6%,32%,–,3%,–,10%,–,–,–,4%
CSA,6–7 Sep 2000,"1,000",6%,5.50%,25%,7%,5.50%,–,4%,30%,–,–,–,7.50%,–,–,1%,8.50%
BVA,20–22 Jul 2000,680,6%,6%,32%,–,4%,–,4%,31%,–,3%,–,8%,–,–,–,6%
Ipsos,15-Jul-00,874,5%,6%,29%,–,4%,6%,4%,32%,–,–,–,6%,–,–,2%,6%
CSA,28–29 Jun 2000,"1,000",7%,7%,28%,–,5%,–,4%,33%,–,–,–,7%,–,–,2%,7%
BVA,15–17 Jun 2000,638,6.50%,6%,33%,–,3%,–,4%,29%,–,2.50%,–,8%,–,–,–,8%
BVA,11–13 May 2000,691,5.50%,7%,31%,–,4%,–,4%,30%,–,3%,–,8.50%,–,–,–,7%
CSA,10–13 May 2000,"1,000",6%,6%,27%,–,5%,–,5%,34%,–,–,–,6%,–,–,3%,8%
Ipsos,28–29 Apr 2000,825,3%,7%,32%,–,3%,–,3%,33%,–,–,–,9%,–,3%,1%,6%
BVA,13–15 Apr 2000,535,6%,7%,31%,–,3.50%,–,4%,29%,–,3%,–,9%,–,–,–,7.50%
BVA,16–18 Mar 2000,984,7%,6.50%,31%,–,4%,–,4%,26.50%,–,3%,–,11%,–,–,–,7%
Ipsos,10–11 Mar 2000,920,5%,6%,30%,–,4%,–,3%,30%,–,–,–,10%,–,4%,2%,6%
Ifop,2–3 Mar 2000,941,7%,6%,27%,–,6%,–,6%,26%,–,–,–,13%,–,–,–,9%
Ifop,2–3 Mar 2000,941,8%,6%,30%,–,6%,–,8%,–,17%,–,–,16%,–,–,–,9%
CSA,28–29 Feb 2000,"1,000",7%,6%,29%,–,4%,–,5%,29%,–,–,–,9%,–,–,3%,8%
BVA,17–19 Feb 2000,615,6%,6.50%,31.50%,–,4%,–,5%,24%,–,4%,–,10%,–,–,–,9%
BVA,13–15 Jan 2000,567,5%,6.50%,31.50%,–,3%,–,4%,24%,–,3%,–,11%,–,–,–,12%
CSA,4–5 Jan 2000,"1,000",5.50%,7.50%,31%,–,5%,–,5.50%,28%,–,–,–,8.50%,–,–,1%,8%
Sofres,27–29 Dec 1999,995,7%,7%,29%,–,6%,–,6%,26%,–,–,–,10%,–,–,2%,7%
CSA,3–4 Nov 1999,"1,000",5%,8%,32%,–,5%,–,5%,30%,–,–,–,–,6%,–,1%,8%
CSA,1–2 Sep 1999,"1,000",5%,6%,30%,–,5%,–,6%,31%,–,–,–,–,8%,–,1%,8%
CSA,1–2 Jul 1999,"1,004",5%,7%,31%,–,5%,–,6%,31%,–,–,–,–,8%,–,2%,5%
CSA,6–7 May 1999,"1,002",4.50%,7%,29%,–,4.50%,–,5%,34%,–,–,–,–,5%,–,3%,8%
CSA,5–6 Mar 1999,"1,003",4.50%,9%,30%,–,3.50%,–,5%,35%,–,–,–,–,3%,–,3%,7%
CSA,18–19 Dec 1998,"1,006",5%,8%,28%,–,5%,–,5%,31%,–,–,–,–,4%,–,5%,9%
BVA,10–13 Dec 1998,612,5%,7%,29%,–,5%,–,4%,32%,–,8%,–,–,–,–,–,10%
CSA,21–22 Aug 1998,"1,003",5%,10%,31%,–,5%,–,5%,30%,–,–,–,–,3%,–,–,11%
