pollName,dates,sampleSize,Abs.,Jospin,Chirac
BVA,18-Apr-02,579,–,50%,50%
CSA,17–18 Apr 2002,"1,000",–,50%,50%
Ipsos,17–18 Apr 2002,989,–,49%,51%
Sofres,17–18 Apr 2002,"1,000",–,50%,50%
Louis Harris,16–17 Apr 2002,577,–,49%,51%
Ipsos,15–16 Apr 2002,"1,005",–,49%,51%
Sofres,13–15 Apr 2002,"1,000",–,49%,51%
Ifop,12–13 Apr 2002,"1,006",–,49%,51%
BVA,10–13 Apr 2002,641,–,50%,50%
Ifop,11–12 Apr 2002,951,–,49.50%,50.50%
CSA,10–11 Apr 2002,"1,000",–,48%,52%
Sofres,10–11 Apr 2002,"1,000",–,50%,50%
Ifop,5–6 Apr 2002,"1,004",–,48.50%,51.50%
Ipsos,5–6 Apr 2002,952,–,49%,51%
BVA,4–6 Apr 2002,595,–,52%,48%
Sofres*,4–5 Apr 2002,"1,000",–,51%,49%
CSA,3–4 Apr 2002,"1,000",–,50%,50%
Sofres,3–4 Apr 2002,"1,000",–,49%,51%
Ipsos,29–30 Mar 2002,938,–,49%,51%
Louis Harris,29–30 Mar 2002,"1,001",–,51%,49%
BVA,28–30 Mar 2002,594,–,52%,48%
Ifop,28–29 Mar 2002,936,–,51%,49%
CSA,27–28 Mar 2002,"1,003",–,50.50%,49.50%
Sofres,27–28 Mar 2002,"1,000",–,52%,48%
Sofres,27–28 Mar 2002,"1,000",–,51%,49%
Ifop,23–24 Mar 2002,"1,005",–,50%,50%
Ipsos,22–23 Mar 2002,938,–,50%,50%
Sofres,22–23 Mar 2002,"1,000",–,51%,49%
BVA,21–23 Mar 2002,588,–,52%,48%
Ifop,21–22 Mar 2002,947,–,50%,50%
CSA,20–21 Mar 2002,"1,000",–,50%,50%
Ifop,15–16 Mar 2002,933,–,51.50%,48.50%
Ipsos,15–16 Mar 2002,919,–,50%,50%
BVA,14–16 Mar 2002,641,–,51%,49%
Sofres,13–16 Mar 2002,"1,000",–,51%,49%
Sofres,14–15 Mar 2002,"1,000",–,50.50%,49.50%
CSA,13–14 Mar 2002,"1,001",–,51%,49%
Ipsos,8–9 Mar 2002,933,–,51%,49%
Louis Harris,8–9 Mar 2002,603,–,52%,48%
Sofres,8–9 Mar 2002,"1,000",–,51.50%,48.50%
Ipsos,1–2 Mar 2002,925,–,50%,50%
BVA,28 Feb–2 Mar 2002,630,–,52%,48%
Ifop,28 Feb–1 Mar 2002,941,–,51%,49%
CSA,27–28 Feb 2002,"1,007",–,52%,48%
Sofres,27–28 Feb 2002,"1,000",–,51%,49%
Ifop,22–23 Feb 2002,937,–,51%,49%
Ipsos,22–23 Feb 2002,938,–,49%,51%
Sofres,22–23 Feb 2002,"1,000",–,51%,49%
Ifop,21–22 Feb 2002,939,–,50%,50%
Ipsos,15–16 Feb 2002,916,–,47%,53%
BVA,14–16 Feb 2002,713,–,50%,50%
Sofres,13–15 Feb 2002,"1,000",–,50%,50%
CSA,13–14 Feb 2002,"1,000",–,47%,53%
Ipsos,12-Feb-02,"1,018",–,47%,53%
Ipsos,8–9 Feb 2002,908,–,49%,51%
Ifop,7–8 Feb 2002,961,–,48%,52%
Ipsos,1–2 Feb 2002,925,–,49%,51%
Louis Harris,1–2 Feb 2002,839,–,51%,49%
Sofres,1–2 Feb 2002,"1,000",–,50%,50%
BVA,31 Jan–2 Feb 2002,697,–,51%,49%
Ifop,31 Jan–1 Feb 2002,963,–,50%,50%
CSA,29–30 Jan 2002,"1,001",–,48%,52%
Ipsos,25–26 Jan 2002,962,–,48%,52%
Ifop,17–18 Jan 2002,943,–,49%,51%
CSA,17-Jan-02,"1,006",–,47%,53%
Ipsos,11–12 Jan 2002,947,–,48%,52%
Sofres,11–12 Jan 2002,"1,000",–,49%,51%
Ifop,10–11 Jan 2002,963,–,48%,52%
Sofres,5-Jan-02,800,–,49%,51%
Ipsos,4–5 Jan 2002,955,–,48%,52%
Louis Harris,4–5 Jan 2002,"1,003",–,49%,51%
BVA,2–5 Jan 2002,735,–,52%,48%
CSA,3–4 Jan 2002,"1,005",–,47%,53%
Sofres,14–15 Dec 2001,"1,000",–,49%,51%
CSA,11–12 Dec 2001,"1,000",–,48%,52%
Ipsos,7–8 Dec 2001,840,–,49%,51%
Sofres,6–7 Dec 2001,846,–,48%,52%
BVA,29 Nov–1 Dec 2001,608,–,50%,50%
Ifop,29–30 Nov 2001,943,–,49%,51%
Sofres,22–23 Nov 2001,"1,000",–,49%,51%
CSA,14–15 Nov 2001,"1,006",–,47%,53%
Ipsos,9–10 Nov 2001,927,–,47%,53%
BVA,25–27 Oct 2001,622,–,49%,51%
Ipsos,19–20 Oct 2001,829,–,48%,52%
Sofres,19–20 Oct 2001,"1,000",–,48%,52%
CSA,17–18 Oct 2001,"1,005",–,47%,53%
