pollName,dates,sampleSize,Abs.,Schivardi,Laguiller,Besancenot,Buffet,Bové,Royal,Voynet,Nihous,Bayrou,Sarkozy,Villiers,Le Pen
TNS Sofres,20–21 Apr 2007,"1,000",–,0.50%,1.50%,4%,2%,1.50%,25%,1%,1%,18%,30%,2.50%,13%
BVA,20-Apr-07,810,–,0.50%,2.50%,5%,2.50%,1%,26%,1%,1%,17%,29%,2%,12.50%
CSA,20-Apr-07,"1,002",–,<0.5%,2%,5%,2.50%,1.50%,25.50%,1.50%,1.50%,16%,26.50%,1.50%,16.50%
Ipsos,19–20 Apr 2007,"1,598",–,0.50%,2%,4.50%,2.50%,1%,23.50%,1.50%,2%,17%,30%,2%,13.50%
CSA,18–19 Apr 2007,"1,002",–,<0.5%,1%,5%,1.50%,3%,26%,1.50%,1%,17%,27%,1%,16%
Ipsos,18–19 Apr 2007,"1,209",–,0.50%,1.50%,4%,2.50%,1.50%,23%,1.50%,2%,18%,30%,2.50%,13%
TNS Sofres,18–19 Apr 2007,"1,000",–,<0.5%,1.50%,5%,2.50%,1.50%,24%,1%,1.50%,19.50%,28%,1.50%,14%
Ifop-Fiducial,17–19 Apr 2007,952,–,0.50%,2%,4%,3%,1.50%,22.50%,1.50%,1.50%,20%,28%,2.50%,13%
Ipsos,17–18 Apr 2007,"1,212",–,0.50%,1.50%,3.50%,2.50%,1.50%,23.50%,1.50%,2%,18.50%,30%,2%,13%
BVA,16–17 Apr 2007,887,–,1%,2%,5%,3%,2%,25%,1%,1%,15%,29%,3%,13%
Ipsos,16–17 Apr 2007,"1,009",–,0.50%,1%,3.50%,2.50%,1.50%,24.50%,1.50%,2%,18.50%,29.50%,1.50%,13.50%
TNS Sofres,16–17 Apr 2007,"1,000",–,0.50%,1.50%,3.50%,2.50%,1%,25%,1.50%,1.50%,19%,28.50%,1.50%,14%
CSA,16-Apr-07,"1,006",–,<0.5%,1%,4%,2%,1.50%,25%,2%,1.50%,19%,27%,1.50%,15.50%
Ifop,14–16 Apr 2007,954,–,0.50%,3%,4%,3%,1.50%,22.50%,1.50%,2%,19%,28%,2.50%,12.50%
Ipsos,14–16 Apr 2007,"1,357",–,0.50%,1%,3.50%,3%,1.50%,25%,1%,2%,18.50%,28.50%,1.50%,14%
LH2,13–15 Apr 2007,"1,004",–,0.50%,2.50%,5%,2.50%,1.50%,23%,2%,1.50%,19%,27%,1.50%,14%
