pollName,dates,sampleSize,Schivardi,Laguiller,Besancenot,Buffet,Bové,Chevènement,Royal,Voynet,Hulot,Lepage,Nihous,Bayrou,Sarkozy,Alliot-Marie,Chirac,Dupont-Aignan,Villiers,Le Pen
Ifop,19-Mar-07,872,<0.5%,2%,4%,3%,1.50%,–,24%,1%,–,–,0.50%,21%,28%,–,–,–,1%,14%
Ipsos,16–19 Mar 2007,"1,253",0.50%,2%,3.50%,1.50%,2%,–,25%,0.50%,–,–,1%,21.50%,28.50%,–,–,–,2%,12%
Ifop,16–17 Mar 2007,911,<0.5%,3%,3%,2%,2%,–,24%,1.50%,–,–,0.50%,22.50%,26%,–,–,–,1.50%,14%
LH2,16–17 Mar 2007,"1,003",<0.5%,1%,2.50%,2%,1.50%,–,26%,1%,–,–,1%,22%,29%,–,–,<0.5%,1.50%,12.50%
Ipsos,15–17 Mar 2007,"1,252",0.50%,2%,3.50%,2%,1.50%,–,25%,0.50%,–,–,0.50%,21%,29.50%,–,–,–,1.50%,12.50%
Ipsos,14–16 Mar 2007,"1,193",0.50%,2%,3%,2.50%,2%,–,24%,0.50%,–,–,0.50%,22%,29.50%,–,–,–,1%,12.50%
TNS Sofres,14–15 Mar 2007,"1,000",<0.5%,2%,2%,2.50%,2%,–,24%,1%,–,–,<0.5%,22%,31%,–,–,1%,0.50%,12%
Ipsos,13–15 Mar 2007,"1,008",0.50%,2%,3%,2.50%,2%,–,23%,1%,–,–,0.50%,23%,29%,–,–,0%,0.50%,13%
CSA,14-Mar-07,905,0.50%,2%,2%,2%,2%,–,26%,1%,–,–,0.50%,21%,27%,–,–,0.50%,1.50%,14%
Ipsos,12–14 Mar 2007,"1,005",0%,2%,3%,2.50%,1.50%,–,24%,1%,–,–,0.50%,23%,28.50%,–,–,0%,0.50%,13.50%
BVA,12–13 Mar 2007,861,0.50%,2%,3%,3%,2%,–,23%,1%,–,–,0.50%,21%,29%,–,–,–,2%,13%
Ipsos,10–13 Mar 2007,"1,104",0%,2%,3%,2%,1%,–,25%,1%,–,–,0.50%,24%,28%,–,–,0%,0.50%,13%
Ipsos,9–12 Mar 2007,"1,250",0%,1.50%,2.50%,2%,1%,–,26%,1%,–,–,0.50%,22%,29.50%,–,–,0%,0.50%,13.50%
LH2,9–10 Mar 2007,"1,000",<0.5%,2%,2%,2.50%,1.50%,–,26%,1%,–,<0.5%,<0.5%,22%,28%,–,–,<0.5%,1.50%,13.50%
Ipsos,8–10 Mar 2007,"1,254",0%,1.50%,2.50%,2%,1%,–,25.50%,1.50%,–,0%,0.50%,21.50%,31%,–,–,0%,0.50%,12.50%
Ifop,8–9 Mar 2007,881,0.50%,2%,3.50%,2%,1.50%,–,23%,1%,–,0.50%,1%,23%,28%,–,–,<0.5%,1%,13%
Ifop,8–9 Mar 2007,881,0.50%,3%,3.50%,2%,1.50%,–,24%,1%,–,0.50%,1%,25%,34.50%,–,–,<0.5%,3.50%,–
Ipsos,7–9 Mar 2007,"1,155",0%,1.50%,2%,2%,1%,–,26%,1%,–,0%,0.50%,20.50%,32.50%,–,–,0%,0.50%,12.50%
TNS Sofres,7–8 Mar 2007,"1,000",–,2.50%,4%,1.50%,1.50%,–,25.50%,1%,–,0.50%,<0.5%,23%,27%,–,–,<0.5%,1.50%,12%
TNS Sofres,7–8 Mar 2007,"1,000",–,2.50%,4.50%,2%,3%,–,26.50%,1%,–,1%,0.50%,25%,30%,–,–,1%,3%,–
TNS Sofres,7–8 Mar 2007,"1,000",–,1.50%,4%,2%,2%,–,25.50%,1.50%,–,<0.5%,0.50%,23%,27%,–,–,<0.5%,1%,12%
Ipsos,6–8 Mar 2007,"1,012",0%,1%,2%,2%,1.50%,–,26.50%,0.50%,–,0%,0.50%,20%,33%,–,–,0%,1%,12%
CSA,7-Mar-07,917,<0.5%,1%,2.50%,1%,3%,–,25%,1%,–,0.50%,0.50%,24%,26%,–,–,0.50%,1%,14%
Ipsos,5–7 Mar 2007,"1,012",0%,1%,2%,2%,1.50%,–,27%,0.50%,–,0.50%,0.50%,19%,32.50%,–,–,0%,1%,12.50%
BVA,5–6 Mar 2007,853,–,3%,3%,3%,1%,–,24%,1%,–,0.50%,0.50%,21%,29%,–,–,–,1%,13%
Ipsos,3–6 Mar 2007,"1,135",0%,1.50%,2%,2%,1%,–,26.50%,1%,–,0.50%,0.50%,18.50%,32.50%,–,–,0%,1%,13%
Ipsos,2–5 Mar 2007,"1,255",0.50%,1.50%,2%,2.50%,1%,–,26%,1%,–,0.50%,0.50%,19%,32%,–,–,0.50%,0.50%,12.50%
LH2,2–3 Mar 2007,"1,004",<0.5%,2%,1.50%,2.50%,2%,–,27%,1%,–,<0.5%,0.50%,20%,28%,–,–,0.50%,1%,14%
Ipsos,1–3 Mar 2007,"1,254",0.50%,1.50%,2.50%,2.50%,1.50%,–,25%,1%,–,0.50%,0.50%,19%,32%,–,–,0.50%,0.50%,12.50%
Ipsos,28 Feb–2 Mar 2007,"1,128",0.50%,2%,3%,2.50%,1.50%,–,25%,1%,–,0.50%,1%,19%,31%,–,–,0.50%,0.50%,12%
TNS Sofres,28 Feb–1 Mar 2007,"1,000",–,2%,3%,3.50%,2%,–,25.50%,1%,–,<0.5%,<0.5%,18.50%,31%,–,–,0.50%,1%,12%
