pollName,dates,sampleSize,Laguiller,Besancenot,Buffet,Bové,Chevènement,Royal,Strauss-Kahn,Fabius,Jospin,Lang,Hollande,Taubira,Voynet,Hulot,Nihous,Bayrou,Sarkozy,Villepin,Alliot-Marie,Villiers,Le Pen
Ipsos,9–11 Nov 2006,948,3%,4%,3%,–,1.50%,30%,–,–,–,–,–,–,2%,–,0.50%,8%,34%,–,–,4%,10%
Ipsos,9–11 Nov 2006,948,2%,3%,3%,–,1.50%,27%,–,–,–,–,–,–,–,10%,0.50%,7%,32%,–,–,4%,10%
Ipsos,9–11 Nov 2006,948,4%,5%,3%,–,1.50%,31%,–,–,–,–,–,–,2%,–,0.50%,8%,39%,–,–,6%,–
TNS Sofres,8–9 Nov 2006,"1,000",2.50%,4%,2%,–,–,34%,–,–,–,–,–,–,1.50%,–,–,7%,34%,–,–,2%,13%
TNS Sofres,8–9 Nov 2006,"1,000",4.50%,5.50%,3%,–,–,–,22%,–,–,–,–,–,3%,–,–,9%,37%,–,–,2%,14%
TNS Sofres,8–9 Nov 2006,"1,000",4.50%,6%,4%,–,–,–,–,17%,–,–,–,–,3.50%,–,–,11%,38%,–,–,2%,14%
CSA,8-Nov-06,"1,007",3%,4%,4%,–,3%,29%,–,–,–,–,–,–,3%,–,–,7%,30%,–,–,2%,15%
CSA,8-Nov-06,"1,007",5%,4%,4%,–,4%,–,22%,–,–,–,–,–,4%,–,–,6%,32%,–,–,3%,16%
CSA,8-Nov-06,"1,007",5%,6%,4%,–,4%,–,–,16%,–,–,–,–,4%,–,–,8%,34%,–,–,4%,15%
CSA,17–18 Oct 2006,838,4%,4%,3%,–,–,32%,–,–,–,–,–,–,2%,–,–,7%,31%,–,–,2%,15%
CSA,17–18 Oct 2006,838,5%,–,–,6%,–,30%,–,–,–,–,–,–,3%,–,–,7%,32%,–,–,2%,15%
Ifop,12–13 Oct 2006,892,2%,5%,4%,–,–,26%,–,–,–,–,–,–,2%,–,–,12%,32%,–,–,4%,13%
Ifop,12–13 Oct 2006,892,5%,6%,4%,–,–,–,19%,–,–,–,–,–,3%,–,–,12%,34%,–,–,4%,13%
Ifop,12–13 Oct 2006,892,4%,6%,4%,–,–,–,–,14%,–,–,–,–,5%,–,–,15%,35%,–,–,4%,13%
Ifop,12–13 Oct 2006,892,2%,3%,3%,–,2%,26%,–,–,–,–,–,1%,2%,–,2%,10%,29%,–,6%,3%,11%
TNS Sofres,12–13 Oct 2006,"1,000",3%,4%,2%,–,–,34%,–,–,–,–,–,–,1%,–,–,7%,36%,–,–,2%,11%
TNS Sofres,12–13 Oct 2006,"1,000",3%,5%,2%,–,–,39%,–,–,–,–,–,–,3%,–,–,11%,–,18%,–,5%,14%
TNS Sofres,12–13 Oct 2006,"1,000",3.50%,5%,2%,–,–,40%,–,–,–,–,–,–,2.50%,–,–,10%,–,–,17%,5.50%,14.50%
TNS Sofres,12–13 Oct 2006,"1,000",3%,4%,2%,–,–,33%,–,–,–,–,–,–,1.50%,–,–,7.50%,30%,5%,–,3%,11%
TNS Sofres,12–13 Oct 2006,"1,000",2.50%,4%,2%,–,–,34%,–,–,–,–,–,–,1%,–,–,7%,31%,–,5%,2%,11.50%
Ipsos,6–7 Oct 2006,944,3%,4%,2.50%,2%,–,28%,–,–,–,–,–,–,2%,–,0.50%,8%,34%,–,–,4%,12%
Ipsos,6–7 Oct 2006,944,3%,5%,2.50%,2.50%,–,34%,–,–,–,–,–,–,2%,–,2%,12%,–,14%,–,7%,16%
TNS Sofres,4–5 Oct 2006,"1,000",3%,5%,3%,–,–,29.50%,–,–,–,–,–,–,2%,–,–,7%,38%,–,–,3%,9.50%
TNS Sofres,4–5 Oct 2006,"1,000",5%,7.50%,4%,–,–,–,20%,–,–,–,–,–,3.50%,–,–,8%,39%,–,–,3%,10%
TNS Sofres,4–5 Oct 2006,"1,000",5%,9.50%,4%,–,–,–,–,15%,–,–,–,–,3.50%,–,–,9.50%,39%,–,–,3.50%,11%
CSA,13–14 Sep 2006,907,4%,5%,3%,–,–,31%,–,–,–,–,–,–,3%,–,–,6%,30%,–,–,3%,15%
Ipsos,8–9 Sep 2006,954,4%,4%,3%,2%,–,27%,–,–,–,–,–,–,2%,–,1%,6%,36%,–,–,4%,11%
Ipsos,8–9 Sep 2006,954,4%,5%,3%,2%,–,34%,–,–,–,–,–,–,3%,–,1%,11%,–,15%,–,8%,14%
TNS Sofres,4–5 Sep 2006,"1,000",3%,3.50%,3%,–,–,34%,–,–,–,–,–,–,1.50%,–,–,7%,36%,–,–,2%,10%
TNS Sofres,4–5 Sep 2006,"1,000",4%,5.50%,4.50%,–,–,–,20%,–,–,–,–,–,4%,–,–,10%,38%,–,–,3%,11%
TNS Sofres,4–5 Sep 2006,"1,000",5%,7%,5%,–,–,–,–,13%,–,–,–,–,5.50%,–,–,11%,40%,–,–,2%,11.50%
TNS Sofres,4–5 Sep 2006,"1,000",4%,5.50%,4%,–,–,–,–,–,23%,–,–,–,4%,–,–,9%,37%,–,–,2%,11.50%
TNS Sofres,4–5 Sep 2006,"1,000",4.50%,5.50%,4%,–,–,–,–,–,–,23%,–,–,3.50%,–,–,9%,37%,–,–,2.50%,11%
TNS Sofres,4–5 Sep 2006,"1,000",5%,6.50%,4%,–,–,–,–,–,–,–,20%,–,3.50%,–,–,9.50%,38%,–,–,2%,11.50%
Ipsos,18–19 Aug 2006,963,4%,5%,2%,3%,–,28%,–,–,–,–,–,–,2%,–,–,6%,37%,–,–,2%,11%
Ipsos,18–19 Aug 2006,963,4%,6%,2%,3%,–,37%,–,–,–,–,–,–,2%,–,–,11%,–,13%,–,6%,16%
TNS Sofres,17-Jul-06,"1,000",4%,4%,3%,–,–,32%,–,–,–,–,–,–,1.50%,–,–,6%,35%,–,–,3%,11.50%
TNS Sofres,17-Jul-06,"1,000",4.50%,5.50%,4%,–,–,–,–,–,21.50%,–,–,–,3%,–,–,8%,38%,–,–,3.50%,12%
TNS Sofres,17-Jul-06,"1,000",5.50%,6.50%,4%,–,–,–,–,–,–,–,19%,–,3.50%,–,–,8%,38.50%,–,–,4%,11%
