pollName,dates,sampleSize,Laguiller,Besancenot,Buffet,Autain,Braouezec,Bové,Royal,Strauss-Kahn,Fabius,Jospin,Lang,Hollande,Mélenchon,Taubira,Voynet,Bayrou,Sarkozy,Villepin,Chirac,Villiers,Le Pen
Ifop,29–30 Jun 2006,800,2%,6%,3%,–,–,–,30%,–,–,–,–,–,–,–,3%,8%,32%,–,–,3%,13%
Ifop,29–30 Jun 2006,800,4%,7%,3%,–,–,–,–,–,–,20%,–,–,–,–,5%,9%,34%,–,–,5%,13%
Ifop,29–30 Jun 2006,800,2%,6%,3%,–,–,–,29%,–,–,–,–,–,–,–,3%,6%,28%,–,8%,3%,12%
TNS Sofres,14–15 Jun 2006,"1,000",3.50%,6%,2%,–,–,–,32%,–,–,–,–,–,–,–,2%,8%,31%,–,–,3%,12.50%
TNS Sofres,14–15 Jun 2006,"1,000",4.50%,7%,2.50%,–,–,–,–,21%,–,–,–,–,–,–,3%,9%,35%,–,–,4.50%,13.50%
TNS Sofres,14–15 Jun 2006,"1,000",4.50%,8%,3%,–,–,–,–,–,17%,–,–,–,–,–,4%,11%,35%,–,–,4%,13.50%
TNS Sofres,14–15 Jun 2006,"1,000",4.50%,6%,3%,–,–,–,–,–,–,23%,–,–,–,–,3%,10%,34%,–,–,4%,12.50%
TNS Sofres,14–15 Jun 2006,"1,000",4%,6%,2.50%,–,–,–,–,–,–,–,23.50%,–,–,–,3%,9.50%,34%,–,–,4%,13.50%
TNS Sofres,14–15 Jun 2006,"1,000",4.50%,6%,3%,–,–,–,–,–,–,–,–,22%,–,–,3%,10.50%,34%,–,–,4%,13%
TNS Sofres,14–15 Jun 2006,"1,000",3%,5%,2%,–,–,–,32%,–,–,–,–,–,–,–,2%,6%,31%,4%,–,2%,13%
Ipsos,9–10 Jun 2006,959,3%,6%,4%,–,–,–,29%,–,–,–,–,–,–,–,2%,5%,35%,–,–,4%,12%
Ipsos,9–10 Jun 2006,959,3%,7%,4%,–,–,–,37%,–,–,–,–,–,–,–,2%,10%,–,12%,–,8%,17%
CSA,7-Jun-06,844,3%,6%,3%,–,–,–,30%,–,–,–,–,–,–,–,3%,5%,32%,–,–,3%,15%
TNS Sofres,17–18 May 2006,"1,000",3.50%,5%,3%,–,–,–,30%,–,–,–,–,–,–,–,2.50%,8%,34%,–,–,4%,10%
TNS Sofres,17–18 May 2006,"1,000",5%,6.50%,4.50%,–,–,–,–,–,–,–,–,21%,–,–,4%,9%,35%,–,–,4%,11%
TNS Sofres,17–18 May 2006,"1,000",3.50%,4.50%,3%,–,–,–,31%,–,–,–,–,–,–,–,2%,6%,32%,5%,–,3%,10%
TNS Sofres,17–18 May 2006,"1,000",3.50%,6.50%,4%,–,–,–,–,–,–,–,–,21%,–,–,3%,8%,34%,6%,–,4%,10%
CSA,16–17 May 2006,777,4%,5%,3%,–,–,–,33%,–,–,–,–,–,–,–,2%,5%,32%,–,–,3%,13%
CSA,16–17 May 2006,777,5%,7%,–,–,–,–,28%,–,–,–,–,–,–,–,3%,8%,31%,–,–,5%,13%
CSA,16–17 May 2006,777,6%,–,5%,–,–,–,30%,–,–,–,–,–,–,–,3%,8%,31%,–,–,4%,13%
CSA,16–17 May 2006,777,9%,–,–,2%,–,–,31%,–,–,–,–,–,–,–,2%,9%,31%,–,–,3%,13%
CSA,16–17 May 2006,777,7%,–,–,–,2%,–,31%,–,–,–,–,–,–,–,2%,8%,32%,–,–,4%,14%
CSA,16–17 May 2006,777,6%,–,–,–,–,9%,29%,–,–,–,–,–,–,–,1%,7%,31%,–,–,3%,14%
CSA,16–17 May 2006,777,8%,–,–,–,–,–,29%,–,–,–,–,–,4%,–,2%,7%,32%,–,–,4%,14%
CSA,16–17 May 2006,777,6%,–,–,–,–,–,31%,–,–,–,–,–,–,3%,2%,7%,33%,–,–,4%,14%
