pollName,dates,sampleSize,Laguiller,Besancenot,Buffet,Bové,Royal,Strauss-Kahn,Fabius,Jospin,Lang,Hollande,Mamère,Voynet,Bayrou,Sarkozy,Villepin,Chirac,Villiers,Le Pen
Ipsos,12–13 May 2006,939,3%,5%,4%,–,30%,–,–,–,–,–,–,2%,6%,35%,–,–,5%,10%
Ipsos,12–13 May 2006,939,3%,6%,4%,–,34%,–,–,–,–,–,–,3%,11%,–,15%,–,10%,14%
Ifop,20–21 Apr 2006,883,3%,5%,4%,–,30%,–,–,–,–,–,–,2%,8%,32%,–,–,4%,12%
Ifop,20–21 Apr 2006,883,5%,8%,5%,–,–,19%,–,–,–,–,–,4%,8%,34%,–,–,4%,13%
Ifop,20–21 Apr 2006,883,5%,8%,5%,–,–,–,14%,–,–,–,–,5%,10%,35%,–,–,4%,14%
Ifop,20–21 Apr 2006,883,4%,7%,5%,–,–,–,–,21%,–,–,–,4%,8%,33%,–,–,4%,14%
Ifop,20–21 Apr 2006,883,4%,7%,4%,–,–,–,–,–,21%,–,–,4%,8%,35%,–,–,4%,13%
Ifop,20–21 Apr 2006,883,5%,7%,4%,–,–,–,–,–,–,19%,–,4%,9%,35%,–,–,4%,13%
Ifop,20–21 Apr 2006,883,3%,5%,4%,–,30%,–,–,–,–,–,–,2%,6%,29%,6%,–,4%,11%
CSA,18–19 Apr 2006,878,5%,5%,3%,–,31%,–,–,–,–,–,–,2%,5%,31%,–,–,4%,14%
TNS Sofres,18-Apr-06,"1,000",3%,4.50%,3%,–,34%,–,–,–,–,–,–,1.50%,5%,30%,6%,–,3%,10%
TNS Sofres,18-Apr-06,"1,000",5%,7.50%,4.50%,–,–,18%,–,–,–,–,–,3%,7%,34%,7%,–,4%,10%
TNS Sofres,18-Apr-06,"1,000",5%,8%,5%,–,–,–,15%,–,–,–,–,4%,8%,33%,7%,–,5%,10%
TNS Sofres,18-Apr-06,"1,000",4%,6%,4%,–,–,–,–,23%,–,–,–,3%,7%,33%,7%,–,4%,9%
TNS Sofres,18-Apr-06,"1,000",4.50%,7%,4%,–,–,–,–,–,22%,–,–,2.50%,7%,33%,6%,–,4%,10%
Ipsos,7–8 Apr 2006,947,4%,6%,3%,–,28%,–,–,–,–,–,–,3%,7%,33%,–,–,6%,10%
Ipsos,7–8 Apr 2006,947,4%,6%,3%,–,32%,–,–,–,–,–,–,3%,11%,–,20%,–,8%,13%
CSA,29-Mar-06,839,5%,6%,4%,–,27%,–,–,–,–,–,–,1%,8%,34%,–,–,3%,12%
CSA,29-Mar-06,839,5%,6%,4%,–,26%,–,–,–,–,–,–,1%,6%,34%,4%,–,2%,12%
Ipsos,10–11 Mar 2006,945,3%,5%,3%,–,28%,–,–,–,–,–,–,2%,7%,36%,–,–,7%,9%
Ipsos,10–11 Mar 2006,945,3%,5%,3%,–,32%,–,–,–,–,–,–,2%,9%,–,25%,–,8%,13%
Ipsos,10–11 Feb 2006,930,4%,6%,3%,–,27%,–,–,–,–,–,–,3%,7%,35%,–,–,6%,9%
Ipsos,10–11 Feb 2006,930,4%,6%,3%,–,30%,–,–,–,–,–,–,3%,8%,–,27%,–,7%,12%
BVA,27–28 Jan 2006,951,4%,6%,3%,–,25%,–,–,–,–,–,–,2%,7%,29%,10%,–,4%,10%
BVA,27–28 Jan 2006,951,6%,5%,3%,–,–,–,–,22%,–,–,–,3%,7%,30%,11%,–,4%,9%
BVA,27–28 Jan 2006,951,6%,–,–,8%,26%,–,–,–,–,–,–,–,8%,27%,11%,–,5%,9%
BVA,27–28 Jan 2006,951,6%,–,–,9%,–,–,–,22%,–,–,–,–,9%,29%,11%,–,5%,9%
CSA,25–26 Jan 2006,865,4%,6%,4%,–,28%,–,–,–,–,–,–,2%,9%,31%,–,–,7%,9%
CSA,25–26 Jan 2006,865,4%,6%,4%,–,27%,–,–,–,–,–,–,2%,5%,26%,12%,–,5%,9%
BVA,30 Sep–1 Oct 2005,811,4%,7%,3%,–,22%,–,–,–,–,–,4%,–,7%,29%,12%,–,5%,7%
BVA,30 Sep–1 Oct 2005,811,4%,9%,4%,–,–,19%,–,–,–,–,5%,–,7%,28%,12%,–,4%,8%
BVA,30 Sep–1 Oct 2005,811,3%,7%,4%,–,–,–,16%,–,–,–,8%,–,9%,30%,12%,–,3%,8%
BVA,27–29 Jun 2005,860,3%,6%,4%,–,–,–,17%,–,–,–,7%,–,8%,31%,–,9%,4%,11%
BVA,27–29 Jun 2005,860,2%,6%,4%,–,–,–,–,25%,–,–,4%,–,8%,29%,–,9%,3%,10%
BVA,27–29 Jun 2005,860,4%,8%,5%,–,–,–,19%,–,–,–,7%,–,11%,39%,–,–,7%,–
BVA,27–29 Jun 2005,860,3%,8%,5%,–,–,–,–,28%,–,–,4%,–,9%,36%,–,–,7%,–
BVA,12–13 Feb 2005,953,3%,4%,4%,–,–,–,–,25%,–,–,4%,–,10%,34%,–,–,6%,10%
BVA,12–13 Feb 2005,953,4%,4%,5%,–,–,–,–,–,–,24%,6%,–,9%,33%,–,–,5%,10%
BVA,12–13 Feb 2005,953,3%,4%,4%,–,–,–,–,27%,–,–,4%,–,12%,–,–,28%,7%,11%
BVA,12–13 Feb 2005,953,4%,4%,4%,–,–,–,–,–,–,26%,5%,–,11%,–,–,29%,5%,12%
BVA,12–13 Feb 2005,953,3%,3%,4%,–,–,–,–,26%,–,–,4%,–,7%,24%,–,16%,4%,9%
BVA,12–13 Feb 2005,953,4%,4%,4%,–,–,–,–,–,–,23%,5%,–,7%,24%,–,16%,4%,9%
