pollName,dates,sampleSize,Abs.,Arthaud,Poutou,Mélenchon,Chevènement,Hollande,Joly,Bayrou,Lepage,Villepin,Morin,Nihous,Sarkozy,Boutin,Dupont-Aignan,Le Pen,Cheminade
Harris Interactive,15–19 Mar 2012,"1,097",–,0.50%,1%,11%,–,28%,3%,12%,0.50%,–,–,–,27%,–,1%,16%,<0.5%
Ifop-Fiducial,15–19 Mar 2012,881,–,0.50%,0.50%,10.50%,–,27.50%,3%,12.50%,<0.5%,0.50%,–,–,27.50%,–,0.50%,17%,<0.5%
Ifop,16–17 Mar 2012,961,–,0.50%,0.50%,11%,–,27%,2.50%,13%,–,–,–,–,27.50%,–,0.50%,17.50%,<0.5%
Ipsos,16–17 Mar 2012,950,20%,0.50%,0.50%,11.50%,–,28.50%,2%,13%,<0.5%,–,–,–,27.50%,–,1.50%,15%,<0.5%
LH2,16–17 Mar 2012,962,–,0%,1%,11%,–,30.50%,2.50%,12.50%,–,–,–,–,27.50%,–,0.50%,14.50%,0%
Ifop-Fiducial,13–16 Mar 2012,928,–,0.50%,0.50%,10.50%,–,26.50%,3%,13%,<0.5%,1%,–,–,27.50%,–,0.50%,17%,<0.5%
OpinionWay,14–15 Mar 2012,"1,183",–,0.50%,1%,10%,–,27.50%,2%,13%,0.50%,1%,–,–,27.50%,–,1%,16%,–
Ifop-Fiducial,12–15 Mar 2012,928,–,0.50%,0.50%,10%,–,26.50%,2.50%,13.50%,<0.5%,1%,–,–,28%,–,0.50%,17%,<0.5%
Ifop-Fiducial,11–14 Mar 2012,"1,187",–,0.50%,0.50%,10.50%,–,27%,2%,13%,0.50%,1%,–,–,28%,–,0.50%,16.50%,<0.5%
CSA,12–13 Mar 2012,861,–,0.50%,<0.5%,11%,–,28%,1%,13%,0.50%,1%,–,–,28%,–,1%,16%,<0.5%
Ifop-Fiducial,11–13 Mar 2012,875,–,0.50%,0.50%,10%,–,27.50%,2%,12.50%,0.50%,1%,–,–,28.50%,–,0.50%,16.50%,<0.5%
TNS Sofres,12-Mar-12,"1,000",28%,0.50%,0.50%,10%,–,30%,3%,11.50%,<0.5%,1.50%,–,–,26%,–,1%,16%,<0.5%
