pollName,dates,sampleSize,Abs.,Arthaud,Poutou,Mélenchon,Chevènement,Hollande,Aubry,Royal,Strauss-Kahn,Joly,Bayrou,Villepin,Borloo,Nihous,Sarkozy,Fillon,Juppé,Boutin,Dupont-Aignan,Le Pen
Ipsos,30 Sep–1 Oct 2011,962,27%,1%,0.50%,8%,–,32%,–,–,–,5%,5.50%,4%,6.50%,–,21%,–,–,–,0.50%,16%
Ipsos,30 Sep–1 Oct 2011,962,27%,2%,0.50%,7%,–,–,29%,–,–,5%,6%,5%,7%,–,22%,–,–,–,0.50%,16%
Ipsos,30 Sep–1 Oct 2011,962,27%,1.50%,0.50%,9%,–,–,–,22%,–,7%,8.50%,4%,8%,–,23%,–,–,–,0.50%,16%
LH2,30 Sep–1 Oct 2011,843,–,0.50%,0%,8%,–,31%,–,–,–,7%,8%,2%,7%,–,21%,–,–,0.50%,0%,15%
LH2,30 Sep–1 Oct 2011,843,–,1%,0%,10%,–,–,25%,–,–,7.50%,9%,3%,9%,–,21%,–,–,0%,0%,14.50%
LH2,30 Sep–1 Oct 2011,843,–,0.50%,0%,8.50%,–,30%,–,–,–,7.50%,7.50%,3%,11%,–,–,15%,–,1%,1%,15%
LH2,30 Sep–1 Oct 2011,843,–,0%,0%,9%,–,30%,–,–,–,8.50%,8%,3%,9%,–,–,–,16%,0%,0.50%,16%
CSA,19–20 Sep 2011,835,–,1.50%,0.50%,6%,–,28%,–,–,–,4%,7%,5%,5%,–,24%,–,–,0.50%,0.50%,18%
CSA,19–20 Sep 2011,835,–,0.50%,0.50%,6%,–,–,27%,–,–,5%,6%,5%,5%,–,25%,–,–,0.50%,0.50%,19%
CSA,19–20 Sep 2011,835,–,1%,0.50%,8%,–,–,–,19%,–,6%,7%,5%,6%,–,26%,–,–,1%,0.50%,20%
Harris Interactive,31 Aug–5 Sep 2011,888,–,1%,<1%,3%,–,28.50%,–,–,–,8%,7%,3%,7%,–,23.50%,–,–,–,1%,18%
Harris Interactive,31 Aug–5 Sep 2011,888,–,1%,<1%,5%,–,–,24%,–,–,7%,8%,3%,7%,–,24%,–,–,–,1%,20%
Harris Interactive,31 Aug–5 Sep 2011,888,–,<1%,1%,7%,–,–,–,15%,–,10%,9%,4%,9%,–,24%,–,–,–,1%,20%
Ipsos,2–3 Sep 2011,963,31%,2%,0.50%,5%,–,30%,–,–,–,5%,6%,4.50%,7%,–,22%,–,–,–,1%,17%
Ipsos,2–3 Sep 2011,963,31%,2.50%,0.50%,5.50%,–,–,27%,–,–,6%,6%,3.50%,7%,–,23%,–,–,–,1%,18%
Ipsos,2–3 Sep 2011,963,31%,2%,0.50%,8.50%,–,–,–,19%,–,7%,7%,5%,9%,–,23%,–,–,–,1%,18%
LH2,2–3 Sep 2011,818,–,0.50%,0%,4%,–,35%,–,–,–,6%,6%,2%,6%,–,27%,–,–,2%,0.50%,11%
LH2,2–3 Sep 2011,818,–,0.50%,0%,5%,–,–,30%,–,–,4.50%,6%,3.50%,8.50%,–,27%,–,–,2%,1%,12%
LH2,2–3 Sep 2011,818,–,1%,0.50%,5%,–,–,–,18%,–,10%,8%,4%,10%,–,29%,–,–,2%,0.50%,12%
Ifop,30 Aug–2 Sep 2011,"1,918",–,<0.5%,0.50%,6%,0.50%,29%,–,–,–,6%,6%,2.50%,6%,0.50%,23.50%,–,–,0.50%,0.50%,18.50%
Ifop,30 Aug–2 Sep 2011,"1,918",–,<0.5%,0.50%,6%,1%,–,25%,–,–,6%,6.50%,3%,6.50%,1%,24%,–,–,0.50%,0.50%,19.50%
Ifop,30 Aug–2 Sep 2011,"1,918",–,<0.5%,0.50%,7%,1.50%,–,–,17%,–,9%,8%,3%,8%,1%,25%,–,–,0.50%,0.50%,19%
CSA,22–23 Aug 2011,863,–,1%,0.50%,6.50%,–,27%,–,–,–,5%,7%,3%,8%,–,26%,–,–,0.50%,0.50%,15%
CSA,22–23 Aug 2011,863,–,0.50%,0.50%,7%,–,–,26%,–,–,5%,7%,4%,8%,–,26%,–,–,0.50%,0.50%,15%
CSA,22–23 Aug 2011,863,–,1%,1%,9%,–,–,–,19%,–,7%,9%,4%,8%,–,26%,–,–,0.50%,0.50%,15%
Ifop,19–21 Jul 2011,948,–,<0.5%,<0.5%,4%,0.50%,28%,–,–,–,7%,6.50%,2.50%,7.50%,<0.5%,23%,–,–,0.50%,0.50%,20%
Ifop,19–21 Jul 2011,948,–,0.50%,0.50%,4%,1%,–,25%,–,–,7%,7.50%,2%,8%,<0.5%,23.50%,–,–,0.50%,0.50%,20%
Ifop,19–21 Jul 2011,948,–,0.50%,0.50%,6%,1%,–,–,16%,–,9.50%,9%,3%,8.50%,<0.5%,25%,–,–,0.50%,<0.5%,20.50%
CSA,11-Jul-11,850,–,2%,0.50%,7%,–,26%,–,–,–,5%,6%,2%,8%,–,26%,–,–,0.50%,1%,16%
CSA,11-Jul-11,850,–,1%,0.50%,6.50%,–,–,25%,–,–,5%,6%,2%,9%,–,27%,–,–,1%,1%,16%
CSA,11-Jul-11,850,–,1%,0.50%,8.50%,–,–,–,17%,–,7%,6%,2%,11%,–,28%,–,–,1%,1%,17%
BVA,8–9 Jul 2011,782,–,1%,<0.5%,4%,–,31%,–,–,–,5%,6%,4%,9%,–,23%,–,–,1%,<0.5%,16%
BVA,8–9 Jul 2011,782,–,1%,1%,5%,–,–,28%,–,–,5%,7%,4%,7%,–,24%,–,–,1%,<0.5%,17%
BVA,8–9 Jul 2011,782,–,1%,<0.5%,7%,–,–,–,–,20%,7%,7%,4%,10%,–,25%,–,–,1%,<0.5%,18%
Ipsos,8–9 Jul 2011,955,31%,2%,1%,5%,–,29%,–,–,–,7.50%,5%,3%,8%,–,22%,–,–,–,0.50%,17%
