pollName,dates,sampleSize,Abs.,Arthaud,(nominee),Martin,Mélenchon,Chevènement,Hollande,Aubry,Royal,Delanoë,Fabius,Hulot,Joly,Bayrou,Villepin,Borloo,Sarkozy,Dupont-Aignan,Le Pen
Ifop,21–23 Jun 2011,937,–,0.50%,0.50%,–,6.50%,1.50%,26.50%,–,–,–,–,6.50%,–,6%,3%,7%,21%,<0.5%,21%
Ifop,21–23 Jun 2011,937,–,0.50%,0.50%,–,7%,1%,26%,–,–,–,–,–,6.50%,6%,3%,7.50%,21%,0.50%,20.50%
CSA,20–21 Jun 2011,825,–,1%,1.50%,–,7%,–,27%,–,–,–,–,7%,–,5%,3%,9%,23%,0.50%,16%
CSA,20–21 Jun 2011,825,–,1%,2%,–,7%,–,–,23%,–,–,–,7.50%,–,7%,3%,10%,23%,0.50%,16%
CSA,20–21 Jun 2011,825,–,1%,2%,–,10%,–,–,–,15%,–,–,9%,–,8%,4%,10.50%,24%,0.50%,16%
CSA,20–21 Jun 2011,825,–,1%,1.50%,–,7%,–,27%,–,–,–,–,–,4%,7%,3%,10%,23%,0.50%,16%
CSA,20–21 Jun 2011,825,–,1%,2%,–,7%,–,–,25.50%,–,–,–,–,4%,6%,4%,11%,23%,0.50%,16%
CSA,20–21 Jun 2011,825,–,1%,2%,–,8.50%,–,–,–,17%,–,–,–,5%,9%,4%,13%,24%,0.50%,16%
Ipsos,18–20 Jun 2011,965,30%,1.50%,0.50%,–,7%,–,32%,–,–,–,–,7.50%,–,5%,3%,7%,19%,0.50%,17%
Ipsos,18–20 Jun 2011,965,30%,1%,0.50%,–,7%,–,–,30%,–,–,–,7%,–,5%,4%,8%,19%,0.50%,18%
Ipsos,18–20 Jun 2011,965,30%,2%,1%,–,9.50%,–,–,–,19%,–,–,8.50%,–,7%,4.50%,11%,19%,0.50%,18%
Ifop,9–10 Jun 2011,923,–,0.50%,0.50%,–,6%,1.50%,26%,–,–,–,–,6%,–,7%,3%,6%,22%,0.50%,21%
Ifop,9–10 Jun 2011,923,–,0.50%,1%,–,6.50%,1%,–,23%,–,–,–,6%,–,8%,3.50%,6.50%,21.50%,0.50%,22%
Harris Interactive,3–5 Jun 2011,"1,449",–,0%,–,0%,7%,–,27%,–,–,–,–,6%,–,6%,2%,7%,23%,1%,21%
Harris Interactive,3–5 Jun 2011,"1,449",–,0%,–,0%,7%,–,–,25%,–,–,–,6%,–,6%,2%,7%,24%,1%,22%
Harris Interactive,3–5 Jun 2011,"1,449",–,0%,–,0%,8%,–,–,–,17%,–,–,7%,–,7%,3%,9%,26%,1%,22%
BVA,20–21 May 2011,960,–,1%,1%,–,6%,–,27%,–,–,–,–,12%,–,4%,5%,6%,21%,<0.5%,17%
BVA,20–21 May 2011,960,–,1%,1%,–,5%,–,–,24%,–,–,–,12%,–,6%,5%,7%,22%,<0.5%,17%
BVA,20–21 May 2011,960,–,2%,1%,–,6%,–,29%,–,–,–,–,13%,–,8%,–,–,22%,–,19%
BVA,20–21 May 2011,960,–,2%,1%,–,6%,–,–,26%,–,–,–,13%,–,10%,–,–,23%,–,19%
TNS Sofres,20–21 May 2011,960,32%,1%,–,<0.5%,3.50%,–,31%,–,–,–,–,8%,–,5.50%,3%,7%,22%,–,19%
TNS Sofres,20–21 May 2011,960,32%,1%,–,<0.5%,3%,–,28%,–,–,–,–,–,7%,5.50%,3.50%,8%,24%,–,20%
TNS Sofres,20–21 May 2011,960,32%,1%,–,<0.5%,4%,–,–,28%,–,–,–,9%,–,5%,3%,7%,24%,–,19%
TNS Sofres,20–21 May 2011,960,32%,1%,–,<0.5%,7%,–,–,–,18%,–,–,10.50%,–,7%,3.50%,9%,24%,–,20%
TNS Sofres,20–21 May 2011,960,32%,1%,–,<0.5%,5.50%,–,–,–,–,17.50%,–,12%,–,6%,3.50%,9.50%,24.50%,–,20.50%
TNS Sofres,20–21 May 2011,960,32%,1%,–,0.50%,6%,–,–,–,–,–,15%,11%,–,8%,4%,9.50%,24.50%,–,20.50%
Ifop,17–19 May 2011,"1,897",–,0.50%,1%,–,6%,1%,26%,–,–,–,–,6%,–,5%,3.50%,6.50%,22.50%,1%,21%
Ipsos,18-May-11,"1,014",27%,2%,0.50%,–,4%,–,29%,–,–,–,–,11%,–,5%,3%,9%,19%,0.50%,17%
Ipsos,18-May-11,"1,014",27%,1%,0.50%,–,4%,–,–,27%,–,–,–,11%,–,5%,4%,9%,21%,0.50%,17%
Ipsos,18-May-11,"1,014",27%,2%,0.50%,–,6%,–,–,–,16%,–,–,13%,–,7%,6%,12%,19%,0.50%,18%
CSA,16-May-11,838,–,1%,2%,–,5%,–,23%,–,–,–,–,6%,–,7%,4%,8%,22%,2%,20%
CSA,16-May-11,838,–,1%,2%,–,5%,–,–,23%,–,–,–,6%,–,7%,4%,8%,23%,2%,19%
CSA,16-May-11,838,–,1%,2%,–,5%,–,–,–,18%,–,–,6%,–,9%,4%,10%,23%,2%,20%
Ipsos,13–14 May 2011,948,–,2%,1%,–,6%,–,26%,–,–,–,–,11%,–,5%,4%,8%,19%,1%,17%
Ipsos,13–14 May 2011,948,–,2%,1%,–,5%,–,–,25%,–,–,–,9%,–,6%,5%,9%,19%,1%,18%
Ipsos,13–14 May 2011,948,–,2%,1%,–,8%,–,–,–,16%,–,–,12%,–,7%,6%,11%,19%,1%,17%
