pollName,dates,sampleSize,Arthaud,Besancenot,(nominee),Mélenchon,Chevènement,Strauss-Kahn,Aubry,Hollande,Royal,Hulot,Joly,Bayrou,Villepin,Morin,Borloo,Sarkozy,Dupont-Aignan,Le Pen
Ifop,10–12 May 2011,933,0.50%,–,1%,5.50%,1%,26%,–,–,–,7%,–,5.50%,4%,–,5.50%,21.50%,0.50%,22%
Ifop,10–12 May 2011,933,0.50%,–,1%,5%,1.50%,–,–,23%,–,7.50%,–,6%,3.50%,–,6.50%,22%,0.50%,23%
Ifop,10–12 May 2011,933,0.50%,–,1%,5.50%,1%,28%,–,–,–,6%,–,7%,–,–,6.50%,22%,–,22.50%
LH2,6–7 May 2011,575,1%,–,1%,4%,3%,23%,–,–,–,11%,–,8%,6%,–,9%,16%,1%,17%
LH2,6–7 May 2011,565,0.50%,–,1%,4%,2%,–,22%,–,–,11%,–,7%,4.50%,–,11%,19%,1%,17%
LH2,6–7 May 2011,575,0.50%,–,1%,4%,2%,–,–,21.50%,–,11%,–,7%,5%,–,10%,19%,1%,18%
LH2,6–7 May 2011,560,0.50%,–,1%,6%,2%,–,–,–,15%,13.50%,–,8%,5%,–,11%,20%,1%,17%
LH2,6–7 May 2011,561,1%,–,0.50%,5%,1%,24%,–,–,–,–,9%,8%,5.50%,–,9%,18%,1%,18%
CSA,26-Apr-11,831,1%,4%,–,5%,–,26%,–,–,–,9%,–,5%,4%,–,4%,21%,1%,20%
CSA,26-Apr-11,831,1%,4%,–,5%,–,27%,–,–,–,9%,–,7%,5%,–,–,22%,1%,19%
CSA,26-Apr-11,831,1%,4%,–,5%,–,27%,–,–,–,8%,–,6%,–,–,8%,21%,1%,19%
CSA,26-Apr-11,831,1%,5%,–,5%,–,28%,–,–,–,9%,–,8%,–,–,–,23%,2%,19%
Ifop,20–21 Apr 2011,917,0.50%,4%,–,5%,–,27%,–,–,–,7%,–,5%,4%,–,7.50%,20%,1%,19%
Ifop,20–21 Apr 2011,917,0.50%,4%,–,4.50%,–,–,20%,–,–,8.50%,–,6.50%,4%,–,9.50%,21.50%,1%,20%
Ifop,20–21 Apr 2011,917,1%,4.50%,–,4.50%,–,–,–,21%,–,8%,–,6%,4.50%,–,8.50%,21%,1%,20%
Ifop,20–21 Apr 2011,917,0.50%,4%,–,6%,–,–,–,–,16%,9%,–,6.50%,5%,–,11%,21%,1%,20%
Ifop,20–21 Apr 2011,917,1%,5%,–,5.50%,–,30%,–,–,–,8.50%,–,7%,–,–,–,22.50%,–,20.50%
Ifop,20–21 Apr 2011,917,0.50%,5%,–,5%,–,25%,–,–,–,–,5.50%,6%,4%,–,8%,21%,1%,19%
Harris Interactive,19–20 Apr 2011,926,1%,4%,–,4%,–,30%,–,–,–,6%,–,4%,3%,–,7%,19%,1%,21%
Harris Interactive,19–20 Apr 2011,926,1%,5%,–,5%,–,–,21%,–,–,5%,–,5%,5%,–,9%,20%,1%,23%
Harris Interactive,19–20 Apr 2011,926,1%,5%,–,5%,–,–,–,22%,–,6%,–,5%,5%,–,8%,19%,1%,23%
Harris Interactive,19–20 Apr 2011,926,1%,5%,–,6%,–,–,–,–,15%,8%,–,7%,6%,–,10%,19%,1%,22%
