pollName,dates,sampleSize,Schivardi,Arthaud,Besancenot,Mélenchon,Strauss-Kahn,Aubry,Hollande,Royal,Montebourg,Hulot,Joly,Bayrou,Villepin,Morin,Borloo,Sarkozy,Fillon,Copé,Dupont-Aignan,Le Pen
CSA,21–22 Feb 2011,"1,005",–,1%,8%,6%,28%,–,–,–,–,–,4%,5.50%,5%,1%,–,23%,–,–,0.50%,18%
CSA,21–22 Feb 2011,"1,005",–,1%,8%,6%,33%,–,–,–,–,–,5%,4.50%,5%,1%,–,–,18%,–,0.50%,18%
CSA,21–22 Feb 2011,"1,005",–,1%,8%,6%,34%,–,–,–,–,–,4%,5.50%,9%,1%,–,–,–,12%,0.50%,19%
CSA,21–22 Feb 2011,"1,005",–,1%,8%,7%,33%,–,–,–,–,–,5%,5.50%,9%,1%,12%,–,–,–,0.50%,18%
TNS Sofres,18–19 Feb 2011,"1,000",–,1%,7%,6.50%,29%,–,–,–,–,–,6%,5%,3.50%,4%,–,21%,–,–,–,17%
TNS Sofres,18–19 Feb 2011,"1,000",–,0.50%,7%,7%,–,24%,–,–,–,–,6%,5%,4.50%,4.50%,–,24%,–,–,–,17.50%
TNS Sofres,18–19 Feb 2011,"1,000",–,1%,8%,7%,–,–,22%,–,–,–,6.50%,5%,5%,4%,–,23%,–,–,–,18.50%
TNS Sofres,18–19 Feb 2011,"1,000",–,1%,8%,7.50%,–,–,–,19%,–,–,8%,5%,5%,5%,–,24%,–,–,–,17.50%
TNS Sofres,18–19 Feb 2011,"1,000",–,1%,8%,7.50%,–,–,–,–,15%,–,8%,6%,5.50%,5%,–,25%,–,–,–,19%
Ifop,16–17 Feb 2011,949,–,1%,5.50%,6%,26%,–,–,–,–,–,7%,7%,4%,2%,–,22%,–,–,0.50%,19%
Ifop,16–17 Feb 2011,949,–,1%,5%,5.50%,–,22%,–,–,–,–,7%,8%,5%,2.50%,–,23%,–,–,1%,20%
CSA,14–15 Feb 2011,"1,005",–,1%,7%,6%,29%,–,–,–,–,–,5%,8%,4%,–,–,22%,–,–,1%,17%
CSA,14–15 Feb 2011,"1,005",–,1%,7%,6%,–,22%,–,–,–,–,6%,9%,5%,–,–,26%,–,–,1%,17%
CSA,14–15 Feb 2011,"1,005",–,1%,7%,7%,–,–,20%,–,–,–,6%,10%,5%,–,–,26%,–,–,1%,17%
CSA,14–15 Feb 2011,"1,005",–,1%,7%,8%,–,–,–,18%,–,–,7%,10%,5%,–,–,26%,–,–,1%,17%
OpinionWay,20–21 Jan 2011,982,0%,1%,5%,9%,29%,–,–,–,–,6%,–,5%,–,–,–,25%,–,–,2%,18%
OpinionWay,20–21 Jan 2011,982,0%,1%,5%,8%,–,25%,–,–,–,6%,–,7%,–,–,–,28%,–,–,2%,18%
OpinionWay,20–21 Jan 2011,982,0%,1%,5%,7%,28%,–,–,–,–,–,8%,6%,–,–,–,25%,–,–,2%,18%
OpinionWay,20–21 Jan 2011,982,0%,1%,4%,7%,–,22%,–,–,–,–,10%,8%,–,–,–,28%,–,–,2%,18%
CSA,17–18 Jan 2011,847,–,2%,5%,5%,30%,–,–,–,–,–,6%,6%,5%,–,–,23%,–,–,1%,17%
CSA,17–18 Jan 2011,847,–,1%,6%,5%,–,22%,–,–,–,–,6%,9%,6%,–,–,27%,–,–,1%,17%
CSA,17–18 Jan 2011,847,–,1%,6%,5%,–,–,20%,–,–,–,8%,9%,7%,–,–,26%,–,–,1%,17%
CSA,17–18 Jan 2011,847,–,1%,4%,5%,–,–,–,21%,–,–,8%,10%,7%,–,–,26%,–,–,1%,17%
BVA,14–15 Jan 2011,804,–,<0.5%,7%,4%,31%,–,–,–,–,–,6%,5%,3%,–,2%,25%,–,–,–,17%
BVA,14–15 Jan 2011,804,–,<0.5%,7%,5%,–,23%,–,–,–,–,5%,6%,5%,–,5%,27%,–,–,–,17%
Ifop,12–13 Jan 2011,830,–,1%,3.50%,6.50%,–,23%,–,–,–,6%,–,8%,6%,2%,–,26.50%,–,–,1%,16.50%
CSA,7–8 Jan 2011,"1,001",–,1%,7%,5%,30%,–,–,–,–,–,4%,6%,3%,–,–,25%,–,–,1%,18%
