pollName,dates,sampleSize,Arthaud,Besancenot,Buffet,Mélenchon,Strauss-Kahn,Aubry,Hollande,Royal,Duflot,Joly,Tapie,Bayrou,Villepin,Morin,Borloo,Sarkozy,Fillon,Dupont-Aignan,Le Pen
Ifop,8–9 Jul 2010,834,1%,7%,–,5%,–,26%,–,–,4%,–,–,9%,10%,–,–,26%,–,1%,11%
CSA,7–8 Jul 2010,809,0.50%,7%,2.50%,–,–,30%,–,–,5%,–,–,9%,–,2%,–,31%,–,–,13%
Ifop,3–4 Jun 2010,981,1%,5%,–,6%,–,24%,–,–,5%,–,3%,8%,7%,–,–,27%,–,1%,13%
Ifop,27–28 May 2010,814,1%,7%,–,5%,29%,–,–,–,5%,–,–,8%,6%,–,–,25%,–,1%,13%
Ifop,27–28 May 2010,814,1%,5%,–,5%,–,24%,–,–,5%,–,–,11%,8%,–,–,27%,–,1%,13%
Ifop,27–28 May 2010,814,2%,7%,–,6%,–,–,18%,–,5%,–,–,12%,9%,–,–,27%,–,2%,12%
Ifop,27–28 May 2010,814,1%,7%,–,6%,–,–,–,18%,6%,–,–,12%,9%,–,–,28%,–,1%,12%
CSA,19–20 May 2010,779,1%,6%,3%,–,–,30%,–,–,5%,–,–,8%,–,–,–,36%,–,–,11%
BVA,23–24 Apr 2010,947,1%,5%,–,6%,–,24%,–,–,–,12%,–,7%,–,–,6%,28%,–,–,11%
Ifop,20–22 Apr 2010,934,1%,3%,–,6%,–,25%,–,–,8%,–,–,7%,7%,–,3%,25%,–,2%,13%
Ifop,25–26 Mar 2010,855,1%,5%,–,6%,–,27%,–,–,9%,–,–,7%,6%,–,–,26%,–,2%,11%
CSA,24–25 Mar 2010,843,2%,5%,2%,–,–,31%,–,–,6%,–,–,7%,–,–,–,35%,–,–,12%
CSA,2–3 Mar 2010,757,3%,6%,3%,–,27%,–,–,–,10%,–,–,11%,7%,–,–,–,25%,–,8%
CSA,2–3 Mar 2010,757,3%,7%,3%,–,–,21%,–,–,11%,–,–,11%,9%,–,–,–,27%,–,8%
CSA,2–3 Feb 2010,802,1%,7%,3%,–,22%,–,–,–,9%,–,–,10%,10%,–,–,29%,–,–,9%
CSA,2–3 Feb 2010,802,1%,6%,3%,–,–,19%,–,–,8%,–,–,12%,10%,–,–,32%,–,–,9%
Ifop,29–30 Oct 2009,892,1%,9%,3%,–,–,20%,–,–,5%,–,–,14%,8%,–,–,28%,–,1%,11%
