pollName,dates,sampleSize,Abs.,Hollande,Sarkozy
Ifop-Fiducial*,2–4 May 2012,"1,766",18%,52%,48%
Ifop-Fiducial,1–4 May 2012,"1,225",–,52%,48%
BVA,3-May-12,"2,161",–,52.50%,47.50%
CSA,3-May-12,"1,002",–,53%,47%
Ipsos,3-May-12,"1,018",18%,52.50%,47.50%
TNS Sofres,3-May-12,"1,000",20%,53.50%,46.50%
Harris Interactive,2–3 May 2012,"1,072",–,53%,47%
OpinionWay,2–3 May 2012,"2,009",–,52.50%,47.50%
Ifop-Fiducial,30 Apr–3 May 2012,968,–,53%,47%
Ifop-Fiducial,28 Apr–2 May 2012,"1,229",–,53%,47%
LH2,27 Apr–2 May 2012,"1,077",–,53%,47%
BVA,30 Apr–1 May 2012,"1,387",20%,53.50%,46.50%
Ifop-Fiducial,28 Apr–1 May 2012,904,–,53.50%,46.50%
Ifop-Fiducial,26–30 Apr 2012,898,–,54%,46%
Ifop-Fiducial*,26–29 Apr 2012,"1,876",–,54%,46%
Ipsos,27–28 Apr 2012,988,18%,53%,47%
LH2,27–28 Apr 2012,958,–,54%,46%
Ifop-Fiducial,24–27 Apr 2012,963,–,55%,45%
Harris Interactive,25–26 Apr 2012,"1,032",–,55%,45%
Ifop-Fiducial,23–26 Apr 2012,966,–,54.50%,45.50%
BVA,24–25 Apr 2012,"2,285",–,54.50%,45.50%
CSA,24–25 Apr 2012,"1,009",–,54%,46%
TNS Sofres,24–25 Apr 2012,"1,000",21%,55%,45%
Ifop-Fiducial,22–25 Apr 2012,"1,507",–,55%,45%
OpinionWay,23–24 Apr 2012,"1,145",–,54%,46%
Ifop-Fiducial,22–24 Apr 2012,"1,185",–,55%,45%
Ifop-Fiducial,22–23 Apr 2012,865,–,55%,45%
BVA,22-Apr-12,678,–,53%,47%
CSA,22-Apr-12,"1,009",–,56%,44%
Harris Interactive,22-Apr-12,"1,088",–,54%,46%
Ifop-Fiducial*,22-Apr-12,"1,004",–,54.50%,45.50%
Ipsos,22-Apr-12,"1,090",19%,54%,46%
OpinionWay,22-Apr-12,"7,900",–,54%,46%
Ifop-Fiducial*,18–20 Apr 2012,"1,723",–,54.50%,45.50%
Ifop-Fiducial,17–20 Apr 2012,"2,592",–,54%,46%
BVA,18–19 Apr 2012,"2,161",–,57%,43%
CSA,18–19 Apr 2012,"1,005",–,57%,43%
Harris Interactive,18–19 Apr 2012,"1,068",–,54%,46%
Ipsos,18–19 Apr 2012,"1,021",–,56%,44%
TNS Sofres,18–19 Apr 2012,"1,000",–,55%,45%
Ifop-Fiducial,16–19 Apr 2012,"2,588",–,53.50%,46.50%
LH2,17–18 Apr 2012,956,–,56%,44%
Ifop-Fiducial,14–18 Apr 2012,"2,552",–,54%,46%
BVA,16–17 Apr 2012,"1,161",–,56%,44%
CSA,16–17 Apr 2012,886,–,58%,42%
OpinionWay,16–17 Apr 2012,"1,002",26%,55%,45%
Ifop-Fiducial,14–17 Apr 2012,"1,709",–,54.50%,45.50%
Harris Interactive,12–16 Apr 2012,991,–,53%,47%
Ifop-Fiducial*,12–15 Apr 2012,"1,808",–,55.50%,44.50%
Ifop-Fiducial,12–15 Apr 2012,"1,711",–,55%,45%
Ipsos,13–14 Apr 2012,894,–,56%,44%
Ifop-Fiducial,10–13 Apr 2012,"2,562",–,54.50%,45.50%
BVA,11–12 Apr 2012,885,–,56%,44%
TNS Sofres,11–12 Apr 2012,"1,000",–,56%,44%
Ifop-Fiducial,9–12 Apr 2012,"2,562",–,54%,46%
CSA,10–11 Apr 2012,"1,013",–,57%,43%
LH2,10–11 Apr 2012,977,–,55%,45%
OpinionWay,10–11 Apr 2012,"1,007",–,54%,46%
Ifop-Fiducial,6–11 Apr 2012,"2,285",–,54%,46%
Ifop-Fiducial,6–10 Apr 2012,"1,425",–,54%,46%
Ipsos,6–7 Apr 2012,955,–,55%,45%
Ifop-Fiducial*,5–7 Apr 2012,"1,869",–,53%,47%
Ifop-Fiducial,5–7 Apr 2012,"1,002",–,53.50%,46.50%
Harris Interactive,3–6 Apr 2012,"1,033",–,53%,47%
Ifop-Fiducial,3–6 Apr 2012,"1,284",–,53%,47%
Ifop-Fiducial,2–5 Apr 2012,"1,060",–,53%,47%
OpinionWay,3–4 Apr 2012,969,–,53%,47%
Ifop-Fiducial,31 Mar–4 Apr 2012,"1,432",–,53.50%,46.50%
CSA,2–3 Apr 2012,884,–,54%,46%
Ifop-Fiducial,31 Mar–3 Apr 2012,999,–,53.50%,46.50%
Harris Interactive,29 Mar–2 Apr 2012,"1,059",–,53%,47%
Ifop-Fiducial,29 Mar–2 Apr 2012,893,–,54%,46%
Ipsos,30–31 Mar 2012,881,–,55%,45%
LH2,30–31 Mar 2012,973,–,54%,46%
BVA,29–31 Mar 2012,"2,555",–,56%,44%
Ifop-Fiducial,27–30 Mar 2012,957,–,54%,46%
Ifop-Fiducial,26–29 Mar 2012,950,–,54%,46%
Ifop-Fiducial,24–28 Mar 2012,"1,211",–,54%,46%
CSA,26–27 Mar 2012,876,–,53%,47%
OpinionWay,26–27 Mar 2012,"1,148",–,54%,46%
TNS Sofres,26–27 Mar 2012,"1,000",–,55%,45%
Ifop-Fiducial,24–27 Mar 2012,902,–,54%,46%
Harris Interactive,22–26 Mar 2012,"1,231",–,54%,46%
Ifop-Fiducial*,22–25 Mar 2012,"1,769",–,54%,46%
Ifop-Fiducial,22–25 Mar 2012,887,–,53.50%,46.50%
Ipsos,23–24 Mar 2012,978,–,54%,46%
Ifop-Fiducial,20–23 Mar 2012,942,–,54%,46%
BVA,21–22 Mar 2012,926,–,54%,46%
Ifop-Fiducial,19–22 Mar 2012,945,–,55%,45%
Ifop-Fiducial,17–21 Mar 2012,"1,195",–,55%,45%
CSA,19–20 Mar 2012,888,–,54%,46%
Ifop-Fiducial,17–20 Mar 2012,876,–,54.50%,45.50%
Harris Interactive,15–19 Mar 2012,"1,097",–,56%,44%
Ifop-Fiducial,15–19 Mar 2012,881,–,54%,46%
Ifop,16–17 Mar 2012,961,–,54%,46%
Ipsos,16–17 Mar 2012,950,–,56%,44%
LH2,16–17 Mar 2012,962,–,55%,45%
Ifop-Fiducial,13–16 Mar 2012,928,–,54%,46%
OpinionWay,14–15 Mar 2012,"1,183",–,55%,45%
Ifop-Fiducial,12–15 Mar 2012,928,–,53.50%,46.50%
Ifop-Fiducial,11–14 Mar 2012,"1,187",–,54%,46%
CSA,12–13 Mar 2012,861,–,54%,46%
Ifop-Fiducial,11–13 Mar 2012,875,–,54%,46%
TNS Sofres,12-Mar-12,"1,000",–,58%,42%
Ifop-Fiducial*,11–12 Mar 2012,"1,638",–,54.50%,45.50%
Ifop-Fiducial,8–12 Mar 2012,874,–,55%,45%
Ifop-Fiducial,6–9 Mar 2012,922,–,55%,45%
Ifop-Fiducial,5–8 Mar 2012,924,–,55%,45%
OpinionWay,5–7 Mar 2012,"1,098",–,56%,44%
Ifop-Fiducial,3–7 Mar 2012,"1,182",–,55.50%,44.50%
Ifop-Fiducial,3–6 Mar 2012,877,–,56%,44%
CSA,5-Mar-12,888,–,56%,44%
Harris Interactive,1–5 Mar 2012,975,–,56%,44%
Ifop-Fiducial,1–5 Mar 2012,867,–,56.50%,43.50%
BVA,2–3 Mar 2012,761,–,59%,41%
