pollName,dates,sampleSize,Aubry,Sarkozy
LH2,30 Sep–1 Oct 2011,843,57%,43%
LH2,2–3 Sep 2011,818,54%,46%
Ifop,30 Aug–2 Sep 2011,"1,918",54%,46%
Ifop,19–21 Jul 2011,948,53%,47%
BVA,8–9 Jul 2011,782,58%,42%
LH2,8–9 Jul 2011,827,58%,42%
Harris Interactive,3–5 Jun 2011,"1,449",58%,42%
BVA,20–21 May 2011,960,59%,41%
TNS Sofres,20–21 May 2011,960,56%,44%
LH2,6–7 May 2011,565,56%,44%
Ifop,20–21 Apr 2011,917,55%,45%
OpinionWay,6–7 Apr 2011,991,56.00%,44.00%
TNS Sofres,18–19 Feb 2011,"1,000",56%,44%
CSA,14–15 Feb 2011,"1,005",54%,46%
CSA,17–18 Jan 2011,847,56%,44%
BVA,14–15 Jan 2011,804,57%,43%
TNS Sofres,19–20 Nov 2010,"1,000",55%,45%
Ifop,18–19 Nov 2010,811,52%,48%
Harris Interactive,9–10 Nov 2010,910,51%,49%
TNS Sofres,20–21 Aug 2010,"1,000",53%,47%
CSA,7–8 Jul 2010,809,52%,48%
CSA,19–20 May 2010,779,51%,49%
CSA,24–25 Mar 2010,843,52%,48%
CSA,2–3 Feb 2010,802,48%,52%
CSA,4–5 Nov 2009,910,47%,53%
