pollName,dates,sampleSize,Abs.,Royal,Sarkozy
LH2,2–3 Sep 2011,818,–,49%,51%
Harris Interactive,3–5 Jun 2011,"1,449",–,51%,49%
LH2,6–7 May 2011,554,–,50%,50%
Ifop,20–21 Apr 2011,917,–,51%,49%
TNS Sofres,18–19 Feb 2011,"1,000",–,52%,48%
CSA,14–15 Feb 2011,"1,005",–,50%,50%
CSA,17–18 Jan 2011,847,–,50%,50%
TNS Sofres,19–20 Nov 2010,"1,000",–,52%,48%
Ifop,18–19 Nov 2010,811,–,53%,47%
TNS Sofres,20–21 Aug 2010,"1,000",–,49%,51%
CSA,4–5 Nov 2009,910,–,45%,55%
LH2,2–3 May 2008,"1,004",–,53%,47%
OpinionWay,30 Apr–2 May 2008,"1,005",–,50%,50%
CSA,26-Feb-08,856,–,51%,49%
Ifop,31 Oct–2 Nov 2007,"1,008",–,45%,55%
