PollingFirm,FieldworkDate,SampleSize,Abs.,Arthaud,Poutou,Mélenchon,Jadot,Hamon,Macron,Bayrou,Lassalle,Fillon,Juppé,Dupont-Aignan,Asselineau,Le Pen,Cheminade
BVA,15–17 Mar 2017,935,27%,1%,<0.5%,12%,–,12.50%,25%,–,–,19.50%,–,3%,1%,26%,–
Kantar Sofres,15–17 Mar 2017,1062,27%,1.50%,1%,12%,–,12%,26%,–,0.50%,17%,–,3%,1%,26%,<0.5%
Ifop-fiducial,14–17 Mar 2017,1376,37.50%,1%,0.50%,10.50%,–,13.50%,26%,–,–,18%,–,3.50%,0.50%,26.50%,<0.5%
Odoxa,15–16 Mar 2017,672,–,1%,1%,10.50%,–,12.50%,26.50%,–,0%,19%,–,3%,0.50%,26%,0%
OpinionWay,14–16 Mar 2017,1571,–,1%,0%,11%,–,12%,25%,–,–,20%,–,3%,–,28%,–
Ifop-fiducial,13–16 Mar 2017,1386,37%,1%,0.50%,11%,–,13.50%,25.50%,–,–,18%,–,3.50%,0.50%,26.50%,<0.5%
Ipsos,14–15 Mar 2017,8205,34%,1%,0.50%,11.50%,–,12.50%,26%,–,–,17.50%,–,3.50%,0.50%,27%,<0.5%
OpinionWay,13–15 Mar 2017,1554,–,1%,0%,12%,–,13%,25%,–,–,19%,–,3%,–,27%,–
Ifop-fiducial,12–15 Mar 2017,1399,36.50%,0.50%,0.50%,11.50%,–,13.50%,25.50%,–,–,18.50%,–,3.50%,<0.5%,26.50%,<0.5%
OpinionWay,12–14 Mar 2017,1529,–,1%,0%,12%,–,13%,25%,–,–,19%,–,3%,–,27%,–
Ifop-fiducial,10–14 Mar 2017,1413,36%,0.50%,0.50%,11.50%,–,14%,25%,–,–,19%,–,3%,<0.5%,26.50%,<0.5%
OpinionWay,11–13 Mar 2017,1528,–,1%,0%,11%,–,14%,24%,–,–,20%,–,3%,–,27%,–
Future Thinking,10–13 Mar 2017,811,–,0.50%,1%,10.50%,–,14%,23.50%,–,–,20%,–,3%,–,27%,0.50%
Ifop-fiducial,9–13 Mar 2017,1397,37%,0.50%,0.50%,11.50%,–,14%,25%,–,–,19%,–,3%,<0.5%,26.50%,<0.5%
OpinionWay,10–12 Mar 2017,1610,–,1%,0%,11%,–,14%,25%,–,–,20%,–,2%,–,27%,–
BVA,8–10 Mar 2017,950,26%,0.50%,0.50%,11.50%,–,13.50%,26%,–,–,20%,–,2%,–,26%,–
Ifop-fiducial,7–10 Mar 2017,1379,36.50%,0.50%,0.50%,12%,–,13.50%,25.50%,–,–,19.50%,–,2.50%,–,26%,<0.5%
OpinionWay,7–9 Mar 2017,1571,–,1%,0%,11%,–,14%,26%,–,–,20%,–,2%,–,26%,–
Ifop-fiducial,6–9 Mar 2017,1395,36.50%,1%,0.50%,12%,–,13.50%,25%,–,–,19%,–,3%,–,26%,<0.5%
Harris Interactive,6–8 Mar 2017,4533,–,1%,<0.5%,12%,–,13%,26%,–,–,20%,–,3%,–,25%,–
OpinionWay,6–8 Mar 2017,1509,–,1%,0%,10%,–,15%,25%,–,–,21%,–,2%,–,26%,–
Ifop-fiducial,5–8 Mar 2017,1394,36%,1%,0.50%,11.50%,–,13.50%,24.50%,–,–,19.50%,–,3.50%,–,26%,<0.5%
Ipsos,6–7 Mar 2017,644,–,1%,1%,12%,–,13.50%,23%,–,–,19.50%,–,2.50%,–,27%,0.50%
OpinionWay,5–7 Mar 2017,1574,–,0%,0%,10%,–,16%,25%,–,–,21%,–,2%,–,26%,–
Ifop-fiducial,3–7 Mar 2017,1390,36%,0.50%,0.50%,11.50%,–,14%,25%,–,–,19%,–,3.50%,–,26%,<0.5%
Elabe,5–6 Mar 2017,1000,41%,0.50%,0.50%,12%,–,13.50%,25.50%,–,–,19%,–,3%,–,26%,–
OpinionWay,4–6 Mar 2017,1559,–,0%,0%,10%,–,16%,25%,–,–,20%,–,3%,–,26%,–
Ifop-fiducial,2–6 Mar 2017,1381,35.50%,0.50%,0.50%,11.50%,–,13.50%,25.50%,–,–,19%,–,3%,–,26.50%,<0.5%
OpinionWay,3–5 Mar 2017,1671,–,0%,1%,11%,–,15%,24%,–,–,19%,–,3%,–,27%,–
Ipsos,1–5 Mar 2017,10854,34%,1%,1%,11.50%,–,14%,25%,–,–,17.50%,–,3%,–,27%,<0.5%
Ifop-fiducial,2–4 Mar 2017,1822,35%,0.50%,0.50%,12%,–,14%,25.50%,–,–,18.50%,–,2.50%,–,26.50%,<0.5%
Ifop-fiducial,2–4 Mar 2017,1822,35%,0.50%,0.50%,11.50%,–,13%,23%,–,–,–,20%,3%,–,28.50%,<0.5%
Kantar Sofres,2–4 Mar 2017,700,31%,1%,1%,12%,–,16%,25%,–,–,17%,–,2%,–,26%,<0.5%
Kantar Sofres,2–4 Mar 2017,700,31%,1%,1%,11%,–,13%,20%,–,–,–,24.50%,2.50%,–,27%,<0.5%
Ifop-fiducial,28 Feb–3 Mar 2017,1383,35%,0.50%,0.50%,11%,–,14%,24.50%,–,–,20%,–,2.50%,–,27%,<0.5%
Odoxa,1–2 Mar 2017,907,–,0.50%,1%,10%,–,14%,27%,–,–,19%,–,3%,–,25.50%,–
Odoxa,1–2 Mar 2017,907,–,0.50%,1%,8%,–,11%,25%,–,–,–,26.50%,4%,–,24%,–
BVA,28 Feb–2 Mar 2017,924,28%,0.50%,1%,11.50%,–,15.50%,24%,–,–,19%,–,2.50%,–,26%,–
Elabe,28 Feb–2 Mar 2017,1507,41%,1%,1%,12.50%,–,12.50%,24%,–,–,19%,–,3%,–,27%,–
OpinionWay,28 Feb–2 Mar 2017,1654,–,0%,1%,11%,–,15%,24%,–,–,19%,–,3%,–,27%,–
Ifop-fiducial,27 Feb–2 Mar 2017,1394,37%,0.50%,0.50%,11%,–,14.50%,24%,–,–,21%,–,2.50%,–,26%,<0.5%
OpinionWay,27 Feb–1 Mar 2017,1639,–,0%,1%,11%,–,16%,23%,–,–,21%,–,3%,–,25%,–
Ifop-fiducial,26 Feb–1 Mar 2017,1392,37.50%,1%,0.50%,11%,–,14%,24%,–,–,21%,–,3%,–,25.50%,<0.5%
OpinionWay,26–28 Feb 2017,1629,–,0%,0%,11%,–,16%,24%,–,–,21%,–,3%,–,25%,–
Ifop-fiducial,24–28 Feb 2017,1398,37%,1%,0.50%,11.50%,–,14%,24%,–,–,20.50%,–,3%,–,25.50%,<0.5%
OpinionWay,25–27 Feb 2017,1624,–,0%,0%,11%,–,15%,24%,–,–,21%,–,3%,–,26%,–
Ifop-fiducial,23–27 Feb 2017,1404,38%,1%,0.50%,11.50%,–,13.50%,24.50%,–,–,20%,–,2.50%,–,26%,0.50%
OpinionWay,24–26 Feb 2017,1631,–,0%,0%,11%,–,15%,24%,–,–,21%,–,3%,–,26%,–
Kantar Sofres,23–24 Feb 2017,700,30%,1%,0.50%,10%,–,14%,25%,–,–,20%,–,2.50%,–,27%,<0.5%
Ifop-fiducial,21–24 Feb 2017,1417,39%,0.50%,0.50%,11%,2%,13%,23.50%,–,–,20.50%,–,2.50%,–,26%,0.50%
Odoxa,22–23 Feb 2017,884,–,0%,1%,12%,1%,13%,25%,–,–,19%,–,2%,–,27%,–
OpinionWay,21–23 Feb 2017,1431,–,0%,1%,11%,2%,13%,23%,–,–,21%,–,3%,–,26%,–
Ifop-fiducial,20–23 Feb 2017,1395,39%,0.50%,1%,11%,2%,13.50%,22.50%,–,–,20.50%,–,2%,–,26.50%,0.50%
Harris Interactive,20–22 Feb 2017,5249,–,1%,1%,13%,2%,14%,20%,–,–,21%,–,3%,–,25%,–
OpinionWay,20–22 Feb 2017,1615,–,0%,1%,11%,2%,13%,22%,–,–,21%,–,4%,–,26%,–
Ifop-fiducial,19–22 Feb 2017,1399,38%,0.50%,1%,11%,1.50%,14%,19%,5.50%,–,19%,–,2%,–,26.50%,<0.5%
OpinionWay,19–21 Feb 2017,1545,–,0%,0%,11%,2%,14%,22%,–,–,21%,–,4%,–,26%,–
Ifop-fiducial,17–21 Feb 2017,1386,38%,0.50%,1%,11.50%,1.50%,14%,19%,5.50%,–,19%,–,2%,–,26%,<0.5%
BVA,19–20 Feb 2017,628,26%,0.50%,0.50%,10.50%,2%,17%,21%,–,–,19%,–,2%,–,27.50%,–
Elabe,18–20 Feb 2017,995,43%,1%,1%,13%,1%,13%,18.50%,–,–,21%,–,3.50%,–,28%,–
Elabe,18–20 Feb 2017,995,43%,1%,1%,12%,1%,12%,17%,6%,–,20%,–,3%,–,27%,–
OpinionWay,18–20 Feb 2017,1535,–,0%,1%,11%,1%,15%,21%,–,–,21%,–,4%,–,26%,–
Ifop-fiducial,17–20 Feb 2017,1838,–,0.50%,0.50%,12%,2%,15.50%,22%,–,–,20%,–,2%,–,25.50%,<0.5%
Ifop-fiducial,16–20 Feb 2017,1397,38%,0.50%,1%,11.50%,1.50%,14%,19%,5.50%,–,18.50%,–,2.50%,–,26%,<0.5%
OpinionWay,17–19 Feb 2017,1534,–,0%,0%,12%,2%,16%,20%,–,–,20%,–,3%,–,27%,–
Ifop-fiducial,14–17 Feb 2017,1399,38%,0.50%,0.50%,11.50%,2%,14%,18.50%,5.50%,–,18.50%,–,3%,–,26%,<0.5%
OpinionWay,14–16 Feb 2017,1605,–,0%,0%,13%,2%,16%,20%,–,–,20%,–,3%,–,26%,–
Ifop-fiducial,13–16 Feb 2017,1396,37%,0.50%,0.50%,11%,2%,14%,19.50%,5%,–,18.50%,–,3%,–,26%,<0.5%
OpinionWay,13–15 Feb 2017,1602,–,0%,0%,12%,2%,16%,21%,–,–,20%,–,3%,–,26%,–
Ifop-fiducial,12–15 Feb 2017,1394,37%,0.50%,0.50%,11.50%,1.50%,14%,19.50%,5%,–,18.50%,–,3%,–,26%,<0.5%
OpinionWay,12–14 Feb 2017,1456,–,0%,1%,11%,2%,15%,21%,–,–,20%,–,3%,–,27%,–
Ifop-fiducial,10–14 Feb 2017,1402,37%,0.50%,0.50%,11.50%,1.50%,14.50%,19.50%,5%,–,18.50%,–,3%,–,25.50%,<0.5%
OpinionWay,11–13 Feb 2017,1422,–,0%,0%,11%,2%,15%,22%,–,–,20%,–,3%,–,27%,–
Ifop-fiducial,9–13 Feb 2017,1392,38%,0.50%,0.50%,11.50%,1.50%,14.50%,19.50%,5.50%,–,18%,–,2.50%,–,26%,<0.5%
OpinionWay,10–12 Feb 2017,1590,–,0%,0%,11%,2%,15%,22%,–,–,21%,–,3%,–,26%,–
Ipsos,7–12 Feb 2017,11020,–,0.50%,0.50%,12%,2%,14.50%,23%,–,–,18.50%,–,3%,–,26%,<0.5%
Ipsos,7–12 Feb 2017,11020,–,0.50%,0.50%,11.50%,2%,14%,20%,6%,–,17.50%,–,3%,–,25%,<0.5%
Ifop-fiducial,7–10 Feb 2017,1396,38.50%,0.50%,<0.5%,11%,1.50%,15%,20.50%,5.50%,–,17.50%,–,2.50%,–,26%,<0.5%
OpinionWay,7–9 Feb 2017,1496,–,0%,1%,13%,1%,16%,21%,–,–,20%,–,3%,–,25%,–
Ifop-fiducial,6–9 Feb 2017,1407,38.50%,0.50%,<0.5%,10.50%,1.50%,15%,21%,5.50%,–,17.50%,–,2.50%,–,26%,<0.5%
Elabe,7–8 Feb 2017,961,36%,0.50%,0.50%,13%,1%,15.50%,23.50%,–,–,18%,–,2%,–,26%,–
Elabe,7–8 Feb 2017,961,36%,0.50%,0.50%,12%,1%,15%,22%,5%,–,17%,–,1.50%,–,25.50%,–
Harris Interactive,6–8 Feb 2017,5432,–,<0.5%,1%,12%,2%,14%,21%,5%,–,19%,–,2%,–,24%,–
