PollingFirm,FieldworkDate,SampleSize,Abs.,Arthaud,Poutou,Mélenchon,Jadot,Hollande,Valls,Montebourg,Hamon,Peillon,Pinel,Macron,Bayrou,Fillon,Dupont-Aignan,Le Pen,Cheminade
Ipsos,20-Jan-17,992,–,1%,1%,15%,2%,–,9%,–,–,–,–,18%,–,25%,2%,27%,<0.5%
Ipsos,20-Jan-17,992,–,1%,1%,14%,2%,–,–,7%,–,–,–,20%,–,26%,2%,27%,<0.5%
Ipsos,20-Jan-17,992,–,1%,1%,13%,2%,–,–,–,8%,–,–,20%,–,26%,2%,27%,<0.5%
Ipsos,10–15 Jan 2017,"10,986",–,1%,1%,15%,2.50%,–,10%,–,–,–,–,19%,–,24%,2.50%,25%,<0.5%
Ipsos,10–15 Jan 2017,"10,986",–,1%,1%,14%,2.50%,–,9%,–,–,–,–,17%,5%,23%,2.50%,25%,<0.5%
Ipsos,10–15 Jan 2017,"10,986",–,1%,1%,14%,2.50%,–,–,7%,–,–,–,21%,–,25%,2.50%,26%,<0.5%
Ipsos,10–15 Jan 2017,"10,986",–,1%,1%,13%,2.50%,–,–,6%,–,–,–,19%,5%,24%,2.50%,26%,<0.5%
Ipsos,10–15 Jan 2017,"10,986",–,1%,1%,14%,2.50%,–,–,–,7%,–,–,21%,–,25%,2.50%,26%,<0.5%
BVA,6–8 Jan 2017,644,24%,1%,1%,13%,2.50%,–,11%,–,–,–,–,16%,5%,24%,1.50%,25%,–
BVA,6–8 Jan 2017,638,24%,1.50%,1%,12.50%,3%,–,–,6.50%,–,–,–,20%,5%,24%,1.50%,25%,–
BVA,6–8 Jan 2017,637,24%,1%,0.50%,12.50%,2.50%,–,–,–,6%,–,–,20%,6%,24%,1.50%,26%,–
BVA,6–8 Jan 2017,629,24%,1%,1%,13%,2.50%,–,–,–,–,5%,–,20%,6%,24%,1.50%,26%,–
Ifop-Fiducial,3–6 Jan 2017,"1,860",–,0.50%,1%,12%,2%,–,10.50%,–,–,–,–,17%,5.50%,24%,1.50%,26%,<0.5%
