PollingFirm,FieldworkDate,SampleSize,Abs.,Arthaud,Poutou,Mélenchon,Duflot,Jadot,Hollande,Valls,Montebourg,Macron,Bayrou,Juppé,Sarkozy,Fillon,Le Maire,NKM,Copé,Dupont-Aignan,Le Pen,Cheminade
Ifop-Fiducial,16–17 Nov 2016,979,–,0.50%,1.50%,13%,–,2.50%,9%,–,–,14%,–,26%,–,–,–,–,–,3%,30%,0.50%
Ifop-Fiducial,16–17 Nov 2016,979,–,1%,1.50%,13%,–,2.50%,9%,–,–,16%,8.50%,–,17.50%,–,–,–,–,3%,28%,<0.5%
Ifop-Fiducial,16–17 Nov 2016,979,–,1%,1.50%,13%,–,3%,10%,–,–,15%,5.50%,–,–,20%,–,–,–,2%,29%,<0.5%
Ipsos,8–13 Nov 2016,"12,378",–,1.50%,1.50%,14%,–,4%,10%,–,–,–,–,36%,–,–,–,–,–,4%,29%,<0.5%
Ipsos,8–13 Nov 2016,"12,378",–,1.50%,1.50%,14%,–,4%,12%,–,–,–,12%,–,22%,–,–,–,–,4%,29%,<0.5%
Ipsos,8–13 Nov 2016,"12,378",–,1.50%,1.50%,14%,–,4%,–,12%,–,–,–,34%,–,–,–,–,–,4%,29%,<0.5%
Ipsos,8–13 Nov 2016,"12,378",–,1.50%,1.50%,14%,–,4%,–,14%,–,–,11%,–,21%,–,–,–,–,4%,29%,<0.5%
Ipsos,8–13 Nov 2016,"12,378",–,1.50%,1.50%,13%,–,3%,9%,–,–,10%,–,31%,–,–,–,–,–,4%,27%,<0.5%
Kantar Sofres,21–23 Oct 2016,"1,005",25%,1%,2%,14.50%,–,2%,12%,–,–,–,–,34%,–,–,–,–,–,5%,29%,0.50%
Kantar Sofres,21–23 Oct 2016,"1,005",25%,1.50%,1.50%,15.50%,–,2%,13%,–,–,–,11.50%,–,22%,–,–,–,–,4.50%,28%,0.50%
Kantar Sofres,21–23 Oct 2016,"1,005",25%,0.50%,2%,13%,–,1.50%,9%,–,–,14%,–,28%,–,–,–,–,–,4%,28%,<0.5%
Kantar Sofres,21–23 Oct 2016,"1,005",25%,0.50%,1.50%,13.50%,–,1.50%,10%,–,–,15%,8%,–,20%,–,–,–,–,4%,26%,<0.5%
Kantar Sofres,21–23 Oct 2016,"1,005",25%,1%,2%,14%,–,2%,11%,–,–,18%,–,–,21%,–,–,–,–,4%,27%,<0.5%
