PollingFirm,FieldworkDate,SampleSize,Abs.,Arthaud,Poutou,Mélenchon,Duflot,Hulot,Hollande,Valls,Montebourg,Macron,Bayrou,Juppé,Sarkozy,Fillon,Le Maire,Dupont-Aignan,Asselineau,Le Pen,Cheminade
Elabe,20–21 Jun 2016,926,48%,1%,1%,11%,3%,–,14%,–,–,–,–,39%,–,–,–,5%,–,26%,–
Elabe,20–21 Jun 2016,926,48%,0.50%,1%,12%,3.50%,–,15%,–,–,–,11.50%,–,25%,–,–,4.50%,–,27%,–
Elabe,20–21 Jun 2016,926,48%,1%,1%,12%,3%,–,15%,–,–,–,10%,–,–,24%,–,5%,–,29%,–
Elabe,20–21 Jun 2016,926,48%,0.50%,1%,11%,3.50%,–,15%,–,–,–,12%,–,–,–,22%,5%,–,30%,–
Elabe,20–21 Jun 2016,926,48%,1%,1%,10%,–,9%,12%,–,–,–,–,37%,–,–,–,4%,–,26%,–
Elabe,20–21 Jun 2016,926,48%,0.50%,1%,10%,–,10%,14%,–,–,–,10%,–,25%,–,–,3.50%,–,26%,–
Elabe,20–21 Jun 2016,926,48%,1%,1%,11%,–,10%,13%,–,–,–,9.50%,–,–,23%,–,4.50%,–,27%,–
Elabe,20–21 Jun 2016,926,48%,1%,1.50%,10%,–,11%,13.50%,–,–,–,10%,–,–,–,21%,4%,–,28%,–
Ifop-Fiducial,14–17 Jun 2016,"1,858",–,0.50%,1.50%,12.50%,2.50%,–,14%,–,–,–,–,35%,–,–,–,4.50%,–,29%,0.50%
Ifop-Fiducial,14–17 Jun 2016,"1,858",–,1%,1.50%,13%,2%,–,15%,–,–,–,12.50%,–,22%,–,–,4.50%,–,28%,0.50%
Ifop-Fiducial,14–17 Jun 2016,"1,858",–,0.50%,1.50%,14.50%,2.50%,–,15%,–,–,–,12%,–,–,18%,–,5.50%,–,30%,0.50%
Ifop-Fiducial,14–17 Jun 2016,"1,858",–,0.50%,1%,14%,2.50%,–,16%,–,–,–,12.50%,–,–,–,17%,5.50%,–,30.50%,0.50%
Ifop-Fiducial,14–17 Jun 2016,"1,858",–,0.50%,1%,11.50%,2%,–,14%,–,4.50%,–,–,34%,–,–,–,4.50%,–,28%,<0.5%
Ifop-Fiducial,14–17 Jun 2016,"1,858",–,1%,1%,12.50%,–,5.50%,13%,–,–,–,–,34%,–,–,–,4.50%,–,28%,0.50%
Ifop-Fiducial,14–17 Jun 2016,"1,858",–,1%,1.50%,12%,2%,–,–,–,5%,12%,–,33%,–,–,–,4.50%,–,28.50%,0.50%
Ifop-Fiducial,14–17 Jun 2016,"1,858",–,1%,–,14%,–,–,15%,–,–,–,–,36%,–,–,–,5%,1%,28%,–
BVA,10–12 Jun 2016,910,33%,1.50%,1.50%,14%,2%,–,14%,–,–,–,–,36%,–,–,–,5%,–,26%,–
BVA,10–12 Jun 2016,910,33%,2%,1%,14%,3%,–,13%,–,–,–,13%,–,21%,–,–,5%,–,28%,–
BVA,10–12 Jun 2016,910,33%,1.50%,1.50%,15%,2%,–,14%,–,–,–,12%,–,–,19%,–,6%,–,29%,–
BVA,10–12 Jun 2016,910,33%,2%,1%,15%,2%,–,15%,–,–,–,12%,–,–,–,19%,5%,–,29%,–
Ipsos,13–22 May 2016,"12,710",–,1.50%,1.50%,12%,3%,–,14%,–,–,–,–,35%,–,–,–,5%,–,28%,<0.5%
Ipsos,13–22 May 2016,"12,710",–,1.50%,1.50%,12%,3%,–,14%,–,–,–,13%,–,21%,–,–,6%,–,28%,<0.5%
BVA,13–16 May 2016,927,31%,0.50%,1.50%,12%,4%,–,13.50%,–,–,–,–,38%,–,–,–,5.50%,–,25%,–
BVA,13–16 May 2016,927,31%,0.50%,1.50%,12%,3.50%,–,15%,–,–,–,13.50%,–,22%,–,–,5%,–,27%,–
BVA,13–16 May 2016,927,31%,0.50%,1.50%,13%,3.50%,–,15%,–,–,–,14%,–,–,21%,–,4.50%,–,27%,–
BVA,13–16 May 2016,927,31%,0.50%,2%,13%,3.50%,–,16%,–,–,–,16%,–,–,–,17%,5%,–,27%,–
Ifop-Fiducial,25–28 Apr 2016,"1,419",–,1.50%,1%,14%,2.50%,–,–,–,–,20%,–,29%,–,–,–,6%,–,26%,<0.5%
Ifop-Fiducial,25–28 Apr 2016,"1,419",–,1%,1%,13%,3%,–,–,–,–,22%,10%,–,18%,–,–,6%,–,26%,<0.5%
Elabe,26–27 Apr 2016,911,42%,1%,1%,11%,2%,–,15%,–,–,–,–,39%,–,–,–,5%,–,26%,–
Elabe,26–27 Apr 2016,911,42%,1%,1%,10%,2%,–,18%,–,–,–,14%,–,23%,–,–,5%,–,26%,–
Elabe,26–27 Apr 2016,911,42%,1%,1%,11.50%,2%,–,–,15.50%,–,–,–,38%,–,–,–,5%,–,26%,–
