PollingFirm,FieldworkDate,SampleSize,Abs.,Arthaud,Poutou,Besancenot,Mélenchon,Joly,Duflot,Hollande,Valls,Montebourg,Aubry,Bayrou,Juppé,Sarkozy,Fillon,Copé,Dupont-Aignan,Villiers,Le Pen,Cheminade
Ifop,14–17 Dec 2015,"1,800",–,1%,1%,–,9.50%,–,2.50%,20.50%,–,–,–,–,34%,–,–,–,5%,–,26.50%,–
Ifop,14–17 Dec 2015,"1,800",–,1%,1%,–,9%,–,2%,22%,–,–,–,12%,–,21%,–,–,5%,–,27%,–
Ifop,14–17 Dec 2015,"1,800",–,1%,1%,–,9%,–,2%,23%,–,–,–,10%,–,–,19.50%,–,5.50%,–,29%,–
Ifop,14–17 Dec 2015,"1,800",–,1%,1%,–,8.50%,–,2%,20.50%,–,–,–,6.50%,30%,–,–,–,4.50%,–,26%,–
Ifop,14–17 Dec 2015,"1,800",–,1%,1%,–,9%,–,2%,22.50%,–,–,–,12%,–,22%,–,–,–,3%,27.50%,–
TNS Sofres,14–15 Dec 2015,"1,000",–,1%,1.50%,–,11%,–,3%,20%,–,–,–,–,31%,–,–,–,4.50%,–,28%,–
TNS Sofres,14–15 Dec 2015,"1,000",–,1%,1.50%,–,10.50%,–,3%,19%,–,–,–,10.50%,–,24%,–,–,4.50%,–,26%,–
TNS Sofres,14–15 Dec 2015,"1,000",–,1%,1.50%,–,12%,–,3%,22%,–,–,–,–,–,26%,–,–,7%,–,27.50%,–
Harris Interactive,13-Dec-15,"1,020",–,1%,1%,–,10%,–,3%,22%,–,–,–,–,29%,–,–,–,7%,–,27%,–
Harris Interactive,13-Dec-15,"1,020",–,1%,1%,–,10%,–,3%,21%,–,–,–,12%,–,21%,–,–,4%,–,27%,–
Ifop-Fiducial,31 Oct–4 Nov 2015,937,–,1%,2%,–,9%,–,3%,20.50%,–,–,–,–,31.50%,–,–,–,4%,–,29%,–
Ifop-Fiducial,31 Oct–4 Nov 2015,937,–,1%,1.50%,–,8%,–,2%,21%,–,–,–,12%,–,23%,–,–,3.50%,–,28%,–
Ifop-Fiducial,31 Oct–4 Nov 2015,937,–,1%,2%,–,8%,–,2%,19%,–,–,–,9%,27%,–,–,–,3%,–,29%,–
Ifop,3–4 Sep 2015,"1,002",–,1%,1%,–,10%,–,2%,19%,–,–,–,10%,25%,–,–,–,3%,–,29%,–
Ifop,3–4 Sep 2015,"1,002",–,1%,1.50%,–,10%,–,2%,19%,–,–,–,11.50%,–,25%,–,–,3%,–,27%,–
Ifop,17–19 Aug 2015,950,–,1.50%,1.50%,–,9%,–,3%,20%,–,–,–,11%,–,24%,–,–,4%,–,26%,–
Ifop,17–19 Aug 2015,950,–,1.50%,1.50%,–,10%,–,2%,–,22%,–,–,11%,–,23%,–,–,3%,–,26%,–
Ifop,17–19 Aug 2015,950,–,1%,1%,–,13%,–,4%,–,–,8%,–,17%,–,25%,–,–,4%,–,27%,–
Ifop,17–21 Jul 2015,944,–,1%,1%,–,9%,–,3%,18%,–,–,–,9%,28%,–,–,–,4%,–,27%,–
Ifop,17–21 Jul 2015,944,–,1%,1%,–,9%,–,3%,21%,–,–,–,12%,–,23%,–,–,3%,–,27%,–
Odoxa,21–22 May 2015,911,–,1%,2%,–,11%,–,2%,16%,–,–,–,–,34%,–,–,–,3%,–,31%,–
Odoxa,21–22 May 2015,911,–,1%,1%,–,10%,–,2%,17%,–,–,–,12%,–,25%,–,–,2%,–,30%,–
Odoxa,29–30 Apr 2015,"1,021",–,1%,1%,–,10%,–,2%,17%,–,–,–,9%,–,28%,–,–,3%,–,29%,–
Odoxa,29–30 Apr 2015,"1,021",–,1%,1%,–,8%,–,2%,–,20%,–,–,10%,–,26%,–,–,3%,–,29%,–
