PollingFirm,FieldworkDate,SampleSize,Abs.,Macron,Le Pen
Harris Interactive,4–5 May 2017,"2,270",–,62%,38%
Ifop-Fiducial,2–5 May 2017,"1,861",24.50%,63%,37%
Ipsos,5-May-17,"5,331",24%,63%,37%
Elabe,4-May-17,"1,009",32%,62%,38%
Ifop-Fiducial,1–4 May 2017,"1,400",25%,61%,39%
Ipsos,4-May-17,"1,605",24%,61.50%,38.50%
Odoxa,4-May-17,809,25%,62%,38%
OpinionWay,2–4 May 2017,"2,264",–,62%,38%
Harris Interactive,2–3 May 2017,"2,349",–,61%,39%
Ifop-Fiducial,30 Apr–3 May 2017,"1,405",26%,60%,40%
OpinionWay,1–3 May 2017,"2,264",–,61%,39%
BVA,1–2 May 2017,"1,012",20%,60%,40%
Elabe,28 Apr–2 May 2017,"3,817",32%,59%,41%
Ifop-Fiducial,28 Apr–2 May 2017,"1,388",27%,59.50%,40.50%
OpinionWay,30 Apr–2 May 2017,"1,936",–,60%,40%
Ifop-Fiducial,27 Apr–1 May 2017,"1,385",28%,59%,41%
Ipsos,30 Apr–1 May 2017,"8,936",24%,59%,41%
OpinionWay,29 Apr–1 May 2017,"1,764",–,60%,40%
Kantar Sofres,28–30 Apr 2017,"1,031",–,59%,41%
OpinionWay,28–30 Apr 2017,"1,488",–,61%,39%
Ipsos,28–29 Apr 2017,918,25%,60%,40%
BVA,26–28 Apr 2017,944,22%,59%,41%
Ifop-Fiducial,25–28 Apr 2017,"1,399",29%,60%,40%
Harris Interactive,25–27 Apr 2017,940,–,61%,39%
Ifop-Fiducial,24–27 Apr 2017,"1,407",29%,60.50%,39.50%
Odoxa,26–27 Apr 2017,803,–,59%,41%
OpinionWay,25–27 Apr 2017,"1,790",–,60%,40%
Ifop-Fiducial,23–26 Apr 2017,"1,893",28%,60.50%,39.50%
OpinionWay,24–26 Apr 2017,"1,800",–,59%,41%
Ifop-Fiducial,23–25 Apr 2017,"1,416",27%,61%,39%
Odoxa,24–25 Apr 2017,"1,000",–,63%,37%
OpinionWay,23–25 Apr 2017,"2,828",–,60%,40%
Elabe,24-Apr-17,967,31%,64%,36%
Ifop-Fiducial,23–24 Apr 2017,846,26%,60%,40%
OpinionWay,23–24 Apr 2017,"2,222",–,61%,39%
OpinionWay,23–24 Apr 2017,"1,461",–,61%,39%
Harris Interactive,23-Apr-17,"2,684",–,64%,36%
Ipsos,23-Apr-17,"1,379",–,62%,38%
Ifop-Fiducial,18–21 Apr 2017,"2,823",–,60.50%,39.50%
Odoxa,21-Apr-17,774,–,62%,38%
Elabe,19–20 Apr 2017,"1,445",–,65%,35%
Harris Interactive,18–20 Apr 2017,962,–,67%,33%
Ifop-Fiducial,17–20 Apr 2017,"2,810",–,61%,39%
Odoxa,20-Apr-17,"1,433",–,65%,35%
OpinionWay,18–20 Apr 2017,"2,269",–,64%,36%
BVA,18–19 Apr 2017,947,–,65%,35%
Harris Interactive,18–19 Apr 2017,"2,812",–,66%,34%
Ifop-Fiducial,16–19 Apr 2017,"2,792",–,60.50%,39.50%
OpinionWay,17–19 Apr 2017,"2,394",–,65%,35%
Ifop-Fiducial,14–18 Apr 2017,"2,804",–,60.50%,39.50%
OpinionWay,16–18 Apr 2017,"2,417",–,65%,35%
Elabe,16–17 Apr 2017,"1,438",–,62%,38%
Ifop-Fiducial,13–17 Apr 2017,"2,796",–,60%,40%
Ipsos,16–17 Apr 2017,"8,274",–,61%,39%
Kantar Sofres,14–17 Apr 2017,982,–,61%,39%
OpinionWay,15–17 Apr 2017,"2,423",–,64%,36%
OpinionWay,14–16 Apr 2017,"2,168",–,64%,36%
Le Terrain***,13–15 Apr 2017,642,–,71%,29%
BVA,12–14 Apr 2017,918,–,64%,36%
Ifop-Fiducial,11–14 Apr 2017,"2,776",–,59%,41%
Harris Interactive,11–13 Apr 2017,904,–,67%,33%
Ifop-Fiducial,10–13 Apr 2017,"2,797",–,58.50%,41.50%
Ipsos,12–13 Apr 2017,927,–,63%,37%
Odoxa,12–13 Apr 2017,732,–,61%,39%
OpinionWay,11–13 Apr 2017,"1,443",–,62%,38%
Elabe,11–12 Apr 2017,"1,010",–,65%,35%
Ifop-Fiducial,9–12 Apr 2017,"2,800",–,58.50%,41.50%
OpinionWay,10–12 Apr 2017,"1,423",–,63%,37%
Ifop-Fiducial,7–11 Apr 2017,"2,806",–,58.50%,41.50%
OpinionWay,9–11 Apr 2017,"1,395",–,62%,38%
Elabe,9–10 Apr 2017,"1,002",–,64%,36%
Ifop-Fiducial,6–10 Apr 2017,"2,616",–,58%,42%
OpinionWay,8–10 Apr 2017,"1,498",–,63%,37%
Ipsos,7–9 Apr 2017,"1,002",–,62%,38%
OpinionWay,7–9 Apr 2017,"1,565",–,62%,38%
BVA,5–7 Apr 2017,861,–,61%,39%
Ifop-Fiducial,4–7 Apr 2017,"2,246",–,59%,41%
Kantar Sofres,5–7 Apr 2017,934,–,61%,39%
Harris Interactive,5–6 Apr 2017,928,–,63%,37%
Ifop-Fiducial,3–6 Apr 2017,"2,243",–,60%,40%
OpinionWay,4–6 Apr 2017,"1,589",–,62%,38%
Elabe,5-Apr-17,995,–,62%,38%
Harris Interactive,5-Apr-17,"2,097",–,62%,38%
Ifop-Fiducial,2–5 Apr 2017,"2,245",–,59.50%,40.50%
Odoxa,5-Apr-17,766,–,61%,39%
OpinionWay,3–5 Apr 2017,"1,553",–,60%,40%
Harris Interactive,3–4 Apr 2017,"3,639",–,62%,38%
Ifop-Fiducial,31 Mar–4 Apr 2017,"2,254",–,60.50%,39.50%
OpinionWay,2–4 Apr 2017,"1,541",–,60%,40%
Ifop-Fiducial,30 Mar–3 Apr 2017,"2,232",–,60%,40%
OpinionWay,1–3 Apr 2017,"1,583",–,61%,39%
Ipsos,31 Mar–2 Apr 2017,"9,460",–,61%,39%
OpinionWay,31 Mar–2 Apr 2017,"1,624",–,63%,37%
Ifop-Fiducial,28–31 Mar 2017,"2,204",–,60%,40%
BVA,29–30 Mar 2017,872,–,60%,40%
Ifop-Fiducial,27–30 Mar 2017,"2,215",–,60%,40%
Odoxa,29–30 Mar 2017,753,–,59%,41%
OpinionWay,28–30 Mar 2017,"1,609",–,63%,37%
Elabe,28–29 Mar 2017,998,–,63%,37%
Ifop-Fiducial,26–29 Mar 2017,"2,241",–,60%,40%
OpinionWay,27–29 Mar 2017,"1,636",–,64%,36%
Ifop-Fiducial,24–28 Mar 2017,"2,231",–,60%,40%
OpinionWay,26–28 Mar 2017,"1,618",–,64%,36%
Ifop-Fiducial,23–27 Mar 2017,"2,235",–,60.50%,39.50%
Ipsos,25–27 Mar 2017,"1,005",–,62%,38%
Le Terrain***,23–27 Mar 2017,647,–,70%,30%
OpinionWay,25–27 Mar 2017,"1,599",–,62%,38%
OpinionWay,24–26 Mar 2017,"1,676",–,61%,39%
BVA,22–24 Mar 2017,880,–,62%,38%
Ifop-Fiducial,21–24 Mar 2017,"2,225",–,61.50%,38.50%
Ifop-Fiducial,20–23 Mar 2017,"2,245",–,61.50%,38.50%
OpinionWay,21–23 Mar 2017,"1,675",–,63%,37%
Harris Interactive,21–22 Mar 2017,"6,383",–,65%,35%
Ifop-Fiducial,19–22 Mar 2017,"1,974",–,61%,39%
OpinionWay,20–22 Mar 2017,"1,672",–,63%,37%
Elabe,21-Mar-17,997,–,64%,36%
Ifop-Fiducial,18–21 Mar 2017,"1,695",–,60.50%,39.50%
OpinionWay,19–21 Mar 2017,"1,676",–,62%,38%
Ifop-Fiducial,18–20 Mar 2017,935,–,60%,40%
OpinionWay,18–20 Mar 2017,"1,667",–,61%,39%
Elabe,17–19 Mar 2017,"2,847",–,63%,37%
OpinionWay,17–19 Mar 2017,"1,593",–,60%,40%
BVA,15–17 Mar 2017,858,–,62%,38%
Ifop-Fiducial,14–17 Mar 2017,"1,376",–,61%,39%
Ifop-Fiducial,13–16 Mar 2017,"1,386",–,61%,39%
Odoxa,15–16 Mar 2017,603,–,64%,36%
OpinionWay,14–16 Mar 2017,"1,571",–,59%,41%
Ifop-Fiducial,12–15 Mar 2017,"1,399",–,61.50%,38.50%
Ipsos,14–15 Mar 2017,"8,205",–,61%,39%
OpinionWay,13–15 Mar 2017,"1,554",–,60%,40%
Ifop-Fiducial,10–14 Mar 2017,"1,413",–,60.50%,39.50%
OpinionWay,12–14 Mar 2017,"1,529",–,61%,39%
Future Thinking,10–13 Mar 2017,717,–,59.50%,40.50%
Ifop-Fiducial,9–13 Mar 2017,"1,397",–,60.50%,39.50%
OpinionWay,11–13 Mar 2017,"1,528",–,60%,40%
OpinionWay,10–12 Mar 2017,"1,610",–,62%,38%
BVA,8–10 Mar 2017,839,–,61%,39%
Ifop-Fiducial,7–10 Mar 2017,"1,379",–,60.50%,39.50%
Ifop-Fiducial,6–9 Mar 2017,"1,395",–,60.50%,39.50%
OpinionWay,7–9 Mar 2017,"1,571",–,65%,35%
Harris Interactive,6–8 Mar 2017,"4,533",–,65%,35%
Ifop-Fiducial,5–8 Mar 2017,"1,394",–,60.50%,39.50%
OpinionWay,6–8 Mar 2017,"1,509",–,64%,36%
Ifop-Fiducial,3–7 Mar 2017,"1,390",–,61.50%,38.50%
OpinionWay,5–7 Mar 2017,"1,574",–,62%,38%
Elabe,5–6 Mar 2017,"1,000",–,60%,40%
Ifop-Fiducial,2–6 Mar 2017,"1,381",–,61%,39%
OpinionWay,4–6 Mar 2017,"1,559",–,60%,40%
Ipsos,1–5 Mar 2017,"10,854",–,62%,38%
OpinionWay,3–5 Mar 2017,"1,671",–,60%,40%
Ifop-Fiducial*,2–4 Mar 2017,"1,822",–,61%,39%
Ifop-Fiducial,28 Feb–3 Mar 2017,"1,383",–,61%,39%
BVA,28 Feb–2 Mar 2017,855,–,62%,38%
Elabe,28 Feb–2 Mar 2017,"1,507",–,62%,38%
Ifop-Fiducial,27 Feb–2 Mar 2017,"1,394",–,61%,39%
OpinionWay,28 Feb–2 Mar 2017,"1,654",–,62%,38%
Ifop-Fiducial,26 Feb–1 Mar 2017,"1,392",–,62%,38%
OpinionWay,27 Feb–1 Mar 2017,"1,639",–,63%,37%
Ifop-Fiducial,24–28 Feb 2017,"1,398",–,62%,38%
OpinionWay,26–28 Feb 2017,"1,629",–,63%,37%
Ifop-Fiducial,23–27 Feb 2017,"1,404",–,62%,38%
OpinionWay,25–27 Feb 2017,"1,624",–,61%,39%
OpinionWay,24–26 Feb 2017,"1,631",–,62%,38%
Ifop-Fiducial,21–24 Feb 2017,"1,417",–,61.50%,38.50%
Kantar Sofres,23–24 Feb 2017,600,–,58%,42%
Ifop-Fiducial,20–23 Feb 2017,"1,395",–,61%,39%
Odoxa,22–23 Feb 2017,879,–,61%,39%
OpinionWay,21–23 Feb 2017,"1,431",–,61%,39%
Harris Interactive,20–22 Feb 2017,"5,249",–,60%,40%
Ifop-Fiducial,19–22 Feb 2017,"1,399",–,60%,40%
OpinionWay,20–22 Feb 2017,"1,615",–,60%,40%
Ifop-Fiducial,17–21 Feb 2017,"1,386",–,61%,39%
OpinionWay,19–21 Feb 2017,"1,545",–,59%,41%
BVA,19–20 Feb 2017,554,–,61%,39%
Elabe,18–20 Feb 2017,995,–,59%,41%
Ifop-Fiducial,16–20 Feb 2017,"1,397",–,61.50%,38.50%
OpinionWay,18–20 Feb 2017,"1,535",–,58%,42%
OpinionWay,17–19 Feb 2017,"1,534",–,58%,42%
Ifop-Fiducial,14–17 Feb 2017,"1,399",–,62%,38%
Ifop-Fiducial,13–16 Feb 2017,"1,396",–,62.50%,37.50%
OpinionWay,14–16 Feb 2017,"1,605",–,60%,40%
Ifop-Fiducial,12–15 Feb 2017,"1,394",–,62%,38%
OpinionWay,13–15 Feb 2017,"1,602",–,62%,38%
Ifop-Fiducial,10–14 Feb 2017,"1,402",–,62.50%,37.50%
OpinionWay,12–14 Feb 2017,"1,456",–,62%,38%
Ifop-Fiducial,9–13 Feb 2017,"1,392",–,62%,38%
OpinionWay,11–13 Feb 2017,"1,422",–,64%,36%
OpinionWay,10–12 Feb 2017,"1,590",–,63%,37%
Ifop-Fiducial,7–10 Feb 2017,"1,396",–,62.50%,37.50%
Ifop-Fiducial,6–9 Feb 2017,"1,407",–,63%,37%
OpinionWay,7–9 Feb 2017,"1,496",–,65%,35%
Elabe,7–8 Feb 2017,961,–,63%,37%
Ifop-Fiducial,5–8 Feb 2017,"1,409",–,64%,36%
OpinionWay,6–8 Feb 2017,"1,454",–,65%,35%
Ifop-Fiducial,3–7 Feb 2017,"1,424",–,64%,36%
OpinionWay,5–7 Feb 2017,"1,487",–,66%,34%
Elabe,4–6 Feb 2017,993,–,64%,36%
Ifop-Fiducial,2–6 Feb 2017,"1,433",–,63%,37%
OpinionWay,4–6 Feb 2017,"1,568",–,66%,34%
OpinionWay,3–5 Feb 2017,"1,700",–,65%,35%
Ifop-Fiducial,31 Jan–3 Feb 2017,"1,430",–,63%,37%
BVA,1–2 Feb 2017,580,–,66%,34%
Ifop-Fiducial,30 Jan–2 Feb 2017,"1,414",–,63%,37%
Ifop-Fiducial,29 Jan–1 Feb 2017,"1,409",–,63%,37%
Elabe,30–31 Jan 2017,993,–,65%,35%
Kantar Sofres,26–27 Jan 2017,600,–,65%,35%
Ipsos,20-Jan-17,992,–,64%,36%
Ifop-Fiducial,3–6 Jan 2017,"1,860",–,65%,35%
Ifop-Fiducial,28–30 Nov 2016,"1,882",–,62%,38%
Odoxa*,14–15 Apr 2016,949,–,61%,39%
Odoxa*,14–15 Jan 2016,"1,011",–,65%,35%
