PollingFirm,FieldworkDate,SampleSize,Macron,Fillon
Odoxa,21-Apr-17,774,65%,35%
Elabe,19–20 Apr 2017,"1,445",65%,35%
Harris Interactive,18–20 Apr 2017,962,66%,34%
BVA,18–19 Apr 2017,826,67%,33%
Harris Interactive,18–19 Apr 2017,"2,812",68%,32%
Elabe,16–17 Apr 2017,"1,438",65%,35%
Ipsos,16–17 Apr 2017,"8,274",64%,36%
Kantar Sofres,14–17 Apr 2017,925,65%,35%
Le Terrain***,13–15 Apr 2017,642,67%,33%
BVA,12–14 Apr 2017,818,64%,36%
Ipsos,12–13 Apr 2017,927,64%,36%
Odoxa,12–13 Apr 2017,732,67%,33%
Harris Interactive,11–13 Apr 2017,904,70%,30%
Elabe,11–12 Apr 2017,"1,010",65%,35%
Elabe,9–10 Apr 2017,"1,002",65%,35%
Kantar Sofres,5–7 Apr 2017,855,66%,34%
Le Terrain***,23–27 Mar 2017,621,72%,28%
Ipsos,1–5 Mar 2017,"10,854",66%,34%
Kantar Sofres,26–27 Jan 2017,600,58%,42%
Ipsos,20-Jan-17,992,54%,46%
Ifop-Fiducial,3–6 Jan 2017,"1,860",52%,48%
