PollingFirm,FieldworkDate,SampleSize,Mélenchon,Macron
Odoxa,21-Apr-17,774,40%,60%
Elabe,19–20 Apr 2017,"1,445",41%,59%
Harris Interactive,18–20 Apr 2017,962,41%,59%
BVA,18–19 Apr 2017,844,40%,60%
Harris Interactive,18–19 Apr 2017,"2,812",40%,60%
Elabe,16–17 Apr 2017,"1,438",41%,59%
Ipsos,16–17 Apr 2017,"8,274",43%,57%
Kantar Sofres,14–17 Apr 2017,936,42%,58%
Le Terrain***,13–15 Apr 2017,642,42%,58%
BVA,12–14 Apr 2017,838,42%,58%
Ipsos,12–13 Apr 2017,927,45%,55%
Odoxa,12–13 Apr 2017,732,40%,60%
Harris Interactive,11–13 Apr 2017,904,42%,58%
Elabe,11–12 Apr 2017,"1,010",46%,54%
Elabe,9–10 Apr 2017,"1,002",45%,55%
Kantar Sofres,5–7 Apr 2017,785,47%,53%
Le Terrain***,23–27 Mar 2017,654,43%,57%
