PollingFirm,FieldworkDate,SampleSize,Mélenchon,Le Pen
Odoxa,21-Apr-17,774,54%,46%
Odoxa,20-Apr-17,"1,433",59%,41%
Elabe,19–20 Apr 2017,"1,445",60%,40%
Harris Interactive,18–20 Apr 2017,962,61%,39%
BVA,18–19 Apr 2017,834,60%,40%
Harris Interactive,18–19 Apr 2017,"2,812",60%,40%
Elabe,16–17 Apr 2017,"1,438",58%,42%
Ipsos,16–17 Apr 2017,"8,274",57%,43%
Kantar Sofres,14–17 Apr 2017,941,57%,43%
Le Terrain***,13–15 Apr 2017,642,64%,36%
BVA,12–14 Apr 2017,827,60%,40%
Ipsos,12–13 Apr 2017,927,60%,40%
Odoxa,12–13 Apr 2017,732,58%,42%
Harris Interactive,11–13 Apr 2017,904,64%,36%
Elabe,11–12 Apr 2017,"1,010",63%,37%
Elabe,9–10 Apr 2017,"1,002",61%,39%
Kantar Sofres,5–7 Apr 2017,914,57%,43%
Le Terrain***,23–27 Mar 2017,647,68%,32
