PollingFirm,FieldworkDate,SampleSize,Juppé,Le Pen
Ifop-Fiducial,17–20 Oct 2016,"1,827",68%,32%
BVA,14–16 Oct 2016,916,68%,32%
BVA,9–11 Sep 2016,912,66%,34%
BVA,8–10 Jul 2016,936,68%,32%
Ifop-Fiducial,14–17 Jun 2016,"1,858",67%,33%
BVA,10–12 Jun 2016,910,70%,30%
BVA,13–16 May 2016,927,70%,30%
BVA,15–17 Apr 2016,949,70%,30%
Odoxa,14–15 Apr 2016,949,66%,34%
Ifop-Fiducial,12–14 Apr 2016,"1,876",67%,33%
Odoxa,14–15 Jan 2016,"1,011",70%,30%
TNS Sofres,14–15 Dec 2015,"1,000",70%,30%
Harris Interactive,13-Dec-15,"1,020",71%,29%
Odoxa,21–22 May 2015,911,67%,33%
OpinionWay,15–16 Apr 2015,979,70%,30%
CSA,27–29 Jan 2015,951,62%,38%
Ifop,3–4 Sep 2014,994,64%,36%
